Period (d),Application Rate (%DW),Material_2,Turning times,Compost volume (m3),Additive_1,Additive Species,Initial Moisture Content (%),Initial TN (%),V1_Ventilation Type,V4_Ventilation Day,V2_Ventilation Interval (min),Initial pH,Initial C/N (%),Initial NH3-N (g/kg),Initial density (kg/L),Initial TC (%),V5_Ventilation rate (L/min/kg iniDW),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),Initial EC (ms/cm),TN loss (%)
35.0,26.25298329,6,6.0,0.187,43,2,58.1,1.5455498,1,35.0,240.0,8.2342,26.0,1.76525,0.213903743,40.1842948,5.966587112,40.0,16.76,0.276168,0.0,21.28
35.0,38.18615752,6,6.0,0.187,43,2,58.1,1.4885897,1,35.0,240.0,8.18152,26.0,1.22908,0.213903743,38.7033322,5.966587112,40.0,16.76,0.214486,0.0,17.39
35.0,3.016290988,15,7.0,1.0,23,0,66.8467,1.6298,2,0.0,0.0,7.868,0.0,1.49049,0.2,0.0,0.0,200.0,66.3066,0.442105,0.0,15.2
35.0,6.06463077,15,7.0,1.0,9,2,67.0219,1.62781,2,0.0,0.0,7.896,0.0,1.3552,0.2,0.0,0.0,200.0,65.9562,0.453801,0.0,10.5
35.0,8.869232043,15,7.0,1.0,9,2,66.1752,1.62185,2,0.0,0.0,7.876,0.0,1.51098,0.2,0.0,0.0,200.0,67.6496,0.430994,0.0,9.0
35.0,11.87687246,15,7.0,1.0,9,2,66.3211,1.62384,2,0.0,0.0,7.856,0.0,1.52328,0.2,0.0,0.0,200.0,67.3578,0.439181,0.0,4.2
112.0,0.0,8,12.0,0.0,44,4,65.4,1.4,0,42.0,0.0,7.1,0.0,3.252,0.0,0.0,0.256904303,1875.0,648.75,0.0,0.0,42.8
112.0,2.949852507,8,12.0,0.0,25,0,66.1,1.6,0,42.0,0.0,6.8,0.0,3.484,0.0,0.0,0.262209112,1875.0,635.625,0.0,0.0,41.4
112.0,0.0,8,12.0,0.0,44,4,64.9,3.4,2,0.0,0.0,6.9,0.0,6.093,0.0,0.0,0.0,910.0,319.41,0.0,0.0,46.54837872
112.0,2.816901408,8,12.0,0.0,25,0,64.5,3.1,2,0.0,0.0,7.0,0.0,5.606,0.0,0.0,0.0,910.0,323.05,0.0,0.0,34.81424527
54.0,0.0,7,7.0,0.0,44,4,65.0,0.0,0,54.0,0.0,0.0,25.0,4.70466,0.0,0.0,0.05,10.0,0.0,1.9945,0.0,53.83
54.0,5.0,7,7.0,0.0,0,0,65.0,0.0,0,54.0,0.0,0.0,25.0,4.6114,0.0,0.0,0.05,10.0,0.0,1.91167,0.0,47.08
56.0,0.0,8,8.0,0.4,44,4,65.0,0.0,0,28.0,0.0,7.98471,0.0,0.0,0.285,0.0,5.37e-05,114.0,40.344,0.0,0.0,36.8405
56.0,8.477096966,8,8.0,0.4,3,3,65.0,0.0,0,28.0,0.0,8.02,0.0,0.0,0.29355,0.0,4.99e-05,117.42,43.3878,0.0,0.0,26.4139
56.0,16.95419393,8,8.0,0.4,3,3,65.0,0.0,0,28.0,0.0,7.90706,0.0,0.0,0.3021,0.0,4.67e-05,120.84,46.4316,0.0,0.0,16.5561
56.0,25.4312909,8,8.0,0.4,3,3,65.0,0.0,0,28.0,0.0,7.93882,0.0,0.0,0.31065,0.0,4.38e-05,124.26,49.4754,0.0,0.0,12.5751
56.0,9.042236764,8,8.0,0.4,3,3,65.0,0.0,0,28.0,0.0,7.97765,0.0,0.0,0.29412,0.0,5.37e-05,117.648,40.344,0.0,0.0,12.7014
56.0,9.607376562,8,8.0,0.4,3,3,65.0,0.0,0,28.0,0.0,8.03059,0.0,0.0,0.29469,0.0,5.37e-05,117.876,40.344,0.0,0.0,9.85783
56.0,10.17251636,8,8.0,0.4,3,3,65.0,0.0,0,28.0,0.0,8.00941,0.0,0.0,0.29526,0.0,5.37e-05,118.104,40.344,0.0,0.0,18.3255
35.0,2.25,8,9.0,0.02,18,3,0.0,0.0,0,35.0,0.0,7.455058422818793,29.0076,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.3884,44.2829
