Material_Main,Turning times, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),N2O-N loss (%)
7,7.0,0,1,0,35.0,35.0,0.0,12.5,5,0.06,0.2,72.1,0.23
8,21.0,0,1,0,21.0,21.0,0.0,0.0,5,1.2096,0.24,59.81,2.3
8,21.0,0,1,0,21.0,21.0,0.0,0.0,0,1.2096,0.24,60.21,1.24
5,6.42857,0,0,0,45.0,0.0,0.0,0.0,5,0.06,0.0,63.06,0.41
5,6.42857,0,0,0,45.0,0.0,0.0,0.0,5,0.06,0.0,63.06,0.09
8,17.5,0,1,0,70.0,0.0,0.0,0.0,5,1.2096,0.0,63.6,1.4
8,17.5,0,1,0,70.0,70.0,0.0,0.0,5,1.2096,0.18,63.6,1.2
8,17.5,0,1,0,70.0,70.0,0.0,0.0,5,1.2096,0.36,63.6,1.7
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,5,0.86149,0.72554,64.22217,0.10748
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,5,0.86149,0.72554,64.22217,0.11495
6,0.0,0,1,0,31.0,31.0,0.0,0.0,5,0.01,0.48,71.0,0.0821
6,0.0,0,1,0,31.0,31.0,0.0,0.0,5,0.01,0.23,71.0,0.1254
6,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,5,0.86149,0.72554,64.22217,0.0394
6,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,5,0.86149,0.72554,64.22217,0.1567
8,7.5,0,1,1,30.0,30.0,25.0,10.2,5,0.06,0.48,66.629,2.0
8,7.5,0,1,1,30.0,30.0,25.0,5.2,5,0.06,0.48,57.47311,2.0
7,5.0,0,1,8,45.0,45.0,20.0,0.0,5,0.12,0.97145,65.0,1.92
7,5.0,0,1,8,45.0,45.0,20.0,5.0,5,0.12,1.71576,65.0,1.1
7,5.0,0,1,8,45.0,45.0,20.0,1.0,5,0.12,0.92403,65.0,0.79
7,5.0,0,1,8,45.0,45.0,20.0,1.0,5,0.12,0.92403,65.0,2.48
7,5.0,0,1,8,45.0,45.0,20.0,3.0,5,0.12,0.93795,65.0,2.29
7,5.0,0,1,8,45.0,45.0,20.0,3.0,5,0.12,0.93795,65.0,0.5
7,5.0,0,1,8,45.0,45.0,20.0,5.0,5,0.12,1.71576,65.0,1.64
8,0.0,0,1,0,50.0,50.0,0.0,0.0,5,0.1,0.3,60.0,0.79
8,0.0,0,1,0,50.0,50.0,0.0,10.0,5,0.1,0.3,60.0,0.3
8,0.0,0,1,0,50.0,50.0,0.0,10.0,5,0.1,0.3,60.0,0.39
8,0.0,0,1,0,50.0,50.0,0.0,20.0,5,0.1,0.3,60.0,0.19
7,7.0,0,1,0,35.0,35.0,0.0,0.0,5,0.06,0.1,72.86,0.8
7,7.0,0,1,0,35.0,35.0,0.0,0.0,5,0.06,0.2,72.86,0.6
