Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial C/N (%),Initial pH,Initial TC (%),Initial NH3-N (g/kg),Initial density (kg/L),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),NH3-N loss (%)
112.0,25.828282828282827,0.0,0.0,12.0,0.0,0.026,0.0,2.024,0.0,0.0,0.0,0.0,0.0,0.5,13.0,0.0,0.0,2.362
30.0,30.0,0.0,0.0,4.0,0.0,0.06,60.59701493,0.2,1.9,20.0,6.1837,38.0,0.0,0.0,0.0,0.0,0.0,24.9
30.0,30.0,0.0,0.0,4.0,2.138298952,0.06,0.0,0.2,0.0,0.0,4.77333,0.0,0.0,0.0,0.0,0.0,0.0,12.6
30.0,30.0,0.0,0.0,4.0,3.200882515,0.06,0.0,0.2,0.0,0.0,4.41037,0.0,0.0,0.0,0.0,0.0,0.0,15.3
30.0,30.0,0.0,0.0,4.0,2.215995587,0.06,0.0,0.2,0.0,0.0,5.00148,0.0,0.0,0.0,0.0,0.0,0.0,8.9
30.0,30.0,0.0,0.0,4.0,2.536149595,0.06,0.0,0.2,0.0,0.0,5.58222,0.0,0.0,0.0,0.0,0.0,0.0,8.9
19.0,19.0,0.0,0.0,9.0,0.0,0.0,70.0,10.0,1.73,26.38728324,6.3,45.65,1.74,0.0,0.0,0.0,0.08,16.5467
19.0,19.0,0.0,0.0,9.0,3.0,0.0,70.0,10.0,1.73,26.38728324,6.3,45.65,1.74,0.0,0.0,0.0,0.08,12.879
19.0,19.0,0.0,0.0,9.0,6.9,0.0,70.0,10.0,1.61,26.34782609,6.2,42.42,1.61,0.0,0.0,0.0,0.07,12.879
19.0,19.0,0.0,0.0,9.0,9.9,0.0,70.0,10.0,1.61,26.34782609,6.2,42.42,1.61,0.0,0.0,0.0,0.07,2.9862
112.0,42.0,0.0,0.0,12.0,0.0,0.0,65.4,0.256904303,1.4,0.0,7.1,0.0,3.252,0.0,1875.0,648.75,0.0,21.4
112.0,42.0,0.0,0.0,12.0,2.949852507,0.0,66.1,0.262209112,1.6,0.0,6.8,0.0,3.484,0.0,1875.0,635.625,0.0,20.7
112.0,0.0,0.0,0.0,12.0,0.0,0.0,64.9,0.0,3.4,0.0,6.9,0.0,6.093,0.0,910.0,319.41,0.0,18.4
112.0,0.0,0.0,0.0,12.0,2.816901408,0.0,64.5,0.0,3.1,0.0,7.0,0.0,5.606,0.0,910.0,323.05,0.0,19.7
35.0,35.0,0.0,0.0,9.0,2.25,0.02,0.0,0.5,0.0,29.0076,7.462381434599157,0.0,0.0,0.0,0.0,0.0,0.0,27.1027988
35.0,35.0,0.0,0.0,9.0,1.8209,0.02,0.0,0.5,0.0,32.0229,6.47344,0.0,0.0,0.0,0.0,0.0,0.0,0.4672898
35.0,35.0,0.0,0.0,9.0,2.5709,0.02,0.0,0.5,0.0,30.3435,8.34411,0.0,0.0,0.0,0.0,0.0,0.0,10.42990646
35.0,35.0,0.0,0.0,9.0,3.3209,0.02,0.0,0.5,0.0,26.9466,7.462381434599157,0.0,0.0,0.0,0.0,0.0,0.0,17.37382469
35.0,35.0,0.0,0.0,9.0,4.0709,0.02,0.0,0.5,0.0,29.0458,7.462381434599157,0.0,0.0,0.0,0.0,0.0,0.0,29.17756499
