Additive_1,Additive_2,Additive_3,Material_Main,Material_3,V6_Extra,Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial C/N (%),V1_Ventilation Type,Initial pH,Initial TC (%),Additive Species,Initial NH3-N (g/kg),Initial density (kg/L),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),TC loss (%)
1,0,0,1,0,0,84.0,-1.0,-1.0,-1.0,0.0,22.28321168,0.12,84.1,-1.0,2.26,16.9,2,10.7,38.3,3,0.0,0.359014675,43.08176101,6.85,0.0,14.9
1,0,0,1,0,0,84.0,-1.0,-1.0,-1.0,0.0,9.53373494,0.12,80.7,-1.0,2.21,20.5,2,9.8,45.3,3,0.0,0.358376511,43.00518135,8.3,0.0,32.3
1,0,0,1,0,0,84.0,-1.0,-1.0,-1.0,0.0,15.84382872,0.12,81.5,-1.0,2.03,21.3,2,10.0,42.5,3,0.0,0.357657658,42.91891892,7.94,0.0,25.3
11,0,0,0,0,0,60.0,60.0,-1.0,0.0,5.0,0.0,0.045,60.0,0.22,2.3,16.0,0,0.0,36.9,1,0.0,0.0,0.0,0.0,0.0,44.0
11,0,0,0,0,0,60.0,60.0,-1.0,0.0,5.0,0.0,0.045,60.0,0.44,2.0,19.0,0,0.0,38.2,1,0.0,0.0,0.0,0.0,0.0,51.0
11,0,0,0,0,0,60.0,60.0,-1.0,0.0,5.0,0.0,0.045,60.0,0.66,1.8,22.0,0,0.0,39.8,1,0.0,0.0,0.0,0.0,0.0,54.0
11,0,0,0,0,0,60.0,60.0,-1.0,0.0,5.0,0.0,0.045,65.0,0.22,2.0,19.0,0,0.0,38.4,1,0.0,0.0,0.0,0.0,0.0,42.0
11,0,0,0,0,0,60.0,60.0,-1.0,0.0,5.0,0.0,0.045,65.0,0.44,1.8,22.0,0,0.0,40.4,1,0.0,0.0,0.0,0.0,0.0,56.0
11,0,0,0,0,0,60.0,60.0,-1.0,0.0,5.0,0.0,0.045,65.0,0.66,2.3,16.0,0,0.0,37.2,1,0.0,0.0,0.0,0.0,0.0,51.0
11,0,0,0,0,0,60.0,60.0,-1.0,0.0,5.0,0.0,0.045,70.0,0.22,1.8,22.0,0,0.0,40.6,1,0.0,0.0,0.0,0.0,0.0,47.0
