Additive_3,Turning times,V2_Ventilation Interval (min), Composting Method,V1_Ventilation Type,Initial Moisture Content (%),Application Rate (%DW),V5_Ventilation rate (L/min/kg iniDW),Additive_1,Initial pH,Material_2,V3_Ventilation Duration (min),Initial C/N (%),M1_is Enclosed,V4_Ventilation Day,Additive_2,Additive_4,Compost volume (m3),Initial GI (%),Material_3,Material_Main,Period (d),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
None,16.0,440.0,Windrow,Intermittent ,78.90137023070744,4.269746711974844,8.020356136287623,Forsterite,9.21009273008995,Soil,4.893930657050437,22.356066777380907,0.0,23.0,Organic acid,None,0.314,27.32884658064516,Straw,Green waste,42.0,1.4280600332415827,31.92580546525762,91.74386,7.704257674339609,0.9473679065704346,0.163030862325648,24.35094289588177
None,8.0,0.0,Trough,None,69.48510775607932,3.4667358118855587,0.0,Urea,6.869947863663157,Woody peat,0.0,32.87534063621879,0.0,0.0,Inorganic acid,None,0.314,27.32884658064516,Poultry manure,Green waste,120.0,1.4280600332415827,46.94796004178696,92.31154100000002,8.040398430252676,0.6149379014968872,0.1788415187177172,20.612006377855906
None,3.0,0.0,Trough,None,59.41916343242544,7.380002114557531,0.0,Sand,8.68509357938614,Plastic tube pieces,0.0,37.18339587482283,0.0,0.0,DCD,None,0.314,27.32884658064516,Straw,Green waste,19.0,2.080705092508143,53.10012154903442,96.21432700000004,1000000.0,1000000.0,1000000.0,1000000.0
None,2.0,0.0,Trough,None,80.96126624195776,2.8802853317001227,0.0,LB Culture,7.351311342194362,Green Waste,0.0,6.068989472455532,0.0,0.0,Inorganic acid,None,0.314,27.32884658064516,Straw,Green waste,75.0,1.4280600332415827,8.666881307777663,93.68148200000005,9.668594971356391,0.5595046877861023,0.1931889661328234,14.20508456310797
None,0.0,0.0,Windrow,None,55.27723854927326,9.905447869975196,0.0,Sodium salt,10.026411165442909,Woody peat,0.0,7.7650833545237505,0.0,0.0,Organic acid,None,0.314,27.32884658064516,Byproduct,Green waste,34.0,1.4280600332415827,11.089005193384848,95.75752200000004,6.446875644337947,1.29427170753479,0.0912616395732491,24.06031730400383
None,16.0,212.0,Windrow,Intermittent ,67.62778901558947,3.402335187971784,2.7892288392916,MgSO₄,9.156155392595618,Straw,10.805843951227583,14.725560750477731,1.0,7.0,Inorganic acid,None,0.314,27.32884658064516,Straw,Green waste,14.0,1.4280600332415827,21.028984774828174,93.985117,6.772674010410666,0.9623192548751832,0.1548388162587527,30.93726623338165
None,6.0,335.0,Windrow,Intermittent ,80.68084713167626,0.356002730961239,5.241041521464168,Sand,7.826318221662749,Soil,23.196012446641497,42.75746167902111,0.0,18.0,None,None,0.314,27.32884658064516,Straw,Green waste,116.0,1.4280600332415827,61.06022214666858,94.67117666666668,7.002520171080466,1.1197482347488403,0.1646995907246083,19.494865784977858
None,1.0,0.0,Windrow,Continuous,51.55685044185822,8.60239301852845,0.6122850011389436,MgCl₂,6.4618565339124725,Green Waste,50.98071352083042,15.212405157317557,0.0,27.0,Potassium phosphate,None,0.314,27.32884658064516,Straw,Green waste,41.0,1.4280600332415827,21.72422781464333,92.161824,9.892418474516187,0.7922986149787903,0.1637470691831217,21.6541165981631
None,0.0,0.0,Windrow,None,60.187053394414406,4.317032603754904,0.0,Ca-superphosphate,11.836438026643377,Byproduct,0.0,17.36024950139187,0.0,0.0,Biochar,None,0.314,27.32884658064516,Poultry manure,Green waste,37.0,1.4280600332415827,24.79147848003984,93.00496000000004,8.713954517958985,0.637988269329071,0.1917119085301986,20.342718234000657
None,7.0,0.0,Trough,None,66.47269254909128,4.955555131572776,0.0,MgO,10.77116352158844,Plastic tube pieces,0.0,7.226893653423682,0.0,0.0,Biochar,None,0.314,27.32884658064516,Straw,Green waste,50.0,1.4280600332415827,10.320437990941606,96.02860700000002,10.082640595318871,0.7483081817626953,0.1662547698198582,23.207652591234204
