Material_2,M1_is Enclosed,Initial C/N (%),V1_Ventilation Type, Composting Method,V5_Ventilation rate (L/min/kg iniDW),Turning times,V4_Ventilation Day,Material_3,Initial pH,Period (d),Additive_1,Compost volume (m3),V2_Ventilation Interval (min),Additive_3,Initial Moisture Content (%),Initial GI (%),Additive_4,Additive_2,Material_Main,V3_Ventilation Duration (min),Application Rate (%DW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
None,0.0,24.86975174173019,Continuous,Trough,2.0970339582589914,27.0,3.0,Green waste,9.826421674335222,117.0,Ca-superphosphate,2.147162565177521,0.0,None,72.19148418628755,27.32884658064516,None,Gypsum,Cattle manure,46.30008438227911,8.897996328973958,1.596639959668374,39.70803941787857,115.53547000000006,6.042448312713963,0.8283001184463501,0.2045195722043016,22.378747081477265
Husk,1.0,32.498634368650265,Continuous,Windrow,1.191363464741898,22.0,6.0,Byproduct,9.685223231773698,93.0,Zeolite,2.147162565177521,0.0,None,48.508933843212816,27.328846580645163,None,Microbiological agent,Cattle manure,58.68305792303652,9.72978450515719,1.596639959668374,48.44780133779161,117.68230900000006,9.174528138866922,0.9700859189033508,0.1719786135868958,1000000.0
Woody peat,1.0,45.273599193064015,Continuous,Windrow,1.020146291085341,19.0,79.0,None,4.360348960547623,80.0,Calcium magnesium phosphate fertilizer,2.147162565177521,0.0,None,70.1401064260439,27.32884658064516,None,Inorganic acid,Cattle manure,45.934638389248285,3.64814312106024,1.596639959668374,72.28563758965586,114.313102,9.669819481127725,0.9884993433952332,0.2099092297476606,26.90834099261472
Sawdust,1.0,44.84502725130231,Continuous,Trough,3.441723968745559,22.0,3.0,None,11.39995962994087,20.0,Microbiological agent,2.147162565177521,0.0,None,76.18308342177357,27.32884658064516,None,Zeolite,Cattle manure,31.90954445681136,5.882553747530233,1.596639959668374,71.60136250184645,116.48744900000004,9.883514088137368,0.910197913646698,0.2351807364587133,28.371974869008174
Woody peat,1.0,26.150614190282443,Continuous,Windrow,0.3656659049616884,28.0,40.0,Byproduct,7.435196177104195,100.0,Mature compost,2.147162565177521,0.0,None,61.10690865865341,27.32884658064516,None,Inorganic acid,Cattle manure,56.23147495231907,4.768497784614527,1.596639959668374,41.75311558607577,113.80903100000003,11.033479445769949,1.0870627164840698,0.2307437976846329,26.64218006021742
Husk,1.0,41.510621551763634,Continuous,Trough,9.074368413959556,21.0,5.0,None,8.02490822828829,128.0,Inorganic acid,2.147162565177521,0.0,None,71.0246529739961,27.32884658064516,None,Zeolite,Cattle manure,37.25577250750672,1.3046151726178312,1.596639959668374,66.27751712021703,116.65215900000008,8.695703799362507,0.9201337695121764,0.2458944165176333,23.250220004306957
Green Waste,1.0,29.25925932073053,Continuous,Trough,7.612263233939542,9.0,1.0,Byproduct,8.802257485604468,63.0,Labile carbon source,2.147162565177521,0.0,None,72.59421041523399,27.32884658064516,None,Zeolite,Cattle manure,48.115777565912765,2.543944332212798,1.596639959668374,46.71650262177769,116.16867500000008,8.29999159861914,0.9185454845428468,0.2446794466398051,1000000.0
Green waste,1.0,42.37324063551609,Continuous,Windrow,8.813456091357523,9.0,1.0,Byproduct,5.2279175035354175,35.0,Sodium salt,2.147162565177521,0.0,None,76.77733341452272,27.32884658064516,None,DCD,Cattle manure,36.09885076229541,2.825660466882367,1.596639959668374,67.65480921930872,116.64521800000004,10.469784693873908,1.1562286615371704,0.2124713451834662,25.71300083642453
Green Waste,0.0,13.44211600710358,Continuous,Windrow,2.3782938181950475,30.0,2.0,Mature compost,11.139881771538253,59.0,Sodium salt,2.147162565177521,0.0,None,74.33784317277404,27.32884658064516,None,Organic acid,Cattle manure,52.57468297083041,0.65581460984528,1.596639959668374,21.46221955943946,114.92334100000008,6.505084385833998,1.0431296825408936,0.1597714653659898,25.51710014329776
Plastic tube pieces,1.0,6.177143716244901,Continuous,Windrow,1.226726650569095,19.0,4.0,Straw,4.51962187334468,41.0,Clay,2.147162565177521,0.0,None,77.9747985974861,27.32884658064516,None,Microbiological agent,Cattle manure,52.53465216342536,2.35378956642329,1.596639959668374,9.862674493971008,115.51563400000008,9.719053122106963,0.9716556072235109,0.182903243589322,24.876296725622456
Husk,0.0,28.697515510045115,Continuous,Trough,7.909188984386986,23.0,8.0,Poultry manure,8.455869629991186,82.0,Forsterite,2.147162565177521,0.0,None,79.28227617028107,27.32884658064516,None,MgSO₄,Cattle manure,53.90701052086127,8.141135292025153,1.596639959668374,45.819600006540966,114.04894700000006,5.8524254415075845,0.9327561855316162,0.1867141225727698,21.74038264642885
Green waste,0.0,38.99778059553252,Continuous,Windrow,9.859227111402715,14.0,2.0,None,5.671899387554438,24.0,MgHPO₄,2.147162565177521,0.0,None,44.99987756373591,27.328846580645163,None,DCD,Cattle manure,35.70639448470564,5.861966485612744,1.596639959668374,62.26541483720714,116.04385600000003,7.102387775203463,1.160706877708435,0.2162700614470377,26.848234960113466
Plastic tube pieces,0.0,17.242362069753618,Continuous,Windrow,0.1779087917151611,23.0,64.0,Poultry manure,9.960303895462523,77.0,Lime,2.147162565177521,0.0,None,55.39664959782591,27.32884658064516,None,MgSO₄,Cattle manure,45.86757453579855,9.477193356053654,1.596639959668374,27.52984427963892,113.47606500000008,7.891094515569274,1.1753123998641968,0.1358819594834227,25.30731260440576
Husk,0.0,33.85687420725393,Continuous,Windrow,0.5172354321110073,18.0,4.0,Poultry manure,7.9422574166597775,77.0,Phosphogypsum,2.147162565177521,0.0,None,67.73732333856206,27.32884658064516,None,Potassium phosphate,Cattle manure,33.67216245050371,9.326047210024113,1.596639959668374,54.05723826876713,116.60219200000007,6.9500300862034745,1.0195424556732178,0.1856538799742061,22.48701790817646
