Material_2,Initial pH,Additive_1,Initial GI (%),Material_Main,Additive_2,V5_Ventilation rate (L/min/kg iniDW),V4_Ventilation Day,Application Rate (%DW),Turning times,Additive_4, Composting Method,Compost volume (m3),V1_Ventilation Type,Period (d),Additive_3,Initial Moisture Content (%),Initial C/N (%),V2_Ventilation Interval (min),V3_Ventilation Duration (min),M1_is Enclosed,Material_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
None,5.0667643221839285,MgHPO₄,27.73437341925169,Swine manure,Gypsum,7.325201581293808,4.0,3.360097960826777,30.0,None,Windrow,0.6277154746460176,Intermittent ,17.0,None,64.42304692364822,29.791203649323485,271.0,8.818233800184226,0.0,Green waste,2.0952942734506244,62.42133840562884,103.41383899999995,5.204723417792595,0.5361391305923462,0.1754981989632321,26.618786976894096
Green waste,5.502037898050472,None,27.328846580645163,Swine manure,None,0.7962056459518371,5.0,5.845744911122568,15.0,None,Windrow,0.6277154746460176,Intermittent ,20.0,None,72.58219926057816,29.318039823836457,1102.0,40.54153588801504,1.0,None,2.0952942734506244,61.42992095168188,102.80939399999995,5.697529923974928,0.5229557156562805,0.1566992680413381,25.527541151760516
Straw,4.503729050090743,MgSO₄,27.32884658064516,Swine manure,Microbiological agent,9.982398948099824,3.0,9.374188196105203,19.0,None,Trough,0.6277154746460176,Intermittent ,41.0,None,76.33656950757009,33.87937537259385,269.0,13.773151661985246,1.0,None,2.0952942734506244,70.98726120628001,102.44875899999997,4.602941641445915,0.5637937784194946,0.192806901097395,26.923996632042343
Woody peat,6.467489526665032,Phosphogypsum,27.32884658064516,Swine manure,Zeolite,0.6982217018185599,1.0,4.249179459346413,20.0,None,Reactor,0.6277154746460176,Intermittent ,50.0,None,84.06561326522497,13.466979560688472,848.0,7.237293486590892,1.0,None,2.0952942734506244,29.407302441173837,100.26213299999998,5.54606054879858,0.542252242565155,0.1457603962602747,1000000.0
Plastic tube pieces,6.116401125787368,Phosphogypsum,27.32884658064516,Swine manure,Gypsum,7.317394307033284,5.0,9.879743439393158,3.0,None,Windrow,0.6277154746460176,Intermittent ,18.0,None,69.21494634799025,20.1117628163392,398.0,43.88632758848576,1.0,None,2.0952942734506244,42.14006145807272,103.028664,6.647657300077666,0.5012313723564148,0.1524102055989915,23.865039194164023
None,7.1209912857232505,LB Culture,27.32884658064516,Swine manure,Microbiological agent,1.4679139215598702,5.0,5.4770121588913625,19.0,None,Reactor,0.6277154746460176,Intermittent ,21.0,None,52.43525408081098,9.195479058477812,675.0,43.773560564908,1.0,Green waste,2.0952942734506244,19.267234612863696,102.12809399999996,7.14588868491132,0.5525454878807068,0.1915985748332879,29.047386203096323
Byproduct,6.497984099904098,K₂SO₄,27.32884658064516,Swine manure,MgO,3.349997223812152,27.0,3.0790016003890277,15.0,None,Windrow,0.6277154746460176,Intermittent ,113.0,None,72.81328636099306,43.29664286207564,843.0,13.105529541147591,1.0,Poultry manure,2.0952942734506244,89.17310913346185,99.32791899999997,8.165870050988262,0.364448606967926,0.1542285237866003,1000000.0
Byproduct,5.584233231574469,Calcium magnesium phosphate fertilizer,27.32884658064516,Swine manure,Biochar,5.938481530028628,0.0,2.5849091705144165,13.0,None,Windrow,0.6277154746460176,Intermittent ,49.0,None,62.77783816360303,36.49515791138471,1348.0,35.701590524735245,0.0,Mature compost,2.0952942734506244,76.09897241647651,103.20573399999998,5.437992852892091,0.3712415099143982,0.1465020055122624,1000000.0
Woody peat,5.963309090931092,Urea,27.32884658064516,Swine manure,Ca-superphosphate,4.01691926177964,5.0,3.726030261745602,23.0,None,Trough,0.6277154746460176,Intermittent ,62.0,None,75.87072689268427,38.85486676069444,904.0,54.62569086444324,1.0,Straw,2.0952942734506244,81.41237981937007,101.972383,7.9502322729424435,0.5460850596427917,0.1706858325934029,22.06124294346053
Byproduct,6.470020411782906,Organic acid,27.32884658064516,Swine manure,Inorganic acid,8.506189779471601,26.0,4.485016409113417,24.0,None,Reactor,0.6277154746460176,Intermittent ,35.0,None,48.822434667362,21.78947859347143,661.0,34.20697176158984,1.0,Straw,2.0952942734506244,45.65536971837565,101.06573799999995,7.177150300876544,0.3525768220424652,0.1780203687802183,25.64263833544988
