V4_Ventilation Day,V1_Ventilation Type,M1_is Enclosed,Material_Main,Additive_4, Composting Method,V3_Ventilation Duration (min),Additive_2,Period (d),V2_Ventilation Interval (min),Material_2,V5_Ventilation rate (L/min/kg iniDW),Initial pH,Turning times,Initial Moisture Content (%),Additive_1,Compost volume (m3),Additive_3,Application Rate (%DW),Initial GI (%),Initial C/N (%),Material_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
34.0,Continuous,1.0,Sheep manure,None,Reactor,4.0033633301028,Biochar,99.0,0.0,Plastic tube pieces,7.020774991142523,11.417339353714809,1.0,46.35982122461986,Gypsum,0.045,None,2.0606354279268704,27.32884658064516,40.46563584207669,Green waste,1.97,79.71730260889109,105.03023299999997,3.1864395867822783,0.8975496888160706,0.2072319300983608,23.25581511431076
0.0,None,0.0,Sheep manure,None,Trough,0.0,Gypsum,63.0,0.0,Husk,0.0,10.966924038471053,6.0,47.07817292341551,Phosphogypsum,0.045,None,4.0606700437465335,27.32884658064516,44.93180544491113,Mature compost,1.97,88.51565672647492,103.93028,5.439947336228201,0.2733524143695831,0.1931439634518086,20.0751158946963
0.0,None,0.0,Sheep manure,None,Trough,0.0,Zeolite,102.0,0.0,Green waste,0.0,4.630970426509674,22.0,48.595702337032826,Inorganic acid,0.045,None,1.6130622859215429,27.32884658064516,36.9799196151248,Green waste,1.97,72.85044164179585,103.40619799999996,6.515397182602283,0.1617538928985595,0.1924385586667714,21.70632357195514
9.0,Continuous,1.0,Sheep manure,None,Windrow,26.931539277750613,Mg(OH)₂,44.0,0.0,Green waste,1.4347977862212449,4.663912379573783,5.0,46.20060819441427,Organic acid,0.045,None,1.3843556220040336,27.32884658064516,33.95696801314627,Green waste,1.97,66.89522698589816,104.40087299999996,2.958903169429075,0.8984487056732178,0.2018925932133628,21.80009104153317
40.0,Intermittent ,0.0,Sheep manure,None,Trough,40.82505994908196,Ca-superphosphate,65.0,272.0,Byproduct,3.244296889636482,8.285112029885834,22.0,43.982858814616776,K₂SO₄,0.045,None,3.482283401311421,27.32884658064516,33.43375143354517,Mature compost,1.97,65.86449032408399,104.48886899999998,7.165942568810901,0.3535623550415039,0.1404080622795999,25.764729739677247
0.0,None,0.0,Sheep manure,None,Trough,0.0,MgO,15.0,0.0,Straw,0.0,11.84300282399304,23.0,44.706630974532295,Calcium magnesium phosphate fertilizer,0.045,None,5.117412189698097,27.32884658064516,40.43906866166184,Straw,1.97,79.66496526347383,104.81926,5.872949805816533,0.1839124858379364,0.1740668353035172,30.84281044507848
0.0,None,1.0,Sheep manure,None,Trough,0.5774696279156937,Potassium phosphate,54.0,0.0,Husk,0.0,6.151610116623334,17.0,46.25444347693127,Potassium phosphate,0.045,None,7.413243695262123,27.32884658064516,36.561634117367866,Green waste,1.97,72.0264192112147,104.05835799999996,5.567252463103852,0.2655333578586578,0.2016307783375449,23.73252834033618
0.0,None,1.0,Sheep manure,None,Trough,0.0,Biochar,60.0,0.0,Straw,0.0,10.913225152360129,16.0,46.49215713484116,Inorganic acid,0.045,None,9.213017437355925,27.32884658064516,33.8800920543167,Green waste,1.97,66.74378134700389,104.191673,5.582170915476202,0.1873397529125213,0.1942687858439586,28.70038970400925
2.0,Intermittent ,1.0,Sheep manure,None,Windrow,45.75348692515897,Ca-superphosphate,22.0,286.0,Straw,7.795249607379483,7.651840225514102,2.0,45.86830828629171,Clay,0.045,None,8.20216765480517,27.32884658064516,34.144740701710546,Green waste,1.97,67.26513918236978,105.746978,6.133979866712713,0.3937394320964813,0.1657230271679107,25.83406535307717
13.0,Intermittent ,1.0,Sheep manure,None,Reactor,5.931075053182542,Inorganic acid,127.0,855.0,Green Waste,5.320353649565501,11.544738683514788,2.0,44.49455376589847,Mg(OH)₂,0.045,None,4.889469488221873,27.32884658064516,40.19062387219648,Mature compost,1.97,78.03501565827324,103.967438,5.798535846442194,0.5243320465087891,0.1532621918062992,1000000.0
