M1_is Enclosed,Initial GI (%),Turning times,V1_Ventilation Type,V4_Ventilation Day,Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW), Composting Method,V3_Ventilation Duration (min),Initial C/N (%),Material_2,Additive_2,Additive_3,Application Rate (%DW),V2_Ventilation Interval (min),Compost volume (m3),Material_3,Material_Main,Period (d),Additive_4,Initial pH,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
1.0,27.32884658064516,3.0,Continuous,35.0,77.1957516052486,Lime,4.0429181875967295,Windrow,26.698895774996014,19.441722437184477,None,MgO,None,5.71956507561792,0.0,0.15181,None,OFMSW,107.0,None,9.100478735168368,1.411,27.43227035886729,93.621775,13.002224185056775,0.3301825821399688,0.1890189712557477,21.263185151045928
1.0,27.32884658064516,21.0,Continuous,34.0,51.54254177326288,Carbonatite,4.320062272399103,Windrow,29.712982978797964,40.74805538121781,Husk,Gypsum,None,5.433857363016797,0.0,0.15181,None,OFMSW,36.0,None,6.298416982888037,1.411,57.49550614289833,93.667775,8.5850261060518,0.1648489087820053,0.1956535504568018,24.484236396771795
1.0,27.32884658064516,25.0,Continuous,3.0,47.87745807700086,Mature compost,1.853852247585993,Reactor,21.71502131156912,37.80032204681953,Woody peat,MgSO₄,None,1.8794548294183344,0.0,0.15181,Mature compost,OFMSW,112.0,None,10.636922745893555,1.411,53.33625440806236,93.653095,14.25782472760596,0.1662825047969818,0.2264283543569614,24.73359734937788
1.0,27.32884658064516,26.0,Continuous,9.0,65.97070315804356,Microbiological agent,5.197235041658265,Windrow,58.621340355311006,5.612564344528272,Plastic tube pieces,Mg(OH)₂,None,8.310763424275777,0.0,0.15181,Green waste,OFMSW,69.0,None,11.598533636966408,1.411,7.919328290129392,93.63591100000002,13.473173516221776,0.2590945363044739,0.1722929469341713,24.89466480350797
0.0,27.32884658064516,14.0,Continuous,8.0,72.54767386187766,Lignite,2.177019315667641,Trough,14.167748386705885,21.31206769808291,Woody peat,MgO,None,9.9556344377597,0.0,0.15181,None,OFMSW,22.0,None,11.002260332544642,1.411,30.071327521994988,93.621775,9.40340055590351,0.5348306894302368,0.1934428836348715,29.250125224256625
0.0,27.32884658064516,26.0,Continuous,16.0,46.01461408248013,Urea,5.253203342846717,Windrow,43.3070695535711,37.5470881024462,Byproduct,Gypsum,None,0.9041773184289876,0.0,0.15181,Mature compost,OFMSW,16.0,None,6.271724599481898,1.411,52.97894131255159,93.653095,8.5850261060518,0.1303001791238784,0.1872903953337907,27.36526758633522
1.0,27.32884658064516,0.0,Continuous,75.0,64.07304550663007,Forsterite,2.199383461725094,Reactor,44.84238354037999,25.59099440913059,Green Waste,Potassium phosphate,None,0.4603923114539865,0.0,0.15181,None,OFMSW,77.0,None,11.477843697249666,1.411,36.10889311128327,93.621775,10.066381257601988,0.3058042228221893,0.1800575612169687,23.9821474087774
1.0,27.32884658064516,16.0,Continuous,81.0,43.69455629585208,Sand,1.2920234407102338,Trough,48.91547972914848,43.59797444975832,Green Waste,MgSO₄,None,5.5117627495742445,0.0,0.15181,Mature compost,OFMSW,81.0,None,9.051785264919708,1.411,61.51674194860899,93.60709500000002,14.25782472760596,0.5040318965911865,0.1879536050836108,25.88882181788757
0.0,27.32884658064516,27.0,Continuous,9.0,78.66363403484779,MgO,3.119640049503208,Windrow,33.486642348054886,16.285191511572005,Green Waste,Microbiological agent,None,1.5719419764094744,0.0,0.15181,Mature compost,OFMSW,89.0,None,8.903041113750437,1.411,22.9784052228281,93.653095,14.25782472760596,0.1318701058626175,0.1636515406318069,22.449317731546397
0.0,27.32884658064516,22.0,Continuous,5.0,57.9574931094217,Lignite,4.704422012940611,Trough,40.96655617399508,30.19125703691564,None,Zeolite,None,2.9121493676525976,0.0,0.15181,None,OFMSW,35.0,None,11.177443630940637,1.411,42.59986367908797,93.667775,8.5850261060518,0.1625692397356033,0.20991895145159,25.151644093184636
