M1_is Enclosed,Material_2, Composting Method,Additive Species,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),NH3-N loss (%)
1.0,8,0,4,1,28.0,28.0,0,0.0,0.0,0.0,14.29,0.01,67.0,4,0.28,13,14.0,9.49
1.0,0,0,3,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,65.0,30,0.28,13,14.0,9.09
1.0,5,0,3,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,65.0,30,0.28,13,12.1,11.69
1.0,2,0,3,9,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,64.1,30,0.24,13,14.7,13.9
1.0,2,0,3,9,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,65.2,30,0.48,13,18.3,18.7
1.0,2,0,3,9,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,63.7,30,0.72,13,20.7,20.6
1.0,2,0,3,9,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,71.3,30,0.24,13,18.4,12.7
1.0,2,0,3,9,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,70.6,30,0.48,13,21.1,16.9
1.0,2,0,3,9,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,70.8,30,0.72,13,15.0,32.4
1.0,2,0,3,9,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,75.7,30,0.24,13,21.2,9.6
1.0,2,0,3,9,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,76.8,30,0.48,13,14.9,27.7
1.0,2,0,3,9,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,74.0,30,0.72,13,18.0,24.9
