M1_is Enclosed,Material_2, Composting Method,Additive Species,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),TN loss (%)
1.0,26,0,3,10,56.0,56.0,1,0.0,0.0,11.0,0.0,0.13,55.0,28,1.11,13,25.02,6.03
1.0,26,0,4,10,56.0,56.0,1,0.0,0.0,11.0,2.0,0.13,55.0,3,1.11,13,25.09,4.15
1.0,26,0,4,10,56.0,56.0,1,0.0,0.0,11.0,4.0,0.13,55.0,3,1.11,13,25.0,2.7
1.0,26,0,4,10,56.0,56.0,1,0.0,0.0,11.0,6.0,0.13,55.0,3,1.11,13,23.99,3.16
1.0,26,0,4,10,56.0,56.0,1,0.0,0.0,11.0,8.0,0.13,55.0,3,1.11,13,22.32,2.44
1.0,26,0,4,10,56.0,56.0,1,0.0,0.0,11.0,12.0,0.13,55.0,3,1.11,13,21.14,2.21
1.0,26,0,4,10,56.0,56.0,1,0.0,0.0,11.0,18.0,0.13,55.0,3,1.11,13,20.4,2.08
0.0,4,1,3,5,69.0,0.0,2,0.0,0.0,37.0,0.0,0.08,80.7,28,0.0,13,20.38,24.05
0.0,4,1,4,5,69.0,0.0,2,0.0,0.0,37.0,3.0,0.08,80.7,3,0.0,13,22.77,17.24
0.0,4,1,1,5,69.0,0.0,2,0.0,0.0,37.0,4.0,0.08,80.7,41,0.0,13,19.47,11.64
0.0,4,1,2,5,69.0,0.0,2,0.0,0.0,37.0,3.0,0.08,80.7,41,0.0,1,22.13,18.1
1.0,1,0,3,11,35.0,35.0,0,0.0,0.0,4.0,0.0,0.06,69.2,28,0.3,13,18.4,37.5
1.0,1,0,1,11,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,13,0.3,8,18.4,18.8
1.0,1,0,1,11,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,14,0.3,10,18.4,20.8
1.0,1,0,1,11,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,5,0.3,10,18.4,17.6
1.0,1,0,1,11,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,13,0.3,10,18.4,9.8
0.0,16,2,0,11,82.0,0.0,2,0.0,0.0,15.0,1.38,5.46,63.7,23,0.0,13,15.4,30.73
0.0,16,2,2,11,82.0,0.0,2,0.0,0.0,15.0,9.64,5.46,63.7,3,0.0,11,17.51,20.73
0.75,14,0,0,11,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,23,0.49,13,20.51,32.19
0.75,14,0,0,11,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,23,0.49,13,20.51,20.8
0.75,14,0,0,11,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,23,0.49,13,20.51,13.65
0.75,14,0,0,11,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,23,0.49,13,20.51,7.66
0.75,14,0,2,11,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,38,0.49,11,20.51,20.8
