Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4,Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),N2O-N loss (%)
7,0,2,15,7,0,0,1,0.0,59.5,2,0.0,0.0,0.0,3.0,0.0,0.4,66.71,0.0,6.81,1.1
7,0,2,15,7,0,0,1,0.0,59.5,2,0.0,0.0,0.0,3.0,0.0,0.4,66.36,0.0,9.22,1.2
7,0,2,15,7,0,0,1,0.0,61.1,2,0.0,0.0,0.0,3.2,0.0,14.13,67.68,0.0,7.35,0.0
7,0,2,15,7,0,0,1,0.0,64.1,2,0.0,0.0,0.0,5.6,0.0,12.73,66.26,0.0,7.24,0.03
6,5,2,15,7,0,0,0,1.0,50.0,0,50.0,0.0,0.0,0.0,0.0,0.03,72.13,0.22,19.11,0.06
6,6,2,15,7,0,0,0,1.0,50.0,0,50.0,0.0,0.0,0.0,0.0,0.03,69.74,0.21,13.27,0.04
6,2,2,15,7,0,0,0,1.0,50.0,0,50.0,0.0,0.0,0.0,0.0,0.03,71.05,0.21,13.56,0.03
7,6,2,15,7,0,0,0,1.0,28.0,1,28.0,30.0,30.0,2.0,0.0,0.07,60.0,0.86,15.04,0.14
7,6,2,15,7,0,0,0,1.0,28.0,1,28.0,30.0,30.0,2.0,0.0,0.07,60.0,0.93,19.96,0.21
7,6,2,15,7,0,0,0,1.0,28.0,1,28.0,30.0,30.0,2.0,0.0,0.07,60.0,0.9,24.99,0.28
7,6,2,15,7,0,0,0,1.0,28.0,1,28.0,30.0,30.0,2.0,0.0,0.07,60.0,0.91,30.23,0.32
2,3,2,15,7,0,0,0,1.0,28.0,1,28.0,30.0,60.0,4.0,0.0,0.06,66.9,1.21,25.0,1.68
2,0,2,15,7,0,0,0,1.0,28.0,1,28.0,30.0,60.0,4.0,0.0,0.06,58.6,0.96,20.9,0.69
2,0,2,15,7,0,0,0,1.0,28.0,1,28.0,30.0,60.0,4.0,0.0,0.06,53.1,0.86,18.7,1.34
0,3,2,15,7,0,0,2,0.75,42.74,2,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,0.9
0,3,2,15,7,0,0,2,0.75,42.74,2,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,1.1
7,6,2,15,7,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,0.0,1.37,69.4,0.11,29.0,1.13
7,6,2,23,7,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,1.73,1.37,71.1,0.11,24.7,1.06
7,6,2,23,7,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,1.39,1.37,71.2,0.11,17.6,1.02
7,6,2,23,7,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,3.7,1.37,67.6,0.11,19.0,0.71
7,6,2,23,7,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,0.32,1.37,69.2,0.11,19.5,0.81
7,5,4,23,7,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,2.07,1.37,71.0,0.11,21.2,0.77
7,6,2,20,7,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,0.0,1.37,70.3,0.11,19.6,1.2
7,5,4,23,7,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,2.84,1.18,71.8,0.11,19.5,1.03
0,6,2,15,7,0,0,1,0.0,64.0,2,0.0,0.0,0.0,0.0,0.0,1.1,74.27,0.0,18.78,0.11
0,6,2,15,7,0,0,1,1.0,64.0,2,0.0,0.0,0.0,0.0,0.0,1.1,74.27,0.0,18.21,0.11
0,6,2,15,7,0,0,1,1.0,64.0,2,0.0,0.0,0.0,12.0,0.0,1.1,74.27,0.0,18.21,0.07
0,6,2,15,7,0,0,1,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,0.07
