Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4,Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),TN loss (%)
9,5,3,29,13,2,1,1,0.0,112.0,2,0.0,0.0,0.0,12.0,0.0,1.24,64.9,0.0,14.25,46.55
9,5,3,26,13,2,1,1,0.0,112.0,2,0.0,0.0,0.0,12.0,2.82,1.63,64.5,0.0,14.25,34.81
7,6,3,0,13,2,1,0,1.0,54.0,0,54.0,0.0,0.0,7.0,5.0,0.08,65.0,0.05,25.0,47.08
9,5,2,29,13,2,1,1,1.0,56.0,0,28.0,0.0,0.0,8.0,0.0,0.4,65.0,0.0,26.68,36.84
9,5,2,3,13,2,1,1,1.0,56.0,0,28.0,0.0,0.0,8.0,8.48,0.4,65.0,0.0,25.77,26.41
9,5,2,3,13,2,1,1,1.0,56.0,0,28.0,0.0,0.0,8.0,16.95,0.4,65.0,0.0,24.28,16.56
9,5,2,3,13,2,1,1,1.0,56.0,0,28.0,0.0,0.0,8.0,25.43,0.4,65.0,0.0,24.07,12.58
9,5,2,3,0,2,1,1,1.0,56.0,0,28.0,0.0,0.0,8.0,9.04,0.4,65.0,0.0,24.57,12.7
9,5,2,3,0,2,1,1,1.0,56.0,0,28.0,0.0,0.0,8.0,9.61,0.4,65.0,0.0,24.57,9.86
9,5,2,3,0,2,1,1,1.0,56.0,0,28.0,0.0,0.0,8.0,10.17,0.4,65.0,0.0,24.57,18.33
3,5,3,19,13,2,1,0,1.0,35.0,0,35.0,0.0,0.0,9.0,2.25,0.02,64.71,0.5,29.01,44.28
3,5,3,19,9,1,1,0,1.0,35.0,0,35.0,0.0,0.0,9.0,2.57,0.02,64.07,0.5,30.34,19.09
3,5,3,19,9,1,1,0,1.0,35.0,0,35.0,0.0,0.0,9.0,3.32,0.02,60.53,0.5,26.95,27.33
3,5,3,19,9,1,1,0,1.0,35.0,0,35.0,0.0,0.0,9.0,4.07,0.02,65.74,0.5,29.05,47.97
9,6,3,29,13,2,1,0,1.0,40.0,1,30.0,30.0,690.0,6.0,0.0,0.24,64.55,7.69,16.54,53.1
9,6,3,40,13,2,1,0,1.0,40.0,1,30.0,30.0,690.0,6.0,6.0,0.14,63.56,7.32,16.4,36.2
