Material_Main,Turning times,Intermittent ratio, Composting Method,M1_is Enclosed,Period (d),V4_Ventilation Day,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),CH4-C loss (%)
5,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,0.00574
5,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,0.00447
6,5.0,0.02778,0,1,45.0,45.0,0.0,5,0.12,1.97084,65.0,21.22982,2.32236,1,36.86253,0,0.39779,0.14
6,5.0,0.02778,0,1,45.0,45.0,5.0,5,0.12,2.55513,65.0,21.99828,2.30744,1,35.55215,9,0.45334,0.06
6,5.0,0.02778,0,1,45.0,45.0,1.0,5,0.12,1.71142,65.0,21.99828,2.34936,1,37.1036,9,0.44572,0.05
6,5.0,0.02778,0,1,45.0,45.0,1.0,5,0.12,1.71142,65.0,21.99828,2.34936,1,37.1036,13,0.44572,0.02
6,5.0,0.02778,0,1,45.0,45.0,3.0,5,0.12,1.43942,65.0,21.99828,2.33936,1,36.88138,5,0.44747,0.04
6,5.0,0.02778,0,1,45.0,45.0,3.0,5,0.12,1.43942,65.0,21.99828,2.33936,1,36.88138,8,0.44747,0.08
6,5.0,0.02778,0,1,45.0,45.0,5.0,5,0.12,2.55513,65.0,21.99828,2.30744,1,35.55215,1,0.45334,0.04
6,7.0,0.0,0,1,35.0,35.0,0.0,5,0.06,0.3,72.86,11.37,2.68,0,30.45,0,0.667,0.4
0,0.0,0.0,2,0,133.0,0.0,0.0,5,0.1715,0.0,67.374,25.93261,1.37,0,46.61,0,0.68961,0.002
0,0.0,0.0,2,0,133.0,0.0,2.4,5,0.1845,0.0,67.374,21.69058,1.33,0,46.61,10,0.71861,0.0007
0,0.0,0.0,2,0,133.0,0.0,2.4,5,0.1845,0.0,67.374,21.69058,1.38,0,46.61,10,0.70092,0.0007
0,0.0,0.0,2,0,133.0,0.0,2.4,5,0.1845,0.0,67.374,21.69058,1.23,0,46.61,10,0.71861,0.0003
0,0.0,0.0,2,0,133.0,0.0,2.4,5,0.1845,0.0,67.374,21.69058,1.42,0,47.11,12,0.70092,0.0017
0,0.0,0.0,2,0,133.0,0.0,2.4,5,0.1845,0.0,67.374,21.69058,1.2,0,46.61,12,0.71861,0.0012
0,0.0,0.0,2,0,133.0,0.0,2.4,5,0.1845,0.0,67.374,21.69058,1.22,0,46.61,12,0.71861,0.0017
0,0.0,0.0,1,0,90.0,0.0,0.0,4,0.02069,0.0,68.6,22.8,1.272,0,45.836,0,0.69316,0.05
0,0.0,0.0,1,0,90.0,0.0,0.0,4,0.02069,0.0,68.65,23.71,1.142,0,45.42,0,0.58005,0.03
