Material_Main,Turning times,Intermittent ratio, Composting Method,M1_is Enclosed,Period (d),V4_Ventilation Day,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),TN loss (%)
5,7.0,0.0,1,0,28.0,0.0,30.0,11,1.0,0.0,61.0,24.57825,1.4,0,40.33513,0,0.12877,19.4
5,7.0,0.0,1,0,28.0,0.0,42.0,11,1.0,0.0,65.127,24.41803,1.4,0,40.58513,0,0.14028,16.26
5,5.02503,0.30467,1,0,45.03616,23.90261,4.57071,11,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,14.85
10,7.0,0.0,0,1,28.0,28.0,0.0,7,1.8,0.20354,63.2432,21.4241,2.13854,0,38.17138,0,0.66833,19.5
10,7.0,0.0,0,1,28.0,28.0,0.69203,7,1.8,0.20761,64.0541,21.12845,2.13854,0,37.88707,19,0.67,18.5
8,5.09091,0.0,0,1,56.0,56.0,0.0,11,0.13,1.11111,55.0,25.02125,1.80435,1,45.1471,0,0.5,6.03
8,5.09091,0.0,0,1,56.0,56.0,2.0,11,0.13,1.11111,55.0,25.08996,1.84239,1,46.2255,0,0.5,4.15
8,5.09091,0.0,0,1,56.0,56.0,4.0,11,0.13,1.11111,55.0,25.00167,1.8587,1,46.4706,0,0.5,2.7
8,5.09091,0.0,0,1,56.0,56.0,6.0,11,0.13,1.11111,55.0,23.99361,1.95109,1,46.8137,0,0.5,3.16
8,5.09091,0.0,0,1,56.0,56.0,8.0,11,0.13,1.11111,55.0,22.31769,2.11957,1,47.3039,0,0.5,2.44
8,5.09091,0.0,0,1,56.0,56.0,12.0,11,0.13,1.11111,55.0,21.13909,2.27717,1,48.1373,0,0.5,2.21
8,5.09091,0.0,0,1,56.0,56.0,18.0,11,0.13,1.11111,55.0,20.40002,2.42935,1,49.5588,0,0.5,2.08
4,1.86486,0.0,1,0,69.0,0.0,0.0,2,0.08,0.0,80.7,20.37805,0.82,0,16.71,0,0.47273,24.05063
4,1.86486,0.0,1,0,69.0,0.0,3.0,2,0.08,0.0,80.7,22.76667,0.9,0,20.49,0,0.47273,17.24138
4,1.86486,0.0,1,0,69.0,0.0,4.0,2,0.08,0.0,80.7,19.47368,0.95,0,18.5,21,0.47273,11.63934
4,1.86486,0.0,1,0,69.0,0.0,3.0,2,0.08,0.0,80.7,22.13253,0.83,0,18.37,21,0.47273,18.1
10,8.75,0.0,0,1,35.0,35.0,0.0,11,0.06,0.3,69.2,18.4,2.04,0,37.48,0,0.60796,37.5
10,8.75,0.0,0,1,35.0,35.0,1.40913,11,0.06,0.3,69.2,18.4,2.04,0,37.48,9,0.624,18.8
10,8.75,0.0,0,1,35.0,35.0,1.40913,11,0.06,0.3,69.2,18.4,2.04,0,37.48,24,0.624,20.8
10,8.75,0.0,0,1,35.0,35.0,1.40913,11,0.06,0.3,69.2,18.4,2.04,0,37.48,2,0.624,17.6
10,8.75,0.0,0,1,35.0,35.0,1.40913,11,0.06,0.3,69.2,18.4,2.04,0,37.48,9,0.624,9.8
10,5.46667,0.0,2,0,82.0,0.0,1.37741,7,5.456,0.0,63.7,15.4,2.60573,0,40.1283,19,0.3684,30.73
10,5.46667,0.0,2,0,82.0,0.0,9.64187,7,5.456,0.0,63.7,17.51,2.44091,0,42.7403,0,0.3794,20.73
10,7.14286,0.04167,0,1,50.0,50.0,2.5,4,0.18,6.25,60.0,17.6,2.66347,1,46.87707,19,0.22222,32.19
10,7.14286,0.04167,0,1,50.0,50.0,2.5,4,0.18,6.25,60.0,24.0,1.99045,1,47.7708,19,0.22222,20.8
10,7.14286,0.04167,0,1,50.0,50.0,2.5,4,0.18,6.25,60.0,32.4,1.55129,1,50.2618,19,0.22222,13.65
10,7.14286,0.04167,0,1,50.0,50.0,2.5,4,0.18,6.25,60.0,40.3,1.24328,1,50.10418,19,0.22222,7.66
10,7.14286,0.04167,0,1,50.0,50.0,2.5,4,0.18,6.25,60.0,24.0,2.48405,1,62.24477,2,0.22222,20.8
10,7.14286,0.04167,0,1,50.0,50.0,5.0,4,0.18,6.25,60.0,24.4,1.87774,1,47.0859,2,0.22222,13.82
10,7.14286,0.04167,0,1,50.0,50.0,7.5,4,0.18,6.25,60.0,24.1,1.87774,1,47.99453,2,0.22222,10.57
10,7.14286,0.04167,0,1,50.0,50.0,10.0,4,0.18,6.25,60.0,24.1,1.84651,1,47.99453,2,0.22222,9.8
10,7.0,0.04167,0,1,35.0,35.0,2.5,4,0.18,6.25,60.0,27.0,1.8811,1,50.7897,30,0.22222,33.01
10,7.0,0.04167,0,1,35.0,35.0,9.23077,4,0.18,6.25,60.0,26.0,1.76278,1,45.83228,30,0.22222,28.94
10,7.0,0.04167,0,1,35.0,35.0,16.92308,4,0.18,6.25,60.0,26.3,1.55575,1,40.91622,30,0.22222,21.28
10,7.0,0.04167,0,1,35.0,35.0,24.61538,4,0.18,6.25,60.0,25.3,1.48814,1,37.64994,30,0.22222,17.39
10,1.30645,0.0,1,0,81.0,0.0,0.0,7,16.0,0.0,65.0,14.42029,2.76,0,39.8,0,1.17979,34.15
10,1.22727,0.0,1,0,81.0,0.0,8.8,7,16.0,0.0,65.0,15.14815,2.7,0,40.9,0,1.18519,29.07
0,5.55556,0.0,1,0,50.0,0.0,0.0,0,0.06,0.0,60.6,22.5,1.30392,0,29.33824,0,0.43333,15.0
0,5.55556,0.0,1,0,50.0,0.0,25.49,0,0.06,0.0,60.1,23.4,1.2193,0,28.53158,8,0.47667,10.8
10,7.0,0.0,0,1,28.0,28.0,0.0,12,0.06,0.36,62.06,17.91,1.95,0,34.9245,0,0.7402,20.29
10,7.0,0.0,0,1,28.0,28.0,10.0,12,0.06,0.36,58.69,18.23,1.96,0,35.7308,2,0.78068,13.03
8,5.09091,0.0,0,1,56.0,56.0,10.0,11,0.1,0.87278,55.0,25.17972,1.80701,0,45.5,30,0.5,28.8
8,5.09091,0.0,0,1,56.0,56.0,10.0,11,0.1,0.87278,55.0,25.67343,1.77226,0,45.5,5,0.5,28.3
8,5.09091,0.0,0,1,56.0,56.0,10.0,11,0.1,0.87278,55.0,25.43875,1.78861,0,45.5,5,0.5,28.42
