V5_Ventilation rate (L/min/kg iniDW),Additive_4,Initial C/N (%),Compost volume (m3),Additive_1,Material_2,Additive_2,Initial pH,Application Rate (%DW),V2_Ventilation Interval (min),Initial GI (%),V4_Ventilation Day,M1_is Enclosed,V3_Ventilation Duration (min), Composting Method,Initial Moisture Content (%),Turning times,Material_3,Additive_3,Period (d),V1_Ventilation Type,Material_Main,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.0,None,20.0,0.08,Urea,Plastic tube pieces,Microbiological agent,7.814975287554928,2.2863633989777767,0,27.32884658064516,0.0,1.0,0,Reactor,69.0,20.0,None,None,54.0,None,Goat manure,0.875,35.0,102.85534899999998,6.757937625768416,0.28013506531715393,0.18048465477843434,1000000.0
0.0,None,30.0,0.08,LB Culture,Straw,Calcium magnesium phosphate fertilizer,5.0,9.773631571685053,0,27.32884658064516,0.0,0.0,0,Trough,51.860115379078614,19.0,Mature compost,None,44.0,None,Goat manure,0.875,26.25,101.80568899999994,6.83602137390559,0.2684861719608307,0.12409278572083512,1000000.0
0.0,None,36.55017454380052,0.08,Biochar,Byproduct,Organic acid,7.0,2.092621779434131,0,27.32884658064516,0.0,1.0,0,Reactor,65.0,13.0,Mature compost,None,54.0,None,Goat manure,0.875,31.981402725825454,104.26816999999996,7.0399417672536275,0.28013506531715393,0.227578340060792,19.01778682101968
1.84837218751378,None,12.727208138477796,0.08,Lignite,None,None,5.0,2.2092452697697325,0,27.32884658064516,48.0,0.0,0,Trough,64.0,13.0,None,None,56.0,Continuous,Goat manure,0.875,11.136307121168072,103.94252899999996,10.765676037223923,0.5081914067268372,0.1786156590888612,27.29799293822579
0.01457547044809826,None,29.53270419147727,0.08,Sulfur,Sawdust,Inorganic acid,8.0,4.224743407546808,0,27.32884658064516,62.0,0.0,0,Windrow,54.0,30.0,Mature compost,None,65.0,Continuous,Goat manure,0.875,25.84111616754261,102.68706399999996,8.929781278428191,0.3333641290664673,0.1629594367604725,25.04874362873973
0.0,None,16.0,0.08,Phosphogypsum,Byproduct,Zeolite,6.0,2.4807041726404915,0,27.32884658064516,0.0,1.0,0,Windrow,51.0,17.0,None,None,114.0,None,Goat manure,0.875,14.0,102.85670799999995,8.93578876411219,0.27536460757255554,0.15389858036847548,1000000.0
0.0,None,15.084642397875447,0.08,MgSO₄,Byproduct,Calcium magnesium phosphate fertilizer,5.294507993007009,6.690228359954772,0,27.32884658064516,0.0,1.0,0,Trough,50.0,15.0,None,None,98.0,None,Goat manure,0.875,13.199062098141015,102.84807499999997,9.130264463123092,0.2608774602413177,0.16316918792126012,20.895989519778933
0.0,None,24.920865909923943,0.08,Ca-superphosphate,Husk,Microbiological agent,8.0,6.453163337532502,0,27.32884658064516,0.0,0.0,0,Trough,66.80706385527739,15.0,Mature compost,None,15.0,None,Goat manure,0.875,21.805757671183446,103.53317899999996,7.205553957865111,0.2917302846908569,0.16420938029746285,24.46255495553448
1.2501742594039198,None,17.0,0.08,Sodium salt,Plastic tube pieces,Inorganic acid,5.4018214293322995,7.944670033948981,0,27.32884658064516,28.0,0.0,0,Windrow,59.60896498483765,26.0,Mature compost,None,44.0,Continuous,Goat manure,0.875,14.875,102.83867899999996,7.0746151072182775,0.3417354822158813,0.15106933449365184,1000000.0
0.0,None,20.063085546403574,0.08,MgO,Green Waste,Mg(OH)₂,6.101925046778886,6.608688051054063,0,27.328846580645166,0.0,0.0,0,Windrow,66.26614389615439,19.0,Mature compost,None,101.0,None,Goat manure,0.875,17.55519985310313,102.33988399999994,8.84826032163788,0.28537800908088684,0.17888242338672938,18.592643881436327
