V2_Ventilation Interval (min),Additive_2,Turning times,Initial C/N (%),Initial GI (%),V5_Ventilation rate (L/min/kg iniDW),V1_Ventilation Type,Initial Moisture Content (%),Material_Main,Material_2,Period (d),Initial pH,Compost volume (m3),Additive_1,Application Rate (%DW),M1_is Enclosed,V3_Ventilation Duration (min), Composting Method,V4_Ventilation Day,Material_3,Additive_4,Additive_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
1235.0,Mg(OH)₂,22.0,20.572148511299048,27.32884658064516,0.7892038589270673,Intermittent ,68.0,Poultry manure,Green Waste,118.0,6.946696109463548,0.6292491869918699,Potassium phosphate,6.658294457320322,1.0,56.125371102863284,Reactor,82.0,Green waste,None,None,2.4967368849582217,51.36324199099871,102.15076600000002,8.722701086249714,1.0395722389221191,0.1552378789244977,24.050581891767393
100.0,DCD,7.0,31.029614464969953,27.32884658064516,0.5128688516500945,Intermittent ,52.928185003154354,Poultry manure,Byproduct,79.0,5.7053564148600415,0.6292491869918699,K₂SO₄,2.510988786147452,0.0,3.62966878266642,Trough,72.0,Straw,None,None,2.4967368849582217,77.47278296072366,100.862465,12.016350243056875,0.5006768703460693,0.17293936880519215,23.318787568656397
619.0,Biochar,17.0,20.967977520780426,27.32884658064516,0.5280418560515276,Intermittent ,61.687125961808434,Poultry manure,Soil,129.0,6.340473859989054,0.6292491869918699,Labile carbon source,6.960157326646573,1.0,29.663271775988054,Windrow,54.0,None,None,None,2.4967368849582217,52.35152287910734,101.82899599999996,6.8081056524177885,0.8368850350379944,0.13978764614564654,24.78391987379744
1073.0,Calcium magnesium phosphate fertilizer,28.0,14.14900676460325,27.328846580645166,1.445016148556698,Intermittent ,60.04374053253129,Poultry manure,Green waste,126.0,8.0,0.6292491869918699,Lignite,3.234277123048908,1.0,55.08696342790535,Reactor,64.0,Mature compost,None,None,2.4967368849582217,35.326347074708316,103.67766000000002,7.378439465159359,0.9538769721984864,0.16766250459298918,25.157007137664124
432.0,Biochar,6.0,23.082045142741823,27.32884658064516,0.4396652546090334,Intermittent ,51.0,Poultry manure,Plastic tube pieces,73.0,7.0,0.6292491869918699,Ca-superphosphate,4.037152896054174,1.0,31.91635016622595,Windrow,46.0,Straw,None,None,2.4967368849582217,57.62979348815428,98.78651899999998,6.8081056524177885,0.8345198035240173,0.21585853723131396,20.12909116388472
374.0,MgO,27.0,10.40844405612114,27.32884658064516,0.7831276622739036,Intermittent ,53.0,Poultry manure,Byproduct,112.0,7.143331399451418,0.6292491869918699,Sulfur,8.133851793069338,1.0,53.973035998543914,Windrow,71.0,Byproduct,None,None,2.4967368849582217,25.987146189941807,99.631593,10.92836923176683,0.37532299757003773,0.16102536371381396,25.994280626421887
308.0,DCD,21.0,33.70463057493456,27.32884658064516,0.24421835519115165,Intermittent ,52.441030069867296,Poultry manure,Sawdust,110.0,6.0,0.6292491869918699,Potassium phosphate,2.6317888079424963,1.0,40.742927651564386,Windrow,60.0,Straw,None,None,2.4967368849582217,84.15159435032976,103.96060499999996,9.100945473398195,0.8348460197448729,0.15514064773914213,25.01030458754057
1321.0,Gypsum,5.0,16.98608354169834,27.452639172082016,0.9246740795538816,Intermittent ,51.477809367142115,Poultry manure,Sawdust,133.0,6.244794250893245,0.6292491869918699,Lime,2.7031399045285225,1.0,46.66120831276513,Windrow,79.0,Byproduct,None,None,2.4967368849582217,42.40978130954004,102.858126,7.229310466659236,0.3675282001495361,0.12050261005365324,22.784799879703158
205.0,Ca-superphosphate,5.0,11.087382501525036,27.32884658064516,0.5646612621432745,Intermittent ,57.0,Poultry manure,Green Waste,105.0,7.0,0.6292491869918699,MgO,2.8088449162711324,1.0,20.90657320951689,Trough,62.0,Poultry manure,None,None,2.4967368849582217,27.682276849197923,102.036426,9.619669145483163,0.8368850350379944,0.15511407223528265,22.552924633805443
804.0,Gypsum,1.0,27.0,27.32884658064516,0.5740015951563009,Intermittent ,52.36430881711708,Poultry manure,Husk,104.0,6.0,0.6292491869918699,Organic acid,6.290539833013709,1.0,20.394006388937232,Windrow,55.0,Poultry manure,None,None,2.4967368849582217,67.41189589387197,102.69594499999998,7.229310466659236,0.8374149799346924,0.14386642139891614,1000000.0
