Material_2,Initial pH,Additive_3,Additive_2,Initial Moisture Content (%),V2_Ventilation Interval (min),Material_3,Application Rate (%DW), Composting Method,Additive_4,V1_Ventilation Type,Initial C/N (%),Compost volume (m3),Material_Main,Period (d),V3_Ventilation Duration (min),Additive_1,V4_Ventilation Day,M1_is Enclosed,Initial GI (%),Turning times,V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
Green waste,5.5508371061802375,None,Organic acid,56.60712009463578,0.0,Green waste,5.923738200550251,Trough,None,None,38.44387656696647,2.147162565177521,Cattle manure,36.0,0.0,LB Culture,0.0,1.0,27.32884658064516,30.0,0.0,1.596639959668374,61.381029531377315,108.95391750000003,2.3755431076565383,1.0859928131103516,0.21726417062771555,24.606744071881828
Husk,7.0,None,Ca-superphosphate,62.15766146829935,0.0,Poultry manure,3.63836640204046,Windrow,None,None,12.985716414392819,2.147162565177521,Cattle manure,38.0,0.0,Gypsum,0.0,0.0,27.32884658064516,27.0,0.0,1.596639959668374,20.73351373214109,108.93161600000003,3.6738302478426896,1.1139123439788818,0.13403101682684124,24.38550018924828
Soil,6.0,None,Calcium magnesium phosphate fertilizer,63.04175343649503,760.0,Green waste,8.314912601889558,Windrow,None,Intermittent ,23.725503348382134,2.147162565177521,Cattle manure,34.0,31.745918215888,Inorganic acid,23.0,0.0,27.32884658064516,30.0,1.824093797293996,1.596639959668374,37.88108670927273,106.20547,6.981633120317352,1.044059991836548,0.17915061677669986,26.824821168015863
Green Waste,6.629478820641348,None,Calcium magnesium phosphate fertilizer,64.98771329171393,0.0,Straw,4.41166806477462,Trough,None,None,33.313715568315395,2.147162565177521,Cattle manure,39.0,0.0,Sulfur,0.0,0.0,27.32884658064516,24.0,0.0,1.596639959668374,53.19000948139878,108.78527000000004,3.0315983180526334,1.0780272483825684,0.1929336849540101,26.025159705364352
Husk,6.420287506414198,None,MgO,68.0,0.0,Straw,6.397217366103389,Reactor,None,None,16.183020788729912,2.147162565177521,Cattle manure,38.0,0.0,K₂SO₄,0.0,1.0,27.32884658064516,27.0,0.0,1.596639959668374,25.83845765943019,106.74233600000004,3.4417339394053936,1.0819621086120603,0.19574897698581267,24.80256059360041
Byproduct,8.0,None,DCD,52.0,0.0,Green waste,3.981964317204048,Windrow,None,Continuous,32.03569449208068,2.147162565177521,Cattle manure,42.0,0.0,Zeolite,15.0,0.0,27.32884658064516,31.0,1.6032483683611831,1.596639959668374,51.14946996178405,107.30418700000001,7.691563838779143,0.2894806563854217,0.1992606074672747,24.82862372856533
Straw,7.145985356023457,None,Ca-superphosphate,51.79592692128713,0.0,Mature compost,3.25634278126714,Reactor,None,None,12.141382286267298,2.147162565177521,Cattle manure,42.0,0.0,Forsterite,0.0,1.0,27.32884658064516,26.0,0.0,1.596639959668374,19.38541612386413,106.503242,4.045887907809297,1.0516366958618164,0.17033934734311726,27.22787824760592
Plastic tube pieces,5.967067037603508,None,DCD,53.0,0.0,Mature compost,6.727054707702018,Windrow,None,None,10.902037211580026,2.147162565177521,Cattle manure,30.0,0.0,Organic acid,0.0,0.0,27.32884658064516,28.0,0.0,1.596639959668374,17.406628253800243,110.03699900000004,3.14277298537902,1.0943846702575684,0.13901162906161835,25.92111154984025
Sawdust,6.0,None,Potassium phosphate,64.0,0.0,Straw,6.5595158261725315,Trough,None,None,18.0,2.147162565177521,Cattle manure,29.0,0.0,Sodium phosphates,0.0,0.0,27.32884658064516,25.0,0.0,1.596639959668374,28.739519274030727,107.06345900000002,3.4401198588712,1.0868518352508545,0.17107833203904796,1000000.0
Plastic tube pieces,6.0,None,MgO,62.50108274021297,0.0,Poultry manure,8.057427976893491,Reactor,None,None,21.675769929391798,2.147162565177521,Cattle manure,29.0,0.0,Organic acid,0.0,1.0,27.32884658064516,29.0,0.0,1.596639959668374,34.608400425845076,109.45543300000004,3.4833234836073763,1.0555856227874756,0.22660577987287994,27.65401050337755
