Additive_3,V3_Ventilation Duration (min),Initial GI (%),Initial pH,Additive_4,Additive_1,Additive_2, Composting Method,Application Rate (%DW),Compost volume (m3),Period (d),V4_Ventilation Day,V5_Ventilation rate (L/min/kg iniDW),Turning times,V1_Ventilation Type,Material_2,M1_is Enclosed,Material_3,Material_Main,Initial Moisture Content (%),Initial C/N (%),V2_Ventilation Interval (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
None,0.0,27.32884658064516,6.5752492916156005,None,Forsterite,Biochar,Windrow,3.242581244927578,0.0996875,107.0,0.0,0.0,0.0,None,Husk,0.0,Mature compost,Digestate,52.39546685464249,38.0,0.0,2.754411318174137,104.6676300906172,109.39188800000004,8.416129534918737,1.1007134914398191,0.09889580191180347,1000000.0
None,0.0,27.32884658064516,8.0,None,Labile carbon source,DCD,Reactor,6.904393257671792,0.0996875,43.0,0.0,0.0,1.0,None,Plastic tube pieces,1.0,Green waste,Digestate,65.77629677678314,35.87642182937702,0.0,2.754411318174137,98.81842234242576,109.87617200000004,9.975754468953708,0.9579986333847046,0.1817286823115365,16.941117548689963
None,0.0,27.32884658064516,6.638344362253204,None,Biochar,Inorganic acid,Reactor,3.9343642796378857,0.0996875,61.0,0.0,0.0,0.0,None,Sawdust,1.0,Poultry manure,Digestate,59.16914645570238,30.343205113498783,0.0,2.754411318174137,83.57766759430041,108.69911000000008,15.041439072120244,1.1007134914398191,0.18032608906327027,12.801703487347277
None,9.16539600145124,27.32884658064516,5.480655858830419,None,Urea,MgO,Windrow,6.891319106313512,0.0996875,63.0,55.0,0.0055325536620622895,17.0,Intermittent ,Plastic tube pieces,1.0,Mature compost,Digestate,54.0,36.605575922758774,940.0,2.754411318174137,100.82681262992944,107.48256000000003,8.860193777012665,1.3604162931442259,0.1203463911787604,21.679888562098512
None,0.0,27.32884658064516,7.0,None,Gypsum,Organic acid,Reactor,3.2814163609311007,0.0996875,131.0,0.0,0.0,9.0,None,Woody peat,1.0,Green waste,Digestate,60.72772013439144,32.0,0.0,2.754411318174137,88.14116218157238,107.016137,10.066525335705037,0.9485270977020264,0.1656564471712854,1000000.0
None,0.0,27.32884658064516,5.803510144851196,None,Ferric salt,MgSO₄,Reactor,7.126797659972613,0.0996875,56.0,0.0,0.0,0.0,None,None,1.0,Mature compost,Digestate,69.0,31.876659484301733,0.0,2.754411318174137,87.80143166914365,109.28393200000006,12.218960756183774,1.1007134914398191,0.10817352683591956,12.517907286388269
None,0.0,27.32884658064516,5.0,None,MgCl₂,Inorganic acid,Reactor,8.998668146454818,0.0996875,24.0,0.0,0.0,24.0,None,Plastic tube pieces,1.0,None,Digestate,62.0,33.0,0.0,2.754411318174137,90.89557349974652,108.73115000000004,10.07098433248407,0.98056161403656,0.17550620932414482,1000000.0
None,0.0,27.32884658064516,5.0,None,Clay,Microbiological agent,Windrow,5.5197631184869715,0.0996875,115.0,0.0,0.0,12.0,None,Byproduct,1.0,None,Digestate,55.0,36.307657245636975,0.0,2.754411318174137,100.00622205376972,109.601788,5.598308144137318,0.7579747438430786,0.14951703002317926,19.007718468981892
None,0.0,27.32884658064516,7.7814769069639205,None,Labile carbon source,Organic acid,Windrow,9.855654879425137,0.0996875,107.0,0.0,0.0,2.0,None,Woody peat,1.0,Mature compost,Digestate,57.132734708459864,38.356748428070794,0.0,2.754411318174137,105.65026199863622,107.887487,9.86655281708619,0.98056161403656,0.14810109394918095,15.136356636742502
None,0.0,27.32884658064516,7.0,None,MgO,Potassium phosphate,Reactor,6.286951500527871,0.0996875,33.0,0.0,0.0,31.0,None,Green Waste,1.0,Mature compost,Digestate,52.0,33.0,0.0,2.754411318174137,90.89557349974652,108.75898,5.598308144137318,1.1066763401031494,0.16343226831931346,1000000.0
