Turning times,V1_Ventilation Type,Period (d),V3_Ventilation Duration (min),Material_2,Compost volume (m3),Initial Moisture Content (%),Additive_3,Material_3, Composting Method,Initial GI (%),Additive_4,Material_Main,V5_Ventilation rate (L/min/kg iniDW),V2_Ventilation Interval (min),Initial C/N (%),Additive_1,Initial pH,Additive_2,V4_Ventilation Day,M1_is Enclosed,Application Rate (%DW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
30.0,None,113.0,0,Husk,0.6277154746460176,59.62494852053533,None,Green waste,Trough,27.32884658064516,None,Swine manure,0.0,0,37.70228427456353,Potassium phosphate,7.0,MgSO₄,0.0,0.0,2.366831957157342,2.0952942734506244,78.9973803365005,106.90242000000003,8.123568617030536,1.158782720565796,0.22073522866860928,22.77075264445672
24.0,None,64.0,0,Soil,0.6277154746460176,63.0,None,Byproduct,Trough,27.32884658064516,None,Swine manure,0.0,0,23.0,MgO,5.0,Potassium phosphate,0.0,0.0,7.805543247610196,2.0952942734506244,48.191768289364354,107.07318100000003,8.123568617030536,1.1565260887145996,0.17493664335074374,1000000.0
30.0,None,56.0,0,Plastic tube pieces,0.6277154746460176,67.0,None,Green waste,Windrow,27.32884658064516,None,Swine manure,0.0,0,36.88820764538174,MgSO₄,6.0,Biochar,0.0,0.0,8.092232350736117,2.0952942734506244,77.29165023722591,107.17781200000003,5.336427862832851,1.234606385231018,0.18969429445086305,1000000.0
7.0,None,106.0,0,None,0.6277154746460176,50.973827877617005,None,Green waste,Reactor,27.32884658064516,None,Swine manure,0.0,0,22.40344776115033,Lime,7.0,Mg(OH)₂,0.0,1.0,3.5413387432066297,2.0952942734506244,46.941815799488495,107.615741,8.123568617030536,1.1834878921508791,0.2117260212567113,20.419992054957834
15.0,None,108.0,0,Husk,0.6277154746460176,52.856214624213756,None,Green waste,Reactor,27.32884658064516,None,Swine manure,0.0,0,29.330620341093496,Phosphogypsum,6.0,Gypsum,0.0,1.0,2.2620951677250227,2.0952942734506244,61.45628083744761,106.81338300000004,8.123568617030536,1.1465296745300293,0.25348942681692377,22.055891590593554
26.0,None,60.0,0,None,0.6277154746460176,64.0,None,Green waste,Reactor,27.32884658064516,None,Swine manure,0.0,0,23.0,Phosphogypsum,5.0,DCD,0.0,1.0,9.996784407060666,2.0952942734506244,48.191768289364354,107.24654600000004,8.123568617030536,1.2381950616836548,0.22690074557196105,1000000.0
13.0,None,43.0,0,Plastic tube pieces,0.6277154746460176,60.76485309971465,None,Green waste,Trough,27.32884658064516,None,Swine manure,0.0,0,26.402748684333268,Sulfur,5.0,MgO,0.0,1.0,8.862029610840727,2.0952942734506244,55.3215281216395,106.50133500000004,8.123568617030536,1.158782720565796,0.2083591216534456,27.647446450040785
9.0,None,86.0,0,Byproduct,0.6277154746460176,69.0,None,Mature compost,Windrow,27.32884658064516,None,Swine manure,0.0,0,18.52165717381645,MgSO₄,7.0,Microbiological agent,0.0,0.0,4.436991574340124,2.0952942734506244,38.80832221111329,106.38623800000003,8.295991985695693,1.172702074050903,0.22556938288760636,22.82745379653734
2.0,None,107.0,0,Soil,0.6277154746460176,66.0,None,Mature compost,Reactor,27.32884658064516,None,Swine manure,0.0,0,26.79278174602355,Phosphogypsum,7.890764156610481,Microbiological agent,0.0,1.0,4.0724128368601855,2.0952942734506244,56.13876216225557,106.071292,8.123568617030536,1.1910953521728516,0.2227184094242644,19.141382010133352
5.0,None,120.0,0,Plastic tube pieces,0.6277154746460176,56.874844294932565,None,Byproduct,Reactor,27.32884658064516,None,Swine manure,0.0,0,10.73991716455633,Phosphogypsum,8.0,Organic acid,0.0,1.0,9.512584537721684,2.0952942734506244,22.503286932228946,107.914586,8.104620044907534,1.1999132633209229,0.18767090703194786,19.381507469014206
