Material_2, Composting Method,M1_is Enclosed,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),TC loss (%)
1,0,1.0,7,56.0,0.0,2,0.0,0.0,7.0,13.2,1.2,67.6,11,0.0,7,18.98,44.3
19,0,1.0,5,28.0,0.0,2,0.0,0.0,9.0,0.0,0.13,61.46,9,0.0,7,30.88,41.19
19,0,1.0,5,28.0,0.0,2,0.0,0.0,9.0,2.0,0.13,60.66,3,0.0,7,30.04,38.64
19,0,1.0,5,28.0,0.0,2,0.0,0.0,9.0,4.0,0.13,59.71,3,0.0,7,30.35,31.45
19,0,1.0,5,28.0,0.0,2,0.0,0.0,9.0,6.0,0.13,60.45,3,0.0,7,30.57,25.78
19,0,1.0,5,28.0,0.0,2,0.0,0.0,9.0,8.0,0.13,60.07,3,0.0,7,30.88,18.48
1,0,1.0,7,28.0,28.0,1,30.0,30.0,2.0,0.0,0.07,60.0,9,0.86,7,15.04,46.9
1,0,1.0,7,28.0,28.0,1,30.0,30.0,2.0,0.0,0.07,60.0,9,0.93,7,19.96,53.94
1,0,1.0,7,28.0,28.0,1,30.0,30.0,2.0,0.0,0.07,60.0,9,0.9,7,24.99,67.74
6,0,1.0,2,28.0,28.0,1,30.0,60.0,4.0,0.0,0.06,66.9,9,1.21,7,25.0,52.8
14,0,1.0,2,28.0,28.0,1,30.0,60.0,4.0,0.0,0.06,58.6,9,0.96,7,20.9,59.4
14,0,1.0,2,28.0,28.0,1,30.0,60.0,4.0,0.0,0.06,53.1,9,0.86,7,18.7,62.5
14,0,1.0,2,28.0,28.0,1,30.0,60.0,4.0,0.0,0.06,47.5,9,0.76,7,16.8,60.1
1,1,1.0,1,40.0,0.0,2,0.0,0.0,9.0,0.0,0.2,65.0,9,0.0,7,29.71,55.81
1,1,1.0,1,40.0,0.0,2,0.0,0.0,9.0,1.0,0.2,65.0,8,0.0,7,29.85,54.13
1,1,1.0,1,40.0,0.0,2,0.0,0.0,9.0,5.0,0.2,65.0,0,0.0,7,33.08,52.5
1,1,1.0,1,40.0,0.0,2,0.0,0.0,9.0,6.0,0.2,65.0,0,0.0,6,33.44,48.48
