Initial pH,Material_Main,Additive_3,Initial Moisture Content (%),Initial GI (%),V3_Ventilation Duration (min),Material_2,V1_Ventilation Type, Composting Method,Additive_1,Period (d),Initial C/N (%),M1_is Enclosed,Additive_4,Material_3,V5_Ventilation rate (L/min/kg iniDW),Turning times,Additive_2,V2_Ventilation Interval (min),Compost volume (m3),V4_Ventilation Day,Application Rate (%DW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
9.659861524183595,Swine manure,None,78.42105044458182,27.32884658064516,0.0,Soil,Continuous,Reactor,MgSO₄,40.0,36.0,1.0,None,Byproduct,0.015050630477587,16.0,Calcium magnesium phosphate fertilizer,0.0,0.6277154746460176,31.0,8.250552961345175,2.0952942734506244,73.23877496438435,111.57196100000002,5.3383458945556805,0.2954515218734741,0.2131857326694048,1000000.0
8.07354535208201,Swine manure,None,63.0,27.32884658064516,0.0,Green waste,Continuous,Trough,Phosphogypsum,83.0,41.3265124632238,1.0,None,Byproduct,1.5167590738134673,16.0,Ca-superphosphate,0.0,0.6277154746460176,36.0,9.290440601278144,2.0952942734506244,86.59120490587868,112.688861,5.469349438918209,0.4503313601016998,0.2470420659433316,25.3887978235176
8.287009325815927,Swine manure,None,80.22365329733186,27.32884658064516,0.0,Plastic tube pieces,Continuous,Windrow,Mg(OH)₂,85.0,11.0,1.0,None,Mature compost,0.9560127721680454,27.0,DCD,0.0,0.6277154746460176,71.0,7.105138231694797,2.0952942734506244,80.64420796237417,112.971562,4.651655702559637,0.5183887481689453,0.1964672987776982,1000000.0
7.122668644026043,Swine manure,None,68.0,27.32884658064516,0.0,Byproduct,Continuous,Windrow,Labile carbon source,83.0,22.0,0.0,None,Poultry manure,0.3628982693150282,24.0,Calcium magnesium phosphate fertilizer,0.0,0.6277154746460176,65.0,9.030104407487483,2.550642967735649,54.42960252991479,112.513912,1000000.0,1000000.0,1000000.0,1000000.0
11.544297678617786,Swine manure,None,62.27964939605773,27.32884658064516,29.233319302883565,None,Intermittent ,Reactor,Lime,116.0,28.0,1.0,None,Byproduct,0.224611690923866,16.0,Gypsum,1044.0,0.6277154746460176,34.0,4.202480725300567,2.0952942734506244,77.31436874223184,108.56937800000004,7.07233541181214,0.3369549512863159,0.1311618100625254,1000000.0
11.053476486340555,Swine manure,None,74.54702962298121,27.32884658064516,0.0,Soil,Continuous,Reactor,K₂SO₄,59.0,15.0,1.0,None,Mature compost,0.5018530645657187,25.0,Calcium magnesium phosphate fertilizer,0.0,0.6277154746460176,41.0,6.481865765907689,2.0952942734506244,22.6553734970243,112.31563700000002,5.05634175307047,0.2940239310264587,0.2078125728962544,1000000.0
7.0,Swine manure,None,54.0,27.32884658064516,0.0,Byproduct,Continuous,Trough,MgSO₄,124.0,37.0,1.0,None,Byproduct,0.8636076572325357,20.0,DCD,0.0,0.6277154746460176,31.0,3.003308570895422,2.0952942734506244,63.730058867405326,112.707927,4.415496614246974,0.5183887481689453,0.2496742317655058,1000000.0
7.0,Swine manure,None,72.4689285307803,27.32884658064516,0.0,Sawdust,Continuous,Trough,Carbonatite,98.0,38.0,0.0,None,Poultry manure,1.4895557374181994,13.0,DCD,0.0,0.6277154746460176,43.0,6.6751660366326,2.0952942734506244,28.1489891020901,113.020029,4.697500755732185,0.543677806854248,0.2159210253986038,1000000.0
9.822550099868153,Swine manure,None,78.28738782034364,27.32884658064516,0.0,Husk,Continuous,Trough,Carbonatite,50.0,40.0,1.0,None,None,0.4088021361599698,22.0,Calcium magnesium phosphate fertilizer,0.0,0.6277154746460176,49.0,7.791406418812941,2.0952942734506244,43.96992269222557,111.98316900000002,5.05634175307047,0.2940239310264587,0.221239815470584,1000000.0
11.409227847455671,Swine manure,None,65.0,27.32884658064516,0.0,Husk,Continuous,Windrow,Organic acid,63.0,13.0,0.0,None,Mature compost,1.9003121773907727,15.0,Biochar,0.0,0.6277154746460176,51.0,4.407174478661337,2.0952942734506244,46.039600715264775,110.339641,2.779882515208042,1.0695152282714844,0.1909183338757062,1000000.0
7.0,Swine manure,None,57.0,27.32884658064516,14.325682674977005,Sawdust,Intermittent ,Reactor,Gypsum,132.0,17.0,1.0,None,Poultry manure,0.2906597651890432,18.0,Calcium magnesium phosphate fertilizer,1393.0,0.6277154746460176,53.0,6.653803310490921,2.0952942734506244,60.347133382679374,112.07153300000004,6.960852653060803,0.1473038643598556,0.178444111000012,1000000.0
8.0,Swine manure,None,54.0,27.328846580645163,0.0,Plastic tube pieces,Continuous,Trough,Labile carbon source,50.0,44.73514589659754,0.0,None,Straw,1.7838951040938655,28.0,Calcium magnesium phosphate fertilizer,0.0,0.6277154746460176,30.0,8.013844407477112,2.0952942734506244,94.09617002735324,111.96056200000002,4.651655702559637,0.430954098701477,0.218109785832038,1000000.0
6.0,Swine manure,None,59.0,27.32884658064516,0.0,None,Continuous,Windrow,Mg(OH)₂,122.0,11.0,1.0,None,Straw,1.0492070593256673,24.0,DCD,0.0,0.6277154746460176,65.0,2.070320794498521,2.0952942734506244,60.33826644055098,113.34015100000002,4.415496614246974,0.5183887481689453,0.1905009361478994,1000000.0
7.0,Swine manure,None,70.0,27.32884658064516,43.380983574207406,None,Intermittent ,Reactor,MgHPO₄,100.0,13.0,1.0,None,Byproduct,1.63027903036793,11.0,Zeolite,408.0,0.6277154746460176,30.0,8.322631195375113,2.0952942734506244,16.381531195655075,104.909521,6.491359037758806,0.4078534543514251,0.1914047067786765,1000000.0
6.75442357809079,Swine manure,None,66.0,27.32884658064516,0.0,None,Continuous,Reactor,Phosphogypsum,94.0,16.0,1.0,None,Poultry manure,0.5268511747872549,29.0,Ca-superphosphate,0.0,0.6277154746460176,70.0,3.2841137334331463,2.0952942734506244,35.31883889909314,112.753552,4.951186209120335,0.411769300699234,0.2157512306976081,1000000.0
8.467615926969692,Swine manure,None,54.0,27.32884658064516,0.0,Sawdust,Continuous,Windrow,Organic acid,61.0,32.0,0.0,None,Straw,0.4548452473329736,18.0,Ca-superphosphate,0.0,0.6277154746460176,31.0,2.875024004409695,2.0952942734506244,57.76508780458393,111.828066,5.187345297432998,0.4288850128650665,0.1898933537159843,1000000.0
