Initial Moisture Content (%),Compost volume (m3),Initial C/N (%),Additive_1,V2_Ventilation Interval (min),Additive_3,V1_Ventilation Type,V4_Ventilation Day,Material_Main,Period (d),Additive_4,Initial pH,Initial GI (%),Turning times,V3_Ventilation Duration (min), Composting Method,M1_is Enclosed,Material_2,Additive_2,Application Rate (%DW),V5_Ventilation rate (L/min/kg iniDW),Material_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
67.0,0.045,22.0,Lignite,348.0,None,Intermittent ,4.0,Sheep manure,13.0,None,9.68494602630037,27.32884658064516,3.0,32.32245027834708,Windrow,1.0,Byproduct,Zeolite,2.181937874569795,1.671185398200857,Straw,1.97,27.521543853983992,93.217805,6.567408102564352,1.0648173093795776,0.1847157840791446,1000000.0
64.0,0.045,39.0,Microbiological agent,422.0,None,Intermittent ,26.0,Sheep manure,90.0,None,6.0,27.32884658064516,7.0,27.38239345752412,Trough,1.0,Byproduct,Calcium magnesium phosphate fertilizer,5.593571816230758,1.5556191964238193,Mature compost,1.97,45.45114634993485,91.26364599999997,8.896948645855947,1.0399610996246338,0.1635610856554173,1000000.0
66.0,0.045,10.0,MgSO₄,543.0,None,Intermittent ,4.0,Sheep manure,105.0,None,6.0,27.32884658064516,6.0,38.58111429944861,Reactor,1.0,Green waste,Biochar,3.054584342268475,1.579751649092359,Mature compost,1.97,32.18855060217262,91.39508900000006,5.29502179679577,0.6092134118080139,0.157011781833743,1000000.0
63.0,0.045,15.0,Microbiological agent,1077.0,None,Intermittent ,15.0,Sheep manure,69.0,None,7.0,27.32884658064516,22.0,28.173435188983483,Windrow,1.0,Husk,Biochar,5.364274910630022,0.084937146515249,Poultry manure,1.97,26.55965033682843,90.34400200000005,5.804261062447982,0.9916461110115052,0.1506023356808095,1000000.0
72.22083901482078,0.045,38.43188703881902,Zeolite,684.0,None,Intermittent ,4.0,Sheep manure,63.0,None,9.94231286092546,27.32884658064516,0.0,57.14050225162632,Reactor,1.0,Woody peat,Gypsum,5.2512905323932335,0.8220502430648984,Poultry manure,1.97,38.30572271969978,92.232552,8.922230077897062,0.512031078338623,0.1379545231072655,1000000.0
58.0,0.045,39.0,Labile carbon source,0.0,None,Continuous,7.0,Sheep manure,80.0,None,7.0,27.32884658064516,0.0,0.0,Windrow,1.0,Byproduct,Gypsum,5.222971667203479,0.886061741513944,Byproduct,1.97,23.75687863200115,90.68007199999995,9.132068491168756,0.8948249220848083,0.203155698033617,1000000.0
56.0,0.045,34.0,Carbonatite,0.0,None,None,0.0,Sheep manure,40.0,None,9.969135555231311,27.32884658064516,15.0,0.0,Windrow,1.0,Byproduct,Gypsum,6.153932238947773,0.0,Straw,1.97,30.146558984131623,92.26035499999998,9.055383979398227,0.7254840731620789,0.2148065495062915,1000000.0
65.0,0.045,23.0,Zeolite,0.0,None,None,0.0,Sheep manure,128.0,None,9.995000585721758,27.32884658064516,0.0,0.0,Trough,0.0,Sawdust,Mg(OH)₂,5.079530152721103,0.0,Byproduct,1.97,62.89362619823383,90.088379,12.687449051577593,0.6246209740638733,0.1572498567426554,1000000.0
65.0,0.045,29.0,Sand,1384.0,None,Intermittent ,28.0,Sheep manure,117.0,None,5.0,27.32884658064516,30.0,57.596549174240586,Reactor,1.0,Green Waste,Biochar,3.2203497183944485,1.1339386863192435,None,1.97,64.70063165552732,91.54957600000004,8.467124979964332,0.5340160727500916,0.1309138481515646,1000000.0
55.0,0.045,34.0,LB Culture,171.0,None,Intermittent ,8.0,Sheep manure,94.0,None,5.0,27.32884658064516,6.0,1.58817204911466,Trough,1.0,Byproduct,MgSO₄,2.6548501721468742,1.142436853258644,Mature compost,1.97,24.626138806254808,92.415834,8.494233170866801,0.8638399243354797,0.1710141045502962,1000000.0
