material_0,initial TN(%),initial TC(%),initial moisture content(%),initial CN(%),initial pH,material_1,Excipients_1,Additive Species,TC loss  (%)
1,9.641746587219401,96.7573966295441,30.35207869202363,5.78939359540909,8.606738711933854,4,30.01570547404408,4,[57.37018516]
1,0.4419535711266185,0.4970527320411686,71.74744401141793,31.38641048690325,-0.9814316387202304,3,52.96407847845773,1,[55.32423623]
1,2.077588977468001,95.05641799139377,71.01021781744942,40.075476002912936,2.458818260779122,0,56.48387150418163,0,[59.79925511]
2,2.728767787269908,187.4400719618333,23.27775905658608,16.304191022715166,4.638673573167854,3,30.146282807499055,3,[56.59766246]
2,6.618033090173208,173.20050529585836,61.488886483627546,35.55697343252315,0.3751891645586951,0,27.225886873487035,4,[56.68118947]
2,2.1078296234306024,90.53541511802771,39.90627438759881,18.274382861717157,3.5918274742084675,5,26.2252090177369,2,[55.57311628]
2,1.8898696179290293,87.83695064057378,44.484818222008116,7.2732545811934415,-0.8401863365055329,6,0.499648164054626,4,[53.98749125]
0,2.7574634485445837,41.16942883061038,74.1554139383865,38.78486437166954,6.943610808114653,3,26.94396273582135,4,[58.46180041]
3,1.7895615553142181,1.4412138801296714,71.7738457308286,42.16623100031261,2.463118140321624,7,30.086779534056046,4,[58.00040672]
1,3.3630891603336153,182.76346071197958,68.85467556234654,15.805733390752977,6.518900743137189,3,47.78400227125132,1,[57.52614613]
2,3.4273342311991666,8.46106627643159,66.23088793641075,34.13230131057709,2.021057576472109,0,21.242721139116675,3,[55.26650261]
