Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Turning times,Period (d),V4_Ventilation Day,V1_Ventilation Type,Compost volume (m3),V3_Ventilation Duration (min),Application Rate (%DW),Initial Moisture Content (%),Initial C/N (%),Initial pH,Initial TN (%),V5_Ventilation rate (L/min/kg iniDW),TN loss (%)
8,0,4,2,11,4,1,0,1.0,0.0,0.0,42.0,21.0,0.0,0.4,0.0,17.7,64.768,37.15365,7.78504,0.794,0.10076,26.7
8,0,4,2,11,4,1,0,1.0,0.0,0.0,42.0,21.0,0.0,0.4,0.0,24.7,63.6,38.61893,7.89804,0.782,0.10159,20.4
8,0,4,2,11,4,1,0,1.0,0.0,0.0,42.0,21.0,0.0,0.4,0.0,31.8,63.79,42.46196,7.98132,0.723,0.13143,14.6
7,13,4,27,11,4,1,2,0.0,0.0,11.0,135.0,0.0,2.0,4.5,0.0,0.0,65.9341,9.21875,5.94937,3.2,0.0,73.7
7,13,4,2,11,4,1,2,0.0,0.0,11.0,135.0,0.0,2.0,4.5,0.0,3.0,66.989,9.71875,6.54776,3.2,0.0,74.9
8,8,4,13,11,4,1,0,1.0,0.0,11.0,22.0,22.0,0.0,0.0035,0.0,0.0,57.9,20.02631,3.51,2.13,0.64132,3.76
8,8,4,13,11,4,1,0,1.0,0.0,11.0,22.0,22.0,0.0,0.0035,0.0,0.0,58.2,21.54387,4.45,2.05,0.62826,4.01
8,8,4,13,11,4,1,0,1.0,0.0,11.0,22.0,22.0,0.0,0.0035,0.0,0.0,59.4,20.2496,5.51,2.14,0.59057,24.8
8,8,4,13,11,4,1,0,1.0,0.0,11.0,22.0,22.0,0.0,0.0035,0.0,0.49018,57.5,17.93989,6.48,2.15,0.48227,28.1
8,8,4,27,11,4,1,0,1.0,0.0,11.0,22.0,22.0,0.0,0.0035,0.0,0.0,58.2,14.52798,7.56,2.13,0.53227,44.7
8,8,4,27,11,4,1,0,1.0,0.0,3.0,16.0,16.0,0.0,0.045,0.0,0.0,70.9,20.0,7.04,2.1,0.51546,24.4
8,8,4,2,11,4,1,0,1.0,0.0,3.0,16.0,16.0,0.0,0.045,0.0,14.0,71.7,21.0,7.28,2.0,0.53004,9.2
8,8,4,2,11,4,1,0,1.0,0.0,3.0,16.0,16.0,0.0,0.045,0.0,14.0,68.3,25.0,7.25,1.7,0.47319,8.5
3,4,4,27,11,4,1,0,1.0,0.0,9.0,19.0,19.0,0.0,0.5204,0.0,0.0,70.0,26.38728,6.3,1.73,10.0,49.1
3,4,4,25,11,4,1,0,1.0,0.0,9.0,19.0,19.0,0.0,0.5204,0.0,3.0,70.0,26.38728,6.3,1.73,10.0,40.5
3,4,4,23,6,4,1,0,1.0,0.0,9.0,19.0,19.0,0.0,0.5504,0.0,6.9,70.0,26.34783,6.2,1.61,10.0,40.5
3,4,4,25,8,3,1,0,1.0,0.0,9.0,19.0,19.0,0.0,0.5504,0.0,9.9,70.0,26.34783,6.2,1.61,10.0,18.9
10,4,4,25,11,4,1,0,1.0,240.0,6.0,35.0,35.0,1.0,0.187,10.0,2.38663,58.1,26.0,8.33957,1.8681,5.96659,33.01
10,4,4,38,10,4,1,0,1.0,240.0,6.0,35.0,35.0,1.0,0.187,10.0,14.31981,58.1,26.0,8.33176,1.73697,5.96659,28.94
10,4,4,38,10,4,1,0,1.0,240.0,6.0,35.0,35.0,1.0,0.187,10.0,26.25298,58.1,26.0,8.2342,1.54555,5.96659,21.28
10,4,4,38,10,4,1,0,1.0,240.0,6.0,35.0,35.0,1.0,0.187,10.0,38.18616,58.1,26.0,8.18152,1.48859,5.96659,17.39
5,5,4,25,11,4,1,1,0.0,0.0,7.0,35.0,0.0,2.0,1.0,0.0,3.01629,66.8467,28.21888,7.868,1.6298,0.0,15.2
5,5,4,10,14,0,0,1,0.0,0.0,7.0,35.0,0.0,2.0,1.0,0.0,6.06463,67.0219,28.21888,7.896,1.62781,0.0,10.5
5,5,4,10,14,0,0,1,0.0,0.0,7.0,35.0,0.0,2.0,1.0,0.0,8.86923,66.1752,26.65888,7.876,1.62185,0.0,9.0
5,5,4,10,14,0,0,1,0.0,0.0,7.0,35.0,0.0,2.0,1.0,0.0,11.87687,66.3211,26.65888,7.856,1.62384,0.0,4.2
10,8,4,27,11,4,1,1,0.0,0.0,12.0,112.0,42.0,0.0,0.25,0.0,0.0,65.4,25.5,7.1,1.4,0.2569,42.8
10,8,4,25,11,4,1,1,0.0,0.0,12.0,112.0,42.0,0.0,0.25,0.0,2.94985,66.1,25.5,6.8,1.6,0.26221,41.4
10,8,4,27,11,4,1,1,0.0,0.0,12.0,112.0,0.0,2.0,3.6608,0.0,0.0,64.9,20.28678,6.9,3.4,0.0,46.54838
10,8,4,25,11,4,1,1,0.0,0.0,12.0,112.0,0.0,2.0,5.2488,0.0,2.8169,64.5,18.64159,7.0,3.1,0.0,34.81425
7,13,4,27,11,4,1,0,1.0,0.0,7.0,54.0,54.0,0.0,0.103,0.0,0.0,65.0,25.0,7.10727,1.783,0.05,53.83
7,13,4,25,11,4,1,0,1.0,0.0,7.0,54.0,54.0,0.0,0.1085,0.0,5.0,65.0,25.0,7.18293,1.783,0.05,47.08
10,8,3,27,11,4,1,1,1.0,0.0,8.0,56.0,28.0,0.0,0.4,0.0,0.0,65.0,20.33591,7.98471,1.65168,5e-05,36.8405
10,8,3,2,11,4,1,1,1.0,0.0,8.0,56.0,28.0,0.0,0.4,0.0,8.4771,65.0,20.91931,8.02,1.41835,5e-05,26.4139
