Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Turning times,Period (d),Compost volume (m3),V1_Ventilation Type,V4_Ventilation Day,Application Rate (%DW),V3_Ventilation Duration (min),Initial C/N (%),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TC loss (%)
10,13,4,27,11,4,1,1,1.0,0.0,5.0,70.0,1.2,2.0,0.0,0.0,0.0,17.4,0.0,64.0,62.73
10,13,4,27,11,4,1,1,0.0,0.0,0.0,70.0,1.2,2.0,0.0,0.0,0.0,17.4,0.0,64.0,52.88
10,13,4,27,11,4,1,1,1.0,0.0,0.0,70.0,1.2,2.0,0.0,0.0,0.0,17.4,0.0,64.0,51.81
8,13,4,27,11,4,1,0,1.0,0.0,5.0,35.0,0.06,0.0,35.0,0.0,0.0,11.37,0.2,72.1,50.26
10,13,4,27,11,4,1,0,1.0,0.0,7.0,56.0,1.2,2.0,0.0,0.0,0.0,18.98238,0.0,67.6,66.0
10,13,4,4,11,4,1,0,1.0,0.0,7.0,56.0,1.2,2.0,0.0,3.3,0.0,18.98238,0.0,67.6,59.5
10,13,4,4,11,4,1,0,1.0,0.0,7.0,56.0,1.2,2.0,0.0,6.6,0.0,18.98238,0.0,67.6,60.5
10,13,4,4,11,4,1,0,1.0,0.0,7.0,56.0,1.2,2.0,0.0,9.9,0.0,18.98238,0.0,67.6,55.3
10,13,4,4,11,4,1,0,1.0,0.0,7.0,56.0,1.2,2.0,0.0,13.2,0.0,18.98238,0.0,67.6,44.3
7,13,4,27,11,4,1,0,1.0,0.0,9.0,28.0,0.13,2.0,0.0,0.0,0.0,30.8801,0.0,61.4561,41.19
7,13,4,8,11,4,1,0,1.0,0.0,9.0,28.0,0.13,2.0,0.0,2.0,0.0,30.0375,0.0,60.661,38.64
7,13,4,8,11,4,1,0,1.0,0.0,9.0,28.0,0.13,2.0,0.0,4.0,0.0,30.3496,0.0,59.7109,31.45
7,13,4,8,11,4,1,0,1.0,0.0,9.0,28.0,0.13,2.0,0.0,6.0,0.0,30.568,0.0,60.4548,25.78
7,13,4,8,11,4,1,0,1.0,0.0,9.0,28.0,0.13,2.0,0.0,8.0,0.0,30.8801,0.0,60.0684,18.48
7,13,4,8,11,4,1,0,1.0,0.0,9.0,28.0,0.13,2.0,0.0,10.0,0.0,31.0362,0.0,59.4546,12.39
10,13,4,27,11,4,1,0,1.0,30.0,2.0,28.0,0.07122,1.0,28.0,0.0,30.0,15.04166,0.8589,60.0,46.9
10,13,4,27,11,4,1,0,1.0,30.0,2.0,28.0,0.07122,1.0,28.0,0.0,30.0,19.96354,0.92562,60.0,53.94
10,13,4,27,11,4,1,0,1.0,30.0,2.0,28.0,0.07122,1.0,28.0,0.0,30.0,24.98683,0.90323,60.0,67.74
10,13,4,27,11,4,1,0,1.0,30.0,2.0,28.0,0.07122,1.0,28.0,0.0,30.0,30.22585,0.90909,60.0,73.28
2,5,4,27,11,4,1,0,1.0,60.0,4.0,28.0,0.06,1.0,28.0,0.0,30.0,25.0,1.20727,66.9,52.8
2,0,4,27,11,4,1,0,1.0,60.0,4.0,28.0,0.06,1.0,28.0,0.0,30.0,20.9,0.96434,58.6,59.4
2,0,4,27,11,4,1,0,1.0,60.0,4.0,28.0,0.06,1.0,28.0,0.0,30.0,18.7,0.85547,53.1,62.5
2,0,4,27,11,4,1,0,1.0,60.0,4.0,28.0,0.06,1.0,28.0,0.0,30.0,16.8,0.76023,47.5,60.1
1,13,4,27,11,4,1,1,1.0,0.0,9.0,40.0,0.2,2.0,0.0,0.0,0.0,29.7094,0.0,65.0,55.81
1,13,4,25,11,4,1,1,1.0,0.0,9.0,40.0,0.2,2.0,0.0,1.0,0.0,29.8465,0.0,65.0,54.13
1,13,4,2,11,4,1,1,1.0,0.0,9.0,40.0,0.2,2.0,0.0,5.0,0.0,33.0811,0.0,65.0,52.5
1,13,4,2,10,4,1,1,1.0,0.0,9.0,40.0,0.2,2.0,0.0,6.0,0.0,33.4375,0.0,65.0,48.48
