Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Turning times,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Application Rate (%DW),Initial TN (%),Initial pH,Initial Moisture Content (%),Initial C/N (%),N2O-N loss (%)
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,37.0,0.0,0.0,0.06,0.24,0.0,1.93,8.4,75.7,21.2,2.1
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,37.0,0.0,0.0,0.06,0.48,0.0,2.37,8.6,76.8,14.9,3.8
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,37.0,0.0,0.0,0.06,0.72,0.0,2.09,8.6,74.0,18.0,5.2
10,13,4,27,11,4,1,0,1.0,0.0,1.0,31.0,30.0,0.0,0.0,0.95,0.312,0.1224,2.57,7.13,69.47,13.16342,0.54
0,8,4,27,11,4,1,0,1.0,0.0,9.0,35.0,35.0,0.0,0.0,0.1559,1.07886,0.0,1.817,7.18244,66.03,21.96203,3.29
0,8,4,27,11,4,1,0,1.0,0.0,9.0,35.0,35.0,0.0,0.0,0.2984,1.03786,0.0,1.813,7.15101,65.69,21.51131,3.86
0,8,4,27,11,4,1,0,1.0,0.0,9.0,35.0,35.0,0.0,0.0,0.5697,1.05836,0.0,1.796,7.15101,66.14,21.64477,4.62
10,13,4,27,11,4,1,1,0.0,0.0,10.0,70.0,0.0,2.0,0.0,1.2,0.0,0.0,2.22,7.4,64.0,17.4,0.81
10,13,4,27,11,4,1,1,1.0,0.0,10.0,70.0,0.0,2.0,0.0,1.2,0.0,0.0,2.22,7.4,64.0,17.4,0.96
10,13,4,27,11,4,1,1,0.0,0.0,5.0,70.0,0.0,2.0,0.0,1.2,0.0,0.0,2.22,7.4,64.0,17.4,1.05
10,13,4,27,11,4,1,1,1.0,0.0,5.0,70.0,0.0,2.0,0.0,1.2,0.0,0.0,2.22,7.4,64.0,17.4,1.07
10,13,4,27,11,4,1,1,0.0,0.0,0.0,70.0,0.0,2.0,0.0,1.2,0.0,0.0,2.22,7.4,64.0,17.4,3.93
10,13,4,27,11,4,1,1,1.0,0.0,0.0,70.0,0.0,2.0,0.0,1.2,0.0,0.0,2.22,7.4,64.0,17.4,2.94
8,13,4,27,11,4,1,0,1.0,20.0,7.0,39.0,39.0,1.0,20.0,0.288,0.455,0.0,2.089,7.57,68.07,25.38104,1.11
8,8,4,27,11,4,1,0,1.0,20.0,7.0,39.0,39.0,1.0,20.0,0.288,0.455,0.0,2.247,6.95,68.53,24.5692,1.37
10,0,4,27,11,4,1,2,0.0,0.0,7.0,55.0,0.0,2.0,0.0,11.25,0.0,0.0,1.998,6.54,60.04,15.39,0.0397
10,0,4,27,11,4,1,2,0.0,0.0,15.0,55.0,0.0,2.0,0.0,11.25,0.0,0.0,1.998,6.54,60.04,15.39,0.0169
8,0,4,27,11,4,1,2,0.0,0.0,12.0,30.0,0.0,2.0,0.0,140.0,0.0,0.0,2.664,8.25,64.83,7.73,0.018
8,0,4,27,11,4,1,2,0.0,240.0,6.0,16.0,16.0,1.0,1200.0,202.5,0.456,0.0,2.313,8.22,57.48,8.54,0.0066
8,13,4,27,11,4,1,0,1.0,0.0,5.0,35.0,35.0,0.0,0.0,0.06,0.2,0.0,2.68,7.78,72.1,11.37,0.5
10,13,4,27,11,4,1,0,1.0,0.0,7.0,56.0,0.0,2.0,0.0,1.2,0.0,0.0,2.03974,7.60226,67.6,18.98238,1.0
10,13,4,4,11,4,1,0,1.0,0.0,7.0,56.0,0.0,2.0,0.0,1.2,0.0,3.3,2.03974,7.55227,67.6,18.98238,0.79
10,13,4,4,11,4,1,0,1.0,0.0,7.0,56.0,0.0,2.0,0.0,1.2,0.0,6.6,2.03974,7.55227,67.6,18.98238,0.74
10,13,4,4,11,4,1,0,1.0,0.0,7.0,56.0,0.0,2.0,0.0,1.2,0.0,9.9,2.03974,7.58037,67.6,18.98238,0.68
10,13,4,4,11,4,1,0,1.0,0.0,7.0,56.0,0.0,2.0,0.0,1.2,0.0,13.2,2.03974,7.63102,67.6,18.98238,0.86
7,13,4,27,11,4,1,0,1.0,0.0,9.0,28.0,0.0,2.0,0.0,0.13,0.0,0.0,1.667,6.54514,61.4561,30.8801,2.05
7,13,4,8,11,4,1,0,1.0,0.0,9.0,28.0,0.0,2.0,0.0,0.13,0.0,2.0,1.668,6.85143,60.661,30.0375,2.01
7,13,4,8,11,4,1,0,1.0,0.0,9.0,28.0,0.0,2.0,0.0,0.13,0.0,4.0,1.613,6.44457,59.7109,30.3496,1.53
7,13,4,8,11,4,1,0,1.0,0.0,9.0,28.0,0.0,2.0,0.0,0.13,0.0,6.0,1.562,6.54057,60.4548,30.568,1.42
7,13,4,8,11,4,1,0,1.0,0.0,9.0,28.0,0.0,2.0,0.0,0.13,0.0,8.0,1.563,6.49486,60.0684,30.8801,1.24
7,13,4,8,11,4,1,0,1.0,0.0,9.0,28.0,0.0,2.0,0.0,0.13,0.0,10.0,1.555,6.55429,59.4546,31.0362,0.75
0,13,4,27,11,4,1,1,0.0,0.0,12.0,64.0,0.0,2.0,0.0,1.0,0.0,0.0,2.23336,7.9,74.0,21.63185,0.1
0,13,4,27,11,4,1,1,1.0,0.0,12.0,64.0,0.0,2.0,0.0,1.0,0.0,0.0,2.28344,7.9,74.0,21.63185,0.11
0,13,4,27,11,4,1,1,1.0,0.0,12.0,64.0,0.0,2.0,0.0,1.0,0.0,0.0,2.23179,7.9,74.0,21.63185,0.06
0,13,4,27,11,4,1,1,1.0,0.0,12.0,64.0,64.0,0.0,0.0,1.0,1.157,0.0,2.11755,7.9,74.0,18.71962,0.06
7,13,2,27,11,4,1,0,1.0,30.0,0.0,25.0,25.0,1.0,30.0,0.06,0.08242,0.0,2.23049,6.99231,60.0,19.76844,0.69491
7,13,2,27,11,4,1,0,1.0,30.0,0.0,25.0,25.0,1.0,30.0,0.06,0.82645,0.0,2.2314,7.1,60.0,20.12346,0.26553
