Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Turning times,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),Application Rate (%DW),Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial TN (%),Initial C/N (%),Initial pH,NH3-N loss (%)
10,13,4,13,11,4,1,0,1.0,0.0,5.0,28.0,28.0,0.0,0.0,2.44988,0.06,0.48,63.24471,2.14833,18.57007,6.59564,11.23
10,13,4,13,11,4,1,0,1.0,0.0,5.0,28.0,28.0,0.0,0.0,2.45195,0.06,0.48,62.78379,2.15,19.02743,6.76549,22.85
10,13,4,31,11,4,1,0,1.0,0.0,5.0,28.0,28.0,0.0,0.0,4.35435,0.06,0.48,61.44,2.16833,22.09865,8.34723,26.71
8,13,4,27,11,4,1,0,1.0,0.0,6.0,34.0,34.0,0.0,0.0,0.0,0.06,0.27211,65.0,2.52174,11.37,7.10852,31.52
8,13,4,4,11,4,1,0,1.0,0.0,6.0,34.0,34.0,0.0,0.0,10.0,0.06,0.26291,65.0,2.19286,11.37,7.8306,21.26
8,13,4,4,3,4,1,0,1.0,0.0,6.0,34.0,34.0,0.0,0.0,10.28571,0.06,0.26265,65.0,2.19286,11.37,7.8306,16.22
8,13,4,4,3,4,1,0,1.0,0.0,6.0,34.0,34.0,0.0,0.0,14.57143,0.06,0.2589,65.0,2.28217,11.37,7.64407,14.88
10,13,4,27,11,4,1,0,1.0,0.0,6.0,35.0,35.0,0.0,0.0,0.0,0.06,0.25,69.2,2.03653,18.43351,8.2,32.5
10,13,4,13,8,4,1,0,1.0,0.0,6.0,35.0,35.0,0.0,0.0,2.624,0.06,0.25,68.036,2.03653,18.43351,8.0,14.5
10,13,4,4,11,4,1,0,1.0,0.0,6.0,35.0,35.0,0.0,0.0,4.0,0.06,0.25,66.34009,2.03653,18.43351,7.25,20.3
10,13,4,13,11,4,1,0,1.0,0.0,6.0,35.0,35.0,0.0,0.0,4.13091,0.06,0.25,65.50009,2.03653,18.43351,6.75,12.4
