Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final pH
1,12,1,0,9,35.0,35.0,1,10.0,7,5,24.62,0.18,60.0,56,6.25,13,25.3,7.62
3,14,0,1,9,81.0,0.0,2,0.0,0,22,0.0,16.0,65.0,41,0.0,15,14.42,8.62
3,14,0,1,9,81.0,0.0,2,0.0,0,23,8.8,16.0,65.0,6,0.0,15,15.15,8.6
3,20,0,1,0,50.0,0.0,2,0.0,0,9,0.0,0.06,60.6,41,0.0,15,22.5,7.1
3,20,0,1,0,50.0,0.0,2,0.0,0,9,25.49,0.06,60.1,18,0.0,15,23.4,7.24
1,25,1,0,9,30.0,30.0,0,0.0,0,6,0.0,0.12,66.11,41,2.57,15,17.58,8.34
1,25,1,0,9,30.0,30.0,0,0.0,0,6,5.0,0.12,66.23,2,2.57,15,23.76,8.27
1,25,1,0,9,30.0,30.0,0,0.0,0,6,10.0,0.12,62.65,2,2.57,15,16.93,8.14
1,25,1,0,9,30.0,30.0,0,0.0,0,6,20.0,0.12,58.41,2,2.57,15,18.93,7.71
1,25,1,0,9,30.0,30.0,0,0.0,0,6,1.0,0.12,66.85,11,2.57,15,25.51,8.16
1,26,1,0,9,28.0,28.0,0,0.0,0,4,0.0,0.06,62.06,41,0.36,15,17.91,8.3
1,26,1,0,9,28.0,28.0,0,0.0,0,4,10.0,0.06,58.69,51,0.36,15,18.23,8.3
1,25,1,0,8,56.0,56.0,0,0.0,0,11,10.0,0.1,55.0,56,1.35,15,25.18,7.53
1,25,1,0,8,56.0,56.0,0,0.0,0,11,10.0,0.1,55.0,26,1.35,15,25.67,7.73
1,25,1,0,8,56.0,56.0,0,0.0,0,11,10.0,0.1,55.0,4,1.35,15,25.44,7.71
3,12,0,2,6,46.0,0.0,2,0.0,0,19,0.0,8.09,60.0,41,0.0,15,25.42,8.71
3,12,0,2,6,46.0,0.0,2,0.0,0,19,19.3,8.09,60.0,56,0.0,15,12.69,8.69
3,12,0,2,6,46.0,0.0,2,0.0,0,19,19.3,8.09,60.0,51,0.0,15,12.69,7.31
1,1,1,0,9,35.0,35.0,1,30.0,3,2,0.0,0.06,67.6,41,0.38,15,17.43,7.44
1,1,1,0,9,35.0,35.0,1,30.0,3,2,0.41,0.06,63.37,44,0.38,15,14.84,7.58
1,1,1,0,9,35.0,35.0,1,30.0,3,2,0.41,0.06,67.38,9,0.38,15,16.2,7.73
1,1,1,0,9,35.0,35.0,1,30.0,3,2,0.41,0.06,66.1,44,0.38,1,13.98,7.79
1,25,1,0,9,50.0,50.0,0,0.0,0,5,0.0,0.1,58.0,41,3.97,15,25.0,7.96
1,25,1,0,9,50.0,50.0,0,0.0,0,5,10.0,0.1,61.73,6,5.07,15,26.25,8.5
1,25,1,0,9,50.0,50.0,0,0.0,0,5,10.0,0.1,61.73,56,5.07,15,26.25,8.52
1,25,1,0,9,50.0,50.0,0,0.0,0,5,20.0,0.1,61.72,6,2.39,18,16.26,8.6
1,1,1,0,9,28.0,28.0,0,0.0,0,5,0.0,0.06,57.54,41,0.48,15,19.25,8.03
1,1,1,0,9,28.0,28.0,0,0.0,0,5,2.45,0.06,58.47,20,0.48,15,27.18,7.57
1,1,1,0,9,28.0,28.0,0,0.0,0,5,2.45,0.06,58.47,19,0.48,15,26.35,7.4
1,1,1,0,9,28.0,28.0,0,0.0,0,5,4.35,0.06,62.72,22,0.48,15,16.85,8.55
0,6,1,0,6,21.0,21.0,1,10.0,8,0,0.0,0.1,58.88,41,0.2,15,14.95,8.82
0,6,1,0,6,21.0,21.0,1,10.0,8,0,0.25,0.1,58.85,50,0.2,15,15.05,7.79
0,6,1,0,6,21.0,21.0,1,10.0,8,0,5.25,0.1,57.52,50,0.2,15,13.83,7.97
0,6,1,0,6,21.0,21.0,1,10.0,8,0,5.0,0.1,57.52,32,0.2,15,13.15,8.63
1,14,1,0,3,56.0,56.0,0,0.0,0,10,0.45,0.02,64.04,25,0.3,15,25.48,8.85
1,14,1,0,3,56.0,56.0,0,0.0,0,10,2.52,0.02,64.29,25,0.31,11,23.05,9.15
1,25,1,0,6,42.0,42.0,0,0.0,0,2,0.0,0.17,53.8,41,0.07,15,16.6,9.21
1,25,1,0,6,42.0,42.0,0,0.0,0,2,10.8,0.17,49.3,6,0.07,15,18.6,8.83
0,14,1,0,8,42.08,23.1,1,3.77,10,0,4.81,1.42,64.26,41,0.79,15,20.46,8.01
0,7,1,0,8,42.08,23.1,1,3.77,10,0,4.81,1.42,64.26,6,0.79,15,20.46,8.14
0,14,1,0,8,42.08,23.1,1,3.77,10,0,4.81,1.42,64.26,6,0.79,15,20.46,7.93
1,25,1,0,6,50.0,15.7,0,1.02,0,9,0.0,0.1,60.0,41,0.62,15,31.01,8.38
1,25,1,0,6,50.0,16.3,0,0.03,0,9,2.0,0.1,60.0,12,0.0,15,30.06,8.1
1,25,1,0,6,50.0,10.7,0,0.03,0,9,4.0,0.1,60.0,12,0.6,15,30.33,8.32
1,25,1,0,6,50.0,30.7,0,1.02,0,9,6.0,0.1,60.0,12,1.25,15,30.55,7.75
