Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final NH3-N (g_kg)
1,11,1,0,7,35.0,35.0,1,10.0,8,5,9.23,0.18,60.0,49,6.25,10,26.0,0.02
1,11,1,0,7,35.0,35.0,1,10.0,8,5,16.92,0.18,60.0,49,6.25,10,26.3,0.01
1,11,1,0,7,35.0,35.0,1,10.0,8,5,24.62,0.18,60.0,49,6.25,10,25.3,0.06
3,13,0,1,7,81.0,0.0,2,0.0,0,17,0.0,16.0,65.0,34,0.0,11,14.42,1.28
3,13,0,1,7,81.0,0.0,2,0.0,0,18,8.8,16.0,65.0,5,0.0,11,15.15,1.28
3,17,0,1,0,50.0,0.0,2,0.0,0,9,0.0,0.06,60.6,34,0.0,11,22.5,0.04
3,17,0,1,0,50.0,0.0,2,0.0,0,9,25.49,0.06,60.1,14,0.0,11,23.4,0.04
1,22,1,0,7,30.0,30.0,0,0.0,0,6,0.0,0.12,66.11,34,2.57,11,17.58,0.07
1,22,1,0,7,30.0,30.0,0,0.0,0,6,5.0,0.12,66.23,2,2.57,11,23.76,0.09
1,22,1,0,7,30.0,30.0,0,0.0,0,6,10.0,0.12,62.65,2,2.57,11,16.93,0.07
1,22,1,0,7,30.0,30.0,0,0.0,0,6,20.0,0.12,58.41,2,2.57,11,18.93,0.15
1,22,1,0,7,30.0,30.0,0,0.0,0,6,1.0,0.12,66.85,8,2.57,11,25.51,0.1
1,22,1,0,6,56.0,56.0,0,0.0,0,11,0.0,0.1,56.03,34,3.06,11,25.17,2.1
1,22,1,0,6,56.0,56.0,0,0.0,0,11,10.0,0.1,55.0,49,1.35,11,25.18,0.37
1,22,1,0,6,56.0,56.0,0,0.0,0,11,10.0,0.1,55.0,22,1.35,11,25.67,0.4
1,22,1,0,6,56.0,56.0,0,0.0,0,11,10.0,0.1,55.0,4,1.35,11,25.44,0.47
3,12,0,2,7,26.0,0.0,2,0.0,0,7,0.0,1.2,65.0,34,0.0,11,22.46,0.22
3,12,0,2,7,26.0,0.0,2,0.0,0,7,15.68,1.2,65.0,5,0.0,11,24.97,0.14
3,12,0,2,7,26.0,0.0,2,0.0,0,7,31.36,1.2,65.0,5,0.0,11,26.48,0.12
3,12,0,2,7,42.08,23.1,2,3.77,0,7,4.81,1.42,64.26,5,0.79,11,20.46,0.1
1,1,1,0,7,35.0,35.0,1,30.0,4,2,0.0,0.06,67.6,34,0.38,11,17.43,2.12
1,1,1,0,7,35.0,35.0,1,30.0,4,2,0.41,0.06,63.37,36,0.38,11,14.84,4.65
1,1,1,0,7,35.0,35.0,1,30.0,4,2,0.41,0.06,67.38,7,0.38,11,16.2,2.23
1,1,1,0,7,35.0,35.0,1,30.0,4,2,0.41,0.06,66.1,36,0.38,0,13.98,3.75
1,1,1,0,7,28.0,28.0,0,0.0,0,5,0.0,0.06,57.54,34,0.48,11,19.25,1.16
1,1,1,0,7,28.0,28.0,0,0.0,0,5,2.45,0.06,58.47,16,0.48,11,27.18,2.91
1,1,1,0,7,28.0,28.0,0,0.0,0,5,2.45,0.06,58.47,15,0.48,11,26.35,1.82
1,1,1,0,7,28.0,28.0,0,0.0,0,5,4.35,0.06,62.72,18,0.48,11,16.85,0.11
0,5,1,0,4,21.0,21.0,1,10.0,9,0,0.0,0.1,58.88,34,0.2,11,14.95,2.05
0,5,1,0,4,21.0,21.0,1,10.0,9,0,0.25,0.1,58.85,43,0.2,11,15.05,3.93
0,5,1,0,4,21.0,21.0,1,10.0,9,0,5.25,0.1,57.52,43,0.2,11,13.83,4.03
0,5,1,0,4,21.0,21.0,1,10.0,9,0,5.0,0.1,57.52,28,0.2,11,13.15,2.42
1,13,1,0,2,56.0,56.0,0,0.0,0,10,0.0,0.02,55.0,34,4.04,11,33.7,1.3
1,13,1,0,2,56.0,56.0,0,0.0,0,10,0.45,0.02,64.04,21,0.3,11,25.48,1.31
1,13,1,0,2,56.0,56.0,0,0.0,0,10,2.52,0.02,64.29,21,0.31,8,23.05,0.5
1,1,1,0,7,35.0,0.0,0,0.0,0,6,0.0,0.06,69.2,34,0.25,11,18.43,1.83
1,1,1,0,7,35.0,0.0,0,0.0,0,6,8.87,0.06,63.46,16,0.25,8,18.43,2.56
1,1,1,0,7,35.0,0.0,0,0.0,0,6,8.87,0.06,63.46,16,0.25,11,18.43,7.96
0,13,1,0,6,42.08,23.1,1,3.77,11,0,4.81,1.42,64.26,34,0.79,11,20.46,1.74
0,6,1,0,6,42.08,23.1,1,3.77,11,0,4.81,1.42,64.26,5,0.79,11,20.46,2.05
0,13,1,0,6,42.08,23.1,1,3.77,11,0,4.81,1.42,64.26,5,0.79,11,20.46,1.7
1,22,1,0,7,50.0,50.0,0,0.0,0,9,0.0,0.1,55.0,34,0.3,11,25.0,0.08
1,22,1,0,7,50.0,50.0,0,0.0,0,9,10.0,0.1,61.49,5,0.3,11,24.25,0.06
1,22,1,0,7,50.0,50.0,0,0.0,0,9,20.0,0.1,60.71,5,0.3,14,18.55,0.07
1,22,1,0,7,50.0,50.0,0,0.0,0,9,20.5,0.1,59.46,5,0.3,14,18.55,0.04
1,22,1,0,7,50.0,50.0,0,0.0,0,9,21.0,0.1,59.72,5,0.3,14,18.55,0.05
1,22,1,0,7,50.0,50.0,0,0.0,0,9,22.0,0.1,59.72,5,0.3,14,17.95,0.06
1,13,1,0,6,34.0,34.0,0,0.0,0,7,0.0,0.01,67.6,34,0.03,11,33.5,3.27
1,13,1,0,6,34.0,34.0,0,0.0,0,7,7.73,0.01,67.3,27,0.03,6,33.52,2.08
1,13,1,0,6,34.0,34.0,0,0.0,0,7,7.13,0.01,66.8,19,0.03,4,33.11,4.29
1,13,1,0,6,34.0,34.0,0,0.0,0,7,6.05,0.01,66.0,27,0.03,4,31.53,3.82
1,22,1,0,6,42.0,42.0,0,0.0,0,9,0.0,0.1,56.23,34,2.64,11,25.1,3.86
1,22,1,0,6,42.0,42.0,0,0.0,0,9,2.0,0.1,62.27,23,1.43,11,25.56,1.97
1,22,1,0,6,42.0,42.0,0,0.0,0,9,4.0,0.1,63.47,23,1.44,11,25.83,1.35
1,22,1,0,6,42.0,42.0,0,0.0,0,9,6.0,0.1,63.47,23,1.44,11,25.91,0.45
1,22,1,0,6,42.0,42.0,0,0.0,0,9,10.0,0.1,61.81,23,2.63,11,25.98,0.39
3,6,0,2,7,52.0,0.0,2,0.0,0,13,0.0,4.93,65.0,34,0.0,11,16.75,0.06
3,6,0,2,7,52.0,0.0,2,0.0,0,13,23.0,6.64,65.0,5,0.0,11,24.09,0.02
3,6,0,2,7,42.08,23.1,2,3.77,0,13,4.81,1.42,64.26,5,0.79,11,20.46,0.04
3,6,0,2,7,42.08,23.1,2,3.77,0,13,4.81,1.42,64.26,5,0.79,11,20.46,0.04
1,15,1,0,4,42.08,23.1,0,3.77,0,13,4.81,1.42,64.26,34,0.79,11,20.46,0.11
1,15,1,0,4,91.0,22.4,0,0.0,0,13,12.5,0.25,60.0,5,0.4,11,20.0,0.04
1,15,1,0,4,91.0,22.4,0,0.0,0,13,12.5,0.25,60.0,14,0.4,11,20.0,0.15
1,15,1,0,4,42.08,23.1,0,3.77,0,13,4.81,1.42,64.26,5,0.79,1,20.46,0.11
1,15,1,0,4,42.08,23.1,0,3.77,0,13,4.81,1.42,64.26,34,0.79,11,20.46,0.1
1,15,1,0,4,42.08,23.1,0,3.77,0,13,4.81,1.42,64.26,5,0.79,11,20.46,0.05
1,15,1,0,4,42.08,23.1,0,3.77,0,13,4.81,1.42,64.26,14,0.79,11,20.46,0.11
1,15,1,0,4,42.08,23.1,0,3.77,0,13,4.81,1.42,64.26,5,0.79,1,20.46,0.09
