Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final TC (%)
3,19,1,0,5,28.0,0.0,2,0.0,0,7,2.0,0.13,60.66,7,0.0,10,30.04,33.22
3,19,1,0,5,28.0,0.0,2,0.0,0,7,4.0,0.13,59.71,7,0.0,10,30.35,33.56
3,19,1,0,5,28.0,0.0,2,0.0,0,7,6.0,0.13,60.45,7,0.0,10,30.57,32.98
3,19,1,0,5,28.0,0.0,2,0.0,0,7,8.0,0.13,60.07,7,0.0,10,30.88,28.08
3,19,1,0,5,28.0,0.0,2,0.0,0,7,10.0,0.13,59.45,7,0.0,10,31.04,29.49
0,14,1,0,5,25.0,25.0,1,30.0,3,0,0.0,0.06,60.0,20,0.08,10,19.77,40.64
0,14,1,0,5,25.0,25.0,1,30.0,3,0,0.0,0.06,60.0,20,0.83,10,20.12,33.69
0,14,1,0,5,25.0,25.0,1,30.0,3,0,0.0,0.06,60.0,20,1.64,10,20.02,36.2
1,1,1,0,7,28.0,28.0,1,30.0,3,2,0.0,0.07,60.0,20,0.86,10,15.04,33.18
1,1,1,0,7,28.0,28.0,1,30.0,3,2,0.0,0.07,60.0,20,0.93,10,19.96,31.91
1,1,1,0,7,28.0,28.0,1,30.0,3,2,0.0,0.07,60.0,20,0.9,10,24.99,30.26
1,1,1,0,7,28.0,28.0,1,30.0,3,2,0.0,0.07,60.0,20,0.91,10,30.23,30.7
1,7,1,0,2,28.0,28.0,1,30.0,5,3,0.0,0.06,66.9,20,1.21,10,25.0,34.9
1,13,1,0,2,28.0,28.0,1,30.0,5,3,0.0,0.06,58.6,20,0.96,10,20.9,33.8
1,13,1,0,2,28.0,28.0,1,30.0,5,3,0.0,0.06,53.1,20,0.86,10,18.7,32.9
1,13,1,0,2,28.0,28.0,1,30.0,5,3,0.0,0.06,47.5,20,0.76,10,16.8,29.0
0,12,1,2,5,21.0,21.0,1,30.0,3,0,0.0,0.04,59.79,20,0.16,10,30.3,26.71
0,12,1,2,5,21.0,21.0,1,30.0,3,0,0.0,0.04,59.79,20,0.31,10,30.3,19.07
0,12,1,2,5,21.0,21.0,1,30.0,3,0,0.0,0.04,59.79,20,0.16,10,30.3,24.04
1,6,0,1,6,37.0,37.0,1,20.0,4,4,0.0,1.0,65.0,20,0.51,10,25.0,29.14
1,6,0,1,6,37.0,37.0,1,20.0,4,4,5.0,1.0,65.0,3,0.51,10,25.0,26.96
1,6,0,1,6,37.0,37.0,1,20.0,4,4,10.0,1.0,65.0,3,1.33,10,25.0,26.5
3,10,1,0,5,35.0,0.0,2,0.0,0,4,0.0,0.0,60.0,20,0.0,10,7.75,38.97
3,10,1,0,5,35.0,0.0,2,0.0,0,4,12.5,0.0,60.0,29,0.0,10,8.01,35.38
