Aeration method,Material_2,M1_is Enclosed,Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final GI (%)
1,11,1,0,6,50.0,50.0,0,0.0,0,8,0.0,0.1,55.0,22,0.3,11,25.0,93.14
1,11,1,0,6,50.0,50.0,0,0.0,0,8,10.0,0.1,61.49,4,0.3,11,24.25,99.55
1,11,1,0,6,50.0,50.0,0,0.0,0,8,20.0,0.1,60.71,4,0.3,13,18.55,102.26
1,11,1,0,6,50.0,50.0,0,0.0,0,8,20.5,0.1,59.46,4,0.3,13,18.55,104.72
1,11,1,0,6,50.0,50.0,0,0.0,0,8,21.0,0.1,59.72,4,0.3,13,18.55,103.74
1,11,1,0,6,50.0,50.0,0,0.0,0,8,22.0,0.1,59.72,4,0.3,13,17.95,105.95
1,9,1,0,4,42.08,23.1,0,3.77,0,12,4.81,1.42,64.26,22,0.79,11,20.46,77.68
1,9,1,0,4,91.0,22.4,0,0.0,0,12,12.5,0.25,60.0,4,0.4,11,20.0,107.14
1,9,1,0,4,91.0,22.4,0,0.0,0,12,12.5,0.25,60.0,10,0.4,11,20.0,90.54
1,9,1,0,4,42.08,23.1,0,3.77,0,12,4.81,1.42,64.26,4,0.79,3,20.46,109.29
1,9,1,0,4,42.08,23.1,0,3.77,0,12,4.81,1.42,64.26,22,0.79,11,20.46,84.64
1,9,1,0,4,42.08,23.1,0,3.77,0,12,4.81,1.42,64.26,4,0.79,11,20.46,117.32
1,9,1,0,4,42.08,23.1,0,3.77,0,12,4.81,1.42,64.26,10,0.79,11,20.46,95.89
1,9,1,0,4,42.08,23.1,0,3.77,0,12,4.81,1.42,64.26,4,0.79,3,20.46,126.43
1,9,1,0,4,42.08,23.1,0,3.77,0,12,4.81,1.42,64.26,22,0.79,11,20.46,96.96
1,9,1,0,4,42.08,23.1,0,3.77,0,12,4.81,1.42,64.26,4,0.79,11,20.46,129.64
1,9,1,0,4,42.08,23.1,0,3.77,0,12,4.81,1.42,64.26,10,0.79,11,20.46,103.39
1,9,1,0,4,42.08,23.1,0,3.77,0,12,4.81,1.42,64.26,4,0.79,3,20.46,130.18
1,1,1,0,0,60.0,60.0,0,0.0,0,4,14.15,0.04,60.0,27,0.22,11,16.0,57.16
1,1,1,0,0,60.0,60.0,0,0.0,0,4,13.15,0.04,60.0,27,0.44,11,19.0,82.0
1,1,1,0,0,60.0,60.0,0,0.0,0,4,12.95,0.04,60.0,27,0.66,11,22.0,87.05
1,1,1,0,0,60.0,60.0,0,0.0,0,4,7.82,0.04,65.0,27,0.22,11,19.0,81.1
1,1,1,0,0,60.0,60.0,0,0.0,0,4,4.42,0.04,65.0,27,0.44,11,22.0,86.92
1,1,1,0,0,60.0,60.0,0,0.0,0,4,9.84,0.04,65.0,27,0.66,11,16.0,66.87
1,1,1,0,0,60.0,60.0,0,0.0,0,4,1.17,0.04,70.0,27,0.22,11,22.0,73.02
1,1,1,0,0,60.0,60.0,0,0.0,0,4,1.07,0.04,70.0,27,0.44,11,16.0,58.92
1,1,1,0,0,60.0,60.0,0,0.0,0,4,1.39,0.04,70.0,27,0.66,11,19.0,82.08
1,1,1,0,6,37.0,37.0,1,25.0,1,3,0.0,0.06,65.0,22,0.24,11,14.5,62.26
1,1,1,0,6,37.0,37.0,1,25.0,1,3,0.0,0.06,65.0,22,0.48,11,18.1,90.86
1,1,1,0,6,37.0,37.0,1,25.0,1,3,0.0,0.06,65.0,22,0.72,11,20.74,83.66
1,1,1,0,6,37.0,37.0,1,25.0,1,3,0.0,0.06,70.0,22,0.24,11,18.1,81.52
1,1,1,0,6,37.0,37.0,1,25.0,1,3,0.0,0.06,70.0,22,0.48,11,21.11,85.8
