Material_Main,M1_is Enclosed,Turning times, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),TN loss (%)
3,1,3.88889,0,35.0,0,35.0,0.0,4.0709,7,0.02,0.5,67.2976,29.0458,1.66134,0,41.5532,24,0.57048,47.9651
10,1,6.66667,0,40.0,10,30.0,30.0,0.0,11,0.1604,7.69231,64.54545,16.53936,2.34,1,38.7021,5,0.62654,53.1
10,1,6.66667,0,40.0,10,30.0,30.0,6.0,11,0.1604,7.31707,63.55556,16.39658,2.31,1,37.8761,49,0.5264,36.2
10,1,6.66667,0,40.0,10,30.0,30.0,15.0,11,0.09105,6.81818,62.06897,15.97083,2.41,1,38.4897,44,0.30624,46.5
10,1,6.66667,0,40.0,10,30.0,30.0,1.46082,11,0.1604,7.79221,65.17413,16.34774,2.34,1,38.2537,55,0.65431,41.5
5,0,7.0,1,28.0,0,0.0,0.0,0.0,11,1.0,0.0,65.0,26.71429,1.4,0,37.4,5,0.1,19.53
5,0,7.0,1,28.0,0,0.0,0.0,6.0,11,1.0,0.0,61.15219,25.78943,1.4,0,42.83486,5,0.10575,22.53
5,0,7.0,1,28.0,0,0.0,0.0,18.0,11,1.0,0.0,61.24963,23.4077,1.4,0,41.49463,5,0.11726,20.85
5,0,7.0,1,28.0,0,0.0,0.0,30.0,11,1.0,0.0,61.0,23.4077,1.4,0,40.90948,5,0.12877,19.4
5,0,7.0,1,28.0,0,0.0,0.0,42.0,11,1.0,0.0,65.127,23.4077,1.4,0,40.90948,5,0.14028,16.26
5,0,5.27176,1,45.0626,0,22.82844,3.65844,4.66667,11,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,5,0.47575,14.85
10,1,7.0,0,28.0,0,28.0,0.0,0.0,7,1.8,0.20354,63.2432,22.85061,1.98258,0,38.35764,5,0.66833,19.5
10,1,7.0,0,28.0,0,28.0,0.0,0.69203,7,1.8,0.20761,64.0541,22.4344,2.00958,0,38.31395,51,0.67,18.5
8,1,5.09091,0,56.0,0,56.0,0.0,0.0,11,0.13,1.11111,55.0,25.02125,1.80435,1,45.1471,5,0.5,6.03
8,1,5.09091,0,56.0,0,56.0,0.0,2.0,11,0.13,1.11111,55.0,25.08996,1.84239,1,46.2255,5,0.5,4.15
8,1,5.09091,0,56.0,0,56.0,0.0,4.0,11,0.13,1.11111,55.0,25.00167,1.8587,1,46.4706,5,0.5,2.7
8,1,5.09091,0,56.0,0,56.0,0.0,6.0,11,0.13,1.11111,55.0,23.99361,1.95109,1,46.8137,5,0.5,3.16
8,1,5.09091,0,56.0,0,56.0,0.0,8.0,11,0.13,1.11111,55.0,22.31769,2.11957,1,47.3039,5,0.5,2.44
8,1,5.09091,0,56.0,0,56.0,0.0,12.0,11,0.13,1.11111,55.0,21.13909,2.27717,1,48.1373,5,0.5,2.21
