Material_Main,M1_is Enclosed,Turning times, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),TC loss (%)
0,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,8,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,23,0.47575,65.7655
0,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,8,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,19,0.47575,68.0828
0,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,8,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,3,0.47575,64.5517
0,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,8,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,19,0.47575,59.3655
0,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,8,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,23,0.47575,55.7241
0,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,8,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,19,0.47575,59.3655
0,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,5,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,3,0.47575,61.6828
0,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,5,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,19,0.47575,43.9172
0,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,5,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,23,0.47575,53.0759
0,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,5,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,19,0.47575,51.6414
8,0,0.0,0,84.0,0,0.0,0.0,0.0,8,0.12,0.0,81.0,12.2,3.86,0,46.9,3,0.35789,24.9
8,0,0.0,0,84.0,0,0.0,0.0,0.0,8,0.12,0.0,75.8,15.3,3.18,0,48.8,3,0.37259,31.4
1,0,0.0,0,84.0,0,0.0,0.0,0.0,8,0.12,0.0,77.3,22.3,2.16,0,48.2,3,0.34361,31.6
1,0,0.0,0,84.0,0,0.0,0.0,0.0,8,0.12,0.0,77.0,20.1,2.25,0,45.3,3,0.35833,40.8
1,0,0.0,0,84.0,0,0.0,0.0,0.0,0,0.12,0.0,80.0,29.9,1.82,0,54.5,3,0.35875,35.0
1,0,0.0,0,84.0,0,0.0,0.0,22.28321,8,0.12,0.0,84.1,16.9,2.26,0,38.3,3,0.35901,14.9
1,0,0.0,0,84.0,0,0.0,0.0,9.53373,8,0.12,0.0,80.7,20.5,2.21,0,45.3,3,0.35838,32.3
1,0,0.0,0,84.0,0,0.0,0.0,15.84383,8,0.12,0.0,81.5,21.3,2.03,0,42.5,3,0.35766,25.3
0,1,12.0,0,60.0,0,60.0,0.0,6.49709,8,0.045,0.22,60.0,16.0,2.3,0,36.9,22,0.47915,44.0
0,1,12.0,0,60.0,0,60.0,0.0,2.29709,8,0.045,0.44,60.0,19.0,2.0,0,38.2,22,0.5,51.0
0,1,12.0,0,60.0,0,60.0,0.0,5.49709,8,0.045,0.66,60.0,22.0,1.8,0,39.8,22,0.5,54.0
0,1,12.0,0,60.0,0,60.0,0.0,1.79709,8,0.045,0.22,65.0,19.0,2.0,0,38.4,22,0.4055,42.0
0,1,12.0,0,60.0,0,60.0,0.0,1.79709,8,0.045,0.44,65.0,22.0,1.8,0,40.4,22,0.4055,56.0
0,1,12.0,0,60.0,0,60.0,0.0,1.16746,8,0.045,0.66,65.0,16.0,2.3,0,37.2,22,0.38494,51.0
0,1,12.0,0,60.0,0,60.0,0.0,1.29709,8,0.045,0.22,70.0,22.0,1.8,0,40.6,22,0.32607,47.0
0,1,12.0,0,60.0,0,60.0,0.0,0.43598,8,0.045,0.44,70.0,16.0,2.3,0,37.5,22,0.30422,36.0
