Material_Main,M1_is Enclosed,Turning times, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),CO2-C loss (%)
0,1,15.5,0,31.0,3,31.0,10.0,0.0,5,0.06,0.28151,65.4,14.2,2.1,1,29.7,0,0.51333,40.9
5,1,7.0,0,35.0,0,35.0,0.0,0.0,5,0.06,0.2,72.1,10.57997,2.77826,0,29.3939,0,0.646,39.47
5,1,7.0,0,35.0,0,35.0,0.0,10.0,5,0.06,0.2,72.1,11.30095,2.59565,0,29.3333,5,0.646,36.49
5,1,7.0,0,35.0,0,35.0,0.0,10.0,5,0.06,0.2,72.1,10.89254,2.6837,0,29.2323,9,0.646,33.38
5,1,7.0,0,35.0,0,35.0,0.0,12.5,5,0.06,0.2,72.1,11.19228,2.68042,0,30.0,5,0.646,35.91
5,1,7.0,0,35.0,0,35.0,0.0,12.5,5,0.06,0.2,72.1,11.3794,2.67717,0,30.4646,9,0.646,31.42
6,1,21.0,0,21.0,0,21.0,0.0,0.0,5,1.2096,0.24,59.81,19.9,1.91,0,38.1,0,0.38388,48.02
6,1,21.0,0,21.0,0,21.0,0.0,0.0,0,1.2096,0.24,60.21,19.9,1.79,0,35.6,0,0.34708,43.43
3,0,6.42857,0,45.0,0,0.0,0.0,0.0,5,0.06,0.0,65.75741,23.8,1.79,0,42.59,0,0.08333,30.3
3,0,6.42857,0,45.0,0,0.0,0.0,0.0,5,0.06,0.0,64.63467,30.6,1.45,0,44.38,0,0.08333,25.0
0,1,0.0,0,31.0,0,31.0,0.0,0.0,5,0.01,0.43,83.0,16.5,2.60606,0,43.0,0,0.492,21.6763
0,1,0.0,0,31.0,0,31.0,0.0,0.0,5,0.01,0.21,83.0,16.5,2.60606,0,43.0,0,0.492,19.7495
4,1,0.0,0,31.0,0,31.0,0.0,0.0,5,0.01,0.48,71.0,6.1,5.77049,0,35.2,0,0.492,22.5
4,1,0.0,0,31.0,0,31.0,0.0,0.0,5,0.01,0.23,71.0,6.1,5.77049,0,35.2,0,0.492,19.8077
4,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,5,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,0,0.47575,12.4038
4,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,5,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,0,0.47575,11.3942
6,0,7.71429,1,54.0,0,0.0,0.0,0.0,5,0.13,0.0,66.28,22.99234,2.00199,0,39.38658,0,0.3083,37.9
6,0,7.71429,1,54.0,0,0.0,0.0,15.0,5,0.13,0.0,62.82171,17.77801,2.29398,0,36.26206,4,0.36329,34.8
6,0,7.71429,1,54.0,0,0.0,0.0,15.0,5,0.13,0.0,62.82171,17.77801,2.29398,0,36.26206,4,0.36329,33.6
6,0,7.71429,1,54.0,0,0.0,0.0,0.0,5,0.13,0.0,66.28,22.99234,2.00199,0,39.38658,0,0.3083,39.1
6,0,7.71429,1,54.0,0,0.0,0.0,6.0,5,0.13,0.0,63.24,21.49659,2.24279,0,36.18694,6,0.401,36.5
6,0,7.71429,1,54.0,0,0.0,0.0,6.0,5,0.13,0.0,63.24,21.49659,2.24279,0,36.18694,6,0.401,36.0
0,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,5,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,0,0.47575,3.25563
0,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,5,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,0,0.47575,3.86842
5,1,7.0,0,35.0,0,35.0,0.0,0.0,5,0.06,0.1,72.86,11.37,2.68,0,30.45,0,0.667,41.0
5,1,7.0,0,35.0,0,35.0,0.0,0.0,5,0.06,0.2,72.86,11.37,2.68,0,30.45,0,0.667,35.4
5,1,7.0,0,35.0,0,35.0,0.0,0.0,5,0.06,0.3,72.86,11.37,2.68,0,30.45,0,0.667,37.1
0,0,0.0,2,133.0,0,0.0,0.0,0.0,5,0.178,0.0,67.374,23.74058,1.37,0,46.61,0,0.68961,6.19
0,0,0.0,2,133.0,0,0.0,0.0,2.4,5,0.1845,0.0,67.374,21.69058,1.33,0,46.61,5,0.68961,6.01
0,0,0.0,2,133.0,0,0.0,0.0,2.4,5,0.1845,0.0,67.374,21.69058,1.38,0,46.61,5,0.70092,8.49
0,0,0.0,2,133.0,0,0.0,0.0,2.4,5,0.1845,0.0,67.374,21.69058,1.23,0,46.61,5,0.70092,3.36
0,0,0.0,2,133.0,0,0.0,0.0,2.4,5,0.1845,0.0,67.374,21.69058,1.42,0,47.11,7,0.70092,10.0
0,0,0.0,2,133.0,0,0.0,0.0,2.4,5,0.1845,0.0,67.374,21.69058,1.2,0,46.61,7,0.70092,4.3
0,0,0.0,2,133.0,0,0.0,0.0,2.4,5,0.1845,0.0,67.374,21.69058,1.22,0,46.61,7,0.70092,2.88
0,0,0.0,1,90.0,0,0.0,0.0,0.0,5,0.02069,0.0,66.971,18.867,1.204,0,45.46,0,0.87008,2.64
0,0,0.0,1,90.0,0,0.0,0.0,0.0,4,0.02069,0.0,68.6,22.8,1.272,0,45.836,0,0.69316,13.17
0,0,0.0,1,90.0,0,0.0,0.0,0.0,4,0.02069,0.0,68.65,23.71,1.142,0,45.42,0,0.58005,12.83
