Material_Main,M1_is Enclosed, Composting Method,Additive_4,Additive_3,V2_Ventilation Interval (min),Additive_1,Material_3,Material_2,Additive_2,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),NH3-N loss (%)
7,1.0,0,0,2,0.0,4,3,6,13,91.0,0,81.0,0.0,13.0,12.5,0.25,60.0,1.05,20.0,9.07
7,1.0,0,0,2,0.0,12,3,6,13,91.0,0,81.0,0.0,13.0,12.5,0.25,60.0,1.05,20.0,4.31
7,1.0,0,0,2,0.0,4,3,6,3,91.0,0,82.6,0.0,13.0,25.0,0.25,60.0,0.95,20.0,2.61
7,1.0,0,0,2,0.0,31,3,6,13,91.0,0,76.8,0.0,13.0,0.0,0.25,60.0,1.05,25.0,10.74
7,1.0,0,0,2,0.0,4,3,6,13,91.0,0,76.6,0.0,13.0,12.5,0.25,60.0,0.95,25.0,7.73
7,1.0,0,0,2,0.0,12,3,6,13,91.0,0,76.6,0.0,13.0,12.5,0.25,60.0,0.95,25.0,3.65
7,1.0,0,0,2,0.0,4,3,6,3,91.0,0,77.2,0.0,13.0,25.0,0.25,60.0,0.9,25.0,2.33
7,1.0,0,0,2,0.0,31,3,6,13,91.0,0,80.8,0.0,13.0,0.0,0.25,60.0,0.99,30.0,7.82
7,1.0,0,0,2,0.0,4,3,6,13,91.0,0,76.6,0.0,13.0,12.5,0.25,60.0,0.95,30.0,4.11
7,1.0,0,0,2,0.0,12,3,6,13,91.0,0,76.6,0.0,13.0,12.5,0.25,60.0,0.95,30.0,3.05
7,1.0,0,0,2,0.0,4,3,6,3,91.0,0,74.0,0.0,13.0,25.0,0.25,60.0,0.83,30.0,2.05
0,1.0,0,0,2,0.0,31,3,3,13,100.0,0,100.0,0.0,1.0,0.0,0.0,50.0,17.86,23.45,23.37
0,1.0,0,0,2,0.0,33,3,3,13,100.0,0,100.0,0.0,1.0,50.0,0.0,50.0,11.9,22.89,14.49
0,1.0,0,0,2,0.0,44,3,3,13,100.0,0,100.0,0.0,1.0,50.0,0.0,50.0,11.9,23.34,16.26
0,1.0,0,0,2,0.0,33,3,3,15,100.0,0,100.0,0.0,1.0,50.0,0.0,50.0,11.9,23.12,19.37
0,1.0,0,0,2,0.0,31,3,6,13,100.0,0,100.0,0.0,1.0,0.0,0.0,50.0,8.93,37.16,9.98
0,1.0,0,0,2,0.0,33,3,6,13,100.0,0,100.0,0.0,1.0,25.0,0.0,50.0,7.14,36.26,13.02
0,1.0,0,0,2,0.0,44,3,6,13,100.0,0,100.0,0.0,1.0,25.0,0.0,50.0,7.14,37.16,11.79
0,1.0,0,0,2,0.0,33,3,6,15,100.0,0,100.0,0.0,1.0,25.0,0.0,50.0,7.14,36.7,10.95
0,1.0,0,0,2,0.0,31,3,5,13,100.0,0,100.0,0.0,1.0,0.0,0.0,50.0,8.93,47.54,6.04
0,1.0,0,0,2,0.0,33,3,5,13,100.0,0,100.0,0.0,1.0,25.0,0.0,50.0,7.14,46.19,14.49
0,1.0,0,0,2,0.0,44,3,5,13,100.0,0,100.0,0.0,1.0,25.0,0.0,50.0,7.14,47.54,10.19
0,1.0,0,0,2,0.0,33,3,5,15,100.0,0,100.0,0.0,1.0,25.0,0.0,50.0,7.14,46.86,16.33
1,1.0,0,0,2,0.0,31,3,3,13,28.0,0,28.0,0.0,0.0,0.0,0.01,69.0,0.28,11.0,12.68
1,1.0,0,0,2,0.0,31,3,4,13,28.0,0,28.0,0.0,0.0,0.0,0.01,63.0,0.28,11.0,12.09
1,1.0,0,0,2,0.0,31,3,4,13,28.0,0,28.0,0.0,0.0,0.0,0.01,66.0,0.28,11.0,12.98
1,1.0,0,0,2,0.0,31,3,5,13,28.0,0,28.0,0.0,0.0,0.0,0.01,65.0,0.28,14.7,10.27
