Material_Main,Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_4,Additive_2,Additive_1,Material_3,Material_2,Additive_3,Period (d),V1_Ventilation Type,V4_Ventilation Day,Compost volume (m3),V3_Ventilation Duration (min),V5_Ventilation rate (L/min/kg iniDW),Application Rate (%DW),Initial TN (%),Initial pH,Initial Moisture Content (%),Initial C/N (%)
-0.44736454,-0.044257063,-0.0069126645,-0.001318731,-0.03136503,0.0,-0.004242503,-0.12055771,5.2483387e-07,0.082448475,-5.4506698e-05,-0.023680706,-0.020245345,-0.02398077,0.038831253,0.053202476,0.027418349,-0.04453548,-0.051769365,-0.026772762,0.007686628,0.012454496
-0.44736454,-0.044257063,-0.0069126645,-0.001318731,-0.03136503,0.0,-0.004242503,-0.12055771,5.2483387e-07,0.082448475,-5.4506698e-05,-0.023680706,-0.020245345,-0.02398077,0.038831253,0.053202476,0.027418349,-0.04453548,-0.051769365,-0.026772762,0.007686628,0.012454496
-0.44736454,-0.044257063,-0.0069126645,-0.001318731,-0.03136503,0.0,-0.004242503,-0.12055771,5.2483387e-07,0.082448475,-5.4506698e-05,-0.023680706,-0.020245345,-0.02398077,0.038831253,0.053202476,0.027418349,-0.04453548,-0.051769365,-0.026772762,0.007686628,0.012454496
0.16012947,-0.012759492,-0.0006472544,-0.00614254,0.0105037065,0.0,-0.002060629,0.017746333,7.347674e-07,0.016998544,-9.69202e-05,-0.042592224,0.002094468,-0.007692208,0.07143484,-0.004140217,-0.14394513,0.041112807,0.1171143,-0.013021174,0.003803185,0.012165268
0.14732198,-0.00715634,0.00022393021,-0.0038006692,0.009350193,0.0,-0.0021090026,-0.0077607054,7.347674e-07,0.01687255,-7.96357e-05,-0.034168325,0.0052001094,-0.01037491,0.071773,-0.0018343942,-0.13746043,-0.020379234,0.13330473,-0.016032163,0.019208545,0.006468528
0.14930102,0.0010791055,0.0050926097,-0.004153065,0.010326174,0.0,-0.0013827619,-0.030582938,7.347674e-07,0.012687705,-2.8803046e-05,-0.03308199,0.0069043613,-0.009450988,0.08145059,-0.002314509,-0.14635344,-0.05469163,0.11539758,-0.06506247,0.016090041,0.022175144
0.15277463,-0.02150908,0.0051111393,-0.004006028,0.0129878,0.0,-0.0005640765,-0.032005787,7.347674e-07,0.0128006805,-4.4617547e-05,-0.003010654,-0.006180336,-0.008373559,0.08001559,-0.002224544,-0.15179981,-0.072574385,0.10938913,-0.025034925,0.0018368704,0.023940621
0.142771,-0.053969882,-0.00055177504,-0.0049142125,0.005472801,0.0,0.0021616614,-0.0015143673,7.347674e-07,0.015139891,-6.012574e-05,0.01756938,-0.0043045264,-0.0064714076,0.11727309,-0.001982953,-0.023301972,-0.036605578,-0.0064696344,0.0024327498,-0.005269537,0.014256891
0.14485338,-0.013143823,0.00037818972,-0.004545977,0.005820534,0.0,0.0026245802,0.00084534177,7.347674e-07,0.018484276,-0.00025695117,0.017109474,-0.0054738326,-0.0019940047,0.14520824,-0.0013571804,-0.022937708,0.01457003,0.025007363,0.03462381,0.09252172,0.017508723
0.05992783,-0.02089519,-0.06044241,-0.001284633,-0.0011424264,0.0,0.00071437325,0.017787425,1.1079828e-06,0.005693382,0.00019088846,-0.0036953678,-0.0026302645,-0.002398004,-0.051463407,0.023053741,-0.054416314,0.029152308,-0.26204956,-0.053315096,-0.07553441,-0.04538013
0.06471672,-0.010767097,-0.046198666,-0.0014096957,0.002479725,0.0,-0.00018499339,-0.1127895,1.1079828e-06,0.005078204,0.00026562496,-0.015229282,0.0024504957,0.00520904,-0.036997,0.018128483,0.0036099646,-0.030272348,-0.29882446,-0.051794305,0.030378869,-0.015776377
0.06741592,-0.044919573,-0.044559583,0.0002678866,0.0025892558,0.0,0.00065078604,-0.11043546,1.1079828e-06,0.0059020855,0.00012885219,-0.019708097,-0.0023559977,0.011397015,-0.04115545,0.008275697,0.022482974,-0.06485978,-0.28803897,-0.005537361,0.0039246785,-0.016585832
0.07129211,-0.051968474,-0.047672454,0.00011992839,0.003540437,0.0,0.0009843154,-0.16000846,1.1079828e-06,0.0061823963,-0.00031681947,-0.018096983,-0.0048993975,0.0030260854,-0.041442018,0.0069254143,0.025793405,-0.06715267,-0.2865876,-0.017855734,0.034441125,-0.014679171
-0.6782851,0.009094371,0.00073991454,-0.00025942834,-0.0014755997,0.0,-0.0005378104,-0.030592855,7.347674e-07,0.0083130775,-0.00015493254,-0.020500489,0.013057526,0.002275417,0.00045358337,-0.024900422,0.024366492,0.044190716,0.05694172,0.01382101,-0.046155933,-0.015673626
-0.69553596,0.009643344,0.0019794824,-0.0010406469,0.0010673137,0.0,3.357599e-05,0.025871128,7.347674e-07,-0.0004459531,-2.0355705e-05,-0.036283318,0.010594374,0.0085874265,-0.0029672694,-0.0429138,0.038035445,-0.05246423,0.060203634,0.039552484,-0.048267286,0.05524768
