Material_Main,Turning times,M1_is Enclosed, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),Final GI (%)
5,5.55556,1,0,50.0,0,34.6,0.0,0.0,5,0.1,0.312,60.0,31.0074,1.52371,0,42.64511,5,0.5,120.707
5,5.55556,1,0,50.0,0,34.6,0.0,2.0,5,0.1,0.262,60.0,30.0553,1.53458,0,44.7689,9,0.5,127.02
8,5.55556,1,0,50.0,0,50.0,0.0,0.0,5,0.1,0.3,55.0,25.0,2.084,0,52.1,5,0.54517,93.1417
8,5.55556,1,0,50.0,0,50.0,0.0,10.0,5,0.1,0.3,59.866,26.39749,1.94324,0,43.81105,5,0.4992,99.5483
8,5.55556,1,0,50.0,0,50.0,0.0,20.0,5,0.1,0.3,60.907,20.63798,2.17309,0,44.71416,5,0.46474,102.259
8,5.55556,1,0,50.0,0,50.0,0.0,20.5,5,0.1,0.3,60.907,21.2284,2.17309,0,44.71416,5,0.46474,104.723
8,5.55556,1,0,50.0,0,50.0,0.0,21.0,5,0.1,0.3,60.907,21.2284,2.17309,0,44.71416,5,0.46474,103.737
8,5.55556,1,0,50.0,0,50.0,0.0,22.0,5,0.1,0.3,60.907,21.2284,2.17309,0,44.71416,5,0.46474,105.955
5,7.0,1,0,91.0,0,7.6,0.0,0.0,5,0.25,0.01275,60.0,20.0,1.99,0,39.8,5,0.46988,77.6786
5,5.27176,1,0,45.0626,0,22.82844,3.65844,4.66667,5,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,5,0.47575,107.143
5,5.27176,1,0,45.0626,0,22.82844,3.65844,4.66667,5,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,11,0.47575,90.5357
5,5.27176,1,0,45.0626,0,22.82844,3.65844,4.66667,5,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,5,0.47575,109.286
5,5.27176,1,0,45.0626,0,22.82844,3.65844,4.66667,5,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,5,0.47575,84.6429
5,5.27176,1,0,45.0626,0,22.82844,3.65844,4.66667,5,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,5,0.47575,117.321
5,7.0,1,0,91.0,0,30.0,0.0,12.5,5,0.25,0.41755,60.0,25.0,1.82,0,45.5,11,0.41667,95.8929
5,5.27176,1,0,45.0626,0,22.82844,3.65844,4.66667,5,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,5,0.47575,126.429
5,7.0,1,0,91.0,0,7.6,0.0,0.0,5,0.25,0.01275,60.0,30.0,1.67,0,50.1,5,0.4951,96.9643
5,7.0,1,0,91.0,0,30.0,0.0,12.5,5,0.25,0.41755,60.0,30.0,1.63,0,48.9,5,0.43077,129.643
5,7.0,1,0,91.0,0,30.0,0.0,12.5,5,0.25,0.41755,60.0,30.0,1.7,0,51.0,11,0.43077,103.393
5,5.27176,1,0,45.0626,0,22.82844,3.65844,4.66667,5,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,5,0.47575,130.179
0,12.0,1,0,60.0,0,60.0,0.0,6.49709,5,0.045,0.22,60.0,16.0,2.3,0,36.9,33,0.47915,57.1649
0,12.0,1,0,60.0,0,60.0,0.0,2.29709,5,0.045,0.44,60.0,19.0,2.0,0,38.2,33,0.5,82.0
