Aeration method,Material_2,M1_is Enclosed, Composting Method,Additive Species,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final NH3-N (g_kg)
1,11,0.75,0,2,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,49,0.44,10,20.54,0.06
3,13,0.75,1,3,7,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,34,0.44,11,20.54,1.28
3,13,0.75,1,4,7,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,5,0.44,11,20.54,1.28
3,17,0.0,1,3,0,50.0,0.0,2,0.0,0.0,9.0,0.0,0.06,60.6,34,0.0,11,22.5,0.04
3,17,0.0,1,1,0,50.0,0.0,2,0.0,0.0,9.0,25.49,0.06,60.1,14,0.0,11,23.4,0.04
1,22,1.0,0,3,7,30.0,30.0,0,0.0,0.0,6.0,0.0,0.12,66.11,34,2.57,11,17.58,0.07
1,22,1.0,0,0,7,30.0,30.0,0,0.0,0.0,6.0,5.0,0.12,60.76,2,2.57,11,27.17,0.09
1,22,1.0,0,0,7,30.0,30.0,0,0.0,0.0,6.0,10.0,0.12,61.18,2,2.57,11,14.51,0.07
1,22,1.0,0,0,7,30.0,30.0,0,0.0,0.0,6.0,20.0,0.12,58.78,2,2.57,11,16.71,0.15
1,22,1.0,0,1,7,30.0,30.0,0,0.0,0.0,6.0,1.0,0.12,61.96,8,2.57,11,26.72,0.1
1,22,1.0,0,3,6,56.0,56.0,0,0.0,0.0,11.0,0.0,0.1,56.03,34,0.84,11,25.17,2.1
1,22,1.0,0,4,6,56.0,56.0,0,0.0,0.0,11.0,10.0,0.1,55.0,49,0.79,11,25.18,0.37
1,22,1.0,0,4,6,56.0,56.0,0,0.0,0.0,11.0,10.0,0.1,55.0,22,0.79,11,25.67,0.4
1,22,1.0,0,1,6,56.0,56.0,0,0.0,0.0,11.0,10.0,0.1,55.0,4,0.79,11,25.44,0.47
3,12,0.0,2,3,7,26.0,0.0,2,0.0,0.0,7.0,0.0,1.2,65.0,34,0.0,11,22.46,0.22
3,12,0.0,2,4,7,26.0,0.0,2,0.0,0.0,7.0,15.68,1.2,65.0,5,0.0,11,24.97,0.14
3,12,0.0,2,4,7,26.0,0.0,2,0.0,0.0,7.0,31.36,1.2,65.0,5,0.0,11,26.48,0.12
3,12,0.75,2,4,7,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,5,0.44,11,20.54,0.1
1,1,1.0,0,3,7,35.0,35.0,1,30.0,30.0,2.0,0.0,0.06,67.6,34,0.38,11,17.43,2.12
1,1,1.0,0,1,7,35.0,35.0,1,30.0,30.0,2.0,0.41,0.06,65.79,36,0.38,11,14.84,4.65
1,1,1.0,0,1,7,35.0,35.0,1,30.0,30.0,2.0,0.41,0.06,67.3,7,0.38,11,16.2,2.23
1,1,1.0,0,1,7,35.0,35.0,1,30.0,30.0,2.0,0.41,0.06,66.1,36,0.38,0,13.98,3.75
1,1,1.0,0,3,7,28.0,28.0,0,0.0,0.0,5.0,0.0,0.06,57.54,34,0.48,11,19.25,1.16
1,1,1.0,0,1,7,28.0,28.0,0,0.0,0.0,5.0,2.45,0.06,59.41,16,0.48,11,18.57,2.91
1,1,1.0,0,1,7,28.0,28.0,0,0.0,0.0,5.0,2.45,0.06,59.41,15,0.48,11,18.57,1.82
1,1,1.0,0,1,7,28.0,28.0,0,0.0,0.0,5.0,4.35,0.06,60.3,18,0.48,11,18.97,0.11
0,5,0.75,0,3,4,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,34,0.44,11,20.54,2.05
0,5,0.75,0,1,4,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,43,0.44,11,20.54,3.93
0,5,0.75,0,2,4,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,43,0.44,11,20.54,4.03
0,5,0.75,0,0,4,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,28,0.44,11,20.54,2.42
1,13,1.0,0,3,2,56.0,56.0,0,0.0,0.0,10.0,0.0,0.02,55.0,34,1.1,11,33.7,1.3
1,13,1.0,0,1,2,56.0,56.0,0,0.0,0.0,10.0,0.45,0.02,58.92,21,0.52,11,28.58,1.31
1,13,1.0,0,1,2,56.0,56.0,0,0.0,0.0,10.0,2.52,0.02,58.1,21,0.56,8,26.84,0.5
1,1,1.0,0,3,7,35.0,0.0,0,0.0,0.0,6.0,0.0,0.06,69.2,34,0.25,11,18.43,1.83
1,1,1.0,0,1,7,35.0,0.0,0,0.0,0.0,6.0,16.22,0.06,61.69,16,0.25,8,18.43,2.56
1,1,1.0,0,1,7,35.0,0.0,0,0.0,0.0,6.0,16.22,0.06,61.69,16,0.25,11,18.43,7.96
0,13,0.75,0,3,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,34,0.44,11,20.54,1.74
