Material_2,M1_is Enclosed,Initial C/N (%),V1_Ventilation Type, Composting Method,V5_Ventilation rate (L/min/kg iniDW),Turning times,V4_Ventilation Day,Material_3,Initial pH,Period (d),Additive_1,Compost volume (m3),V2_Ventilation Interval (min),Additive_3,Initial Moisture Content (%),Initial GI (%),Additive_4,Additive_2,Material_Main,V3_Ventilation Duration (min),Application Rate (%DW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
14.0,0.0,24.520074159161155,0.0,1.0,6.557390275892682,17.0,2.0,4.0,10.186574140837127,24.0,20.0,0.08,0.0,4.0,47.132412195414034,27.32884658064516,1.0,10.0,4,50.09608895768826,2.876199882083936,0.875,21.455064889266012,114.83220700000007,5.87192692998009,0.5269299149513245,0.20204536751586974,29.621905427909343
14.0,1.0,44.80325389252506,0.0,1.0,1.375799261052627,27.0,61.0,0.0,6.266967751167559,83.0,13.0,0.08,0.0,4.0,49.3241761562863,27.32884658064516,1.0,6.0,4,54.31811838126673,3.1069261423150043,0.875,39.20284715595943,113.67755000000001,11.28470972458007,0.8020672798156738,0.22084297647605244,25.40749218639244
0.0,1.0,42.39968850729613,0.0,1.0,0.9467719245115058,26.0,4.0,9.0,5.755019006492598,88.0,28.0,0.08,0.0,4.0,49.35936504813638,27.32884658064516,1.0,12.0,4,34.096353395346284,1.9010410366970665,0.875,37.09972744388412,116.18766600000005,9.535250398399759,0.5797494649887085,0.2141024571290179,21.58508463873416
2.0,0.0,35.445385816383165,0.0,1.0,2.8346556732644377,0.0,5.0,9.0,9.030220004391575,15.0,24.0,0.08,0.0,4.0,58.49245187333052,27.32884658064516,1.0,6.0,4,35.39590336453553,8.907547320858512,0.875,31.014712589335268,113.74576100000009,6.4097401540295404,0.7469845414161682,0.1878177051783505,23.11274453895686
6.0,1.0,40.84978346648112,0.0,1.0,0.9568269417210584,21.0,4.0,0.0,7.261431417610739,115.0,37.0,0.08,0.0,4.0,67.62245346383224,29.941002399359288,1.0,15.0,4,55.22231664631664,7.912246029202325,0.875,35.74356053317098,118.59665200000003,9.69860633686539,0.8537243604660034,0.20632556006692615,21.861628341219618
0.0,1.0,16.606332207534702,0.0,2.0,1.1554874130899484,25.0,3.0,9.0,7.334826721266214,22.0,37.0,0.08,0.0,4.0,58.4659936296966,27.32884658064516,1.0,6.0,4,58.93152300404537,2.0990418408484848,0.875,14.530540681592864,114.3896060000001,8.845765937601817,0.5192487835884094,0.1676769188057797,28.577341626096835
8.0,0.0,21.41684619836287,0.0,1.0,3.466903188514615,8.0,16.0,5.0,7.308420898648626,16.0,6.0,0.08,0.0,4.0,73.73789501826217,27.32884658064516,1.0,15.0,4,52.90527779964079,6.922617500867468,0.875,18.73974042356751,112.90184000000008,6.552175099437721,0.7464715242385864,0.2181741761583338,26.042671439757985
4.0,0.0,36.654783274842266,1.0,2.0,7.281328003316841,7.0,1.0,5.0,7.25280062325735,84.0,36.0,0.08,832.0,4.0,82.79045261125682,27.32884658064516,1.0,5.0,4,33.24470132825214,9.82518937077926,0.875,32.072935365486984,113.56103900000005,7.64588027038361,0.612801730632782,0.15944430355239106,18.470066841598694
6.0,1.0,29.194600581107583,0.0,1.0,1.2674095895420812,4.0,5.0,4.0,9.144797674933928,30.0,11.0,0.08,0.0,4.0,70.15676472394242,27.32884658064516,1.0,2.0,4,59.583354237816735,8.928083139237813,0.875,25.545275508469135,117.16592700000005,8.342514648622059,0.9489834308624268,0.23043210034970474,22.18504453143226
4.0,0.0,36.53147966879663,0.0,2.0,3.7863978618506104,8.0,3.0,3.0,9.880716484297675,15.0,36.0,0.08,0.0,4.0,52.471343138988615,27.32884658064516,1.0,3.0,4,54.38427699813645,5.228736199313445,0.875,32.97747831469944,116.35218800000004,6.1026153532457466,0.9640958309173584,0.1739819956252836,1000000.0
