material_0,initial CN(%),initial moisture content(%),initial pH,material_1,Excipients,initial TN(%),initial TC(%),Additive Species,NH3-N loss (%)
Manure,25.0,60.0,,Swine manure,玉米秸秆,,,,25.05
Manure,30.0,60.0,,Swine manure,玉米秸秆,,,,25.95
Food waste,25.0,66.9,5.75,,,,,,34.9
Food waste,20.9,58.6,5.36,,菌糠,,,,18.2
Food waste,18.7,53.1,5.13,,菌糠,,,,6.5
Food waste,16.8,47.5,5.04,,菌糠,,,,1.4
Manure,30.0,60.0,7.2,Swine manure,木屑,,,,0.258
Manure,18.15,80.89,7.47,Cow manure,,,,,16.06
Manure,16.49,80.82,7.42,Cow manure,,,,,7.55
Sewage sludge,19.0,50.0,,,蘑菇渣,,,,1.48
Sewage sludge,20.16,62.0,7.41,,稻壳,,,,7.558
Sewage sludge,19.16,62.83,7.35,,稻壳+菌糠,,,,7.506
Sewage sludge,17.17,61.92,7.55,,稻壳+糖渣,,,,4.7645
Sewage sludge,17.17,63.0,,,稻壳+糖渣,,,,3.025
Sewage sludge,17.17,55.0,,,稻壳+糖渣,,,,3.96
Sewage sludge,17.17,48.0,,,稻壳+糖渣,,,,6.2569
Manure,9.89,73.67,8.0,Poultry manure,木屑,,,,13.53
Manure,15.4,80.3,7.6,Swine manure,,,,,35.57
Manure,28.3,70.4,7.38,Swine manure,稻草,,,,28.528
Manure,30.2,71.6,7.42,Swine manure,油菜秸秆,,,,35.48
Manure,24.7,70.1,7.42,Swine manure,菌渣,,,,16.37
Manure,15.0,65.0,7.6,Swine manure,玉米秸秆,,,,28.0
Manure,51.5,61.7,7.87,Cow manure,锯末,,,,6.8
Manure,13.0,65.9,6.2,Swine manure,小麦秸秆,,,,1.0067
Manure,12.9,65.0,6.5,Swine manure,小麦秸秆,,,,3.0
Manure,11.0,69.0,,Swine manure,,,,,13.0
Manure,14.7,65.0,,Swine manure,木屑,,,,10.2
Manure,12.9,67.0,,Swine manure,木屑,,,,10.5
Manure,14.0,65.0,,Swine manure,大麦秸秆,,,,9.0
Manure,16.5,83.0,8.4,Cow manure,大麦秸秆,,,,6.0
Manure,16.5,83.0,8.4,Cow manure,大麦秸秆,,,,0.07
Manure,6.1,71.0,6.7,Poultry manure,大麦秸秆,,,,26.5
Manure,6.1,71.0,6.7,Poultry manure,大麦秸秆,,,,17.5
Sewage sludge,11.37,72.1,7.78,,玉米秸秆,,,,18.4
Sewage sludge,11.37,72.1,7.78,,玉米秸秆,,,,21.2
Sewage sludge,11.37,72.1,7.78,,玉米秸秆,,,,19.1
Sewage sludge,25.0,55.0,7.3,,小麦秸秆,,,,2.72
Manure,24.8,52.2,8.6,Swine manure,玉米秸秆,,,,38.7
Sewage sludge,11.5,62.1,7.63,,锯末,,,,29.42
Sewage sludge,12.8,63.4,5.45,,锯末+葡萄糖,,,,18.38
Sewage sludge,12.9,62.6,5.23,,锯末+蔗糖,,,,18.09
Sewage sludge,12.9,63.4,7.52,,锯末+稻草,,,,28.35
Sewage sludge,13.8,61.8,5.31,,锯末+葡萄糖+稻草,,,,20.67
Sewage sludge,14.15,62.4,6.14,,锯末+蔗糖+稻草,,,,13.88
Food waste,31.8,66.9,5.6,,,,,,22.0
Food waste,31.5,57.58,6.6,,玉米秸秆,,,,20.0
Food waste,32.5,57.78,6.5,,锯末,,,,21.0
Food waste,22.5,58.6,6.2,,蘑菇渣,,,,22.0
