Initial C/N (%),Material_Main,Initial moisture content (%),Method,Initial pH,Material_2,Time Period,Initial TN (%),Initial TC (%),Additive_1,Additive Species,TC loss (%)
51.2087912087912,6,0.0,0,8.13,62,105.0,0.91,46.6,6,1,48.71
53.7349397590362,6,0.0,0,8.86,62,105.0,0.83,44.6,6,1,44.74
53.3766233766234,6,0.0,0,8.77,62,105.0,0.77,41.1,6,1,44.62
12.88,3,65.03,0,7.88,35,15.0,2.18,28.0,55,4,10.33
24.41,3,63.17,0,7.88,35,15.0,1.9,0.0,13,3,15.82
27.43,3,62.39,0,7.7,35,15.0,1.8,0.0,2,3,17.17
28.06,3,62.6,0,7.88,35,15.0,1.8,0.0,37,3,16.54
16.31,3,61.97,0,7.88,35,15.0,2.05,0.0,22,3,11.61
39.93,3,63.43,0,7.88,35,15.0,1.8,0.0,11,3,12.7
20.0,6,61.1,0,6.0,37,32.0,2.47389791183295,49.4779582366589,55,4,22.76
30.0,6,53.5,0,6.1,37,32.0,1.72273781902552,51.6821345707657,55,4,7.81
40.0,6,48.5,0,6.5,37,32.0,1.3631090487239,54.5243619489559,55,4,17.58
23.0,6,74.7,0,8.9,12,32.0,2.10582063956421,48.4338747099768,55,4,34.26
30.0,6,65.6,0,8.9,12,32.0,1.66279969064192,49.8839907192575,55,4,21.27
40.0,6,53.0,0,8.2,12,32.0,1.35730858468677,54.292343387471,55,4,7.04
42.0,6,47.5,0,6.9,47,32.0,1.28300740249696,53.8863109048724,55,4,10.57
23.8,6,0.0,0,8.2,45,45.0,1.79,42.59,55,4,43.0
30.6,6,0.0,0,8.4,45,45.0,4.45,44.38,55,4,39.6
12.2,3,81.0,0,7.0,62,84.0,3.86,46.9,55,4,24.9
15.3,3,75.8,0,7.1,30,84.0,3.18,48.8,55,4,31.4
22.3,6,77.3,0,8.7,30,84.0,2.16,48.2,55,4,31.6
20.1,6,77.0,0,8.8,30,84.0,2.25,45.3,55,4,40.8
29.9,6,80.0,0,6.7,46,84.0,1.82,54.5,55,4,35.0
16.9,6,84.1,0,10.7,62,84.0,2.26,38.3,5,3,14.9
20.5,6,80.7,0,9.8,30,84.0,2.21,45.3,5,3,32.3
21.3,6,81.5,0,10.0,30,84.0,2.03,42.5,5,3,25.3
16.0,0,60.0,0,0.0,17,60.0,0.0,0.0,55,4,44.0
19.0,0,65.0,0,0.0,17,60.0,0.0,0.0,55,4,42.0
22.0,0,70.0,0,0.0,17,60.0,0.0,0.0,55,4,47.0
16.0,0,70.0,0,0.0,17,60.0,0.0,0.0,55,4,36.0
19.0,0,60.0,0,0.0,17,60.0,0.0,0.0,55,4,51.0
22.0,0,65.0,0,0.0,17,60.0,0.0,0.0,55,4,56.0
16.0,0,65.0,0,0.0,17,60.0,0.0,0.0,55,4,51.0
19.0,0,70.0,0,0.0,17,60.0,0.0,0.0,55,4,50.0
22.0,0,60.0,0,0.0,17,60.0,0.0,0.0,55,4,54.0
17.3,5,0.0,0,0.0,9,51.0,2.12,36.7,55,4,54.8
17.3,5,0.0,0,0.0,9,51.0,2.12,36.7,55,4,54.2
17.3,5,0.0,0,0.0,9,51.0,2.12,36.7,55,4,53.7
17.3,5,0.0,0,0.0,9,51.0,2.12,36.7,55,4,52.2
17.3,5,0.0,0,0.0,9,51.0,2.12,36.7,55,4,52.2
17.3,5,0.0,0,0.0,9,51.0,2.12,36.7,55,4,56.3
25.6384839650146,6,0.0,0,0.0,35,30.0,1.715,43.97,55,4,40.0
23.1012987012987,6,0.0,0,0.0,9,30.0,1.925,44.47,55,4,44.0
21.2947103274559,6,0.0,0,0.0,16,30.0,1.985,42.27,55,4,47.0
22.0229591836735,6,0.0,0,0.0,25,30.0,1.96,43.165,55,4,51.0
21.0526315789474,0,61.0,1,0.0,35,45.0,1.9,40.0,55,4,26.0
21.0526315789474,0,61.0,1,0.0,35,45.0,1.9,40.0,55,4,39.0
21.0526315789474,0,61.0,1,0.0,35,45.0,1.9,40.0,55,4,36.0
21.0526315789474,0,61.0,1,0.0,35,45.0,1.9,40.0,55,4,32.0
21.0526315789474,0,61.0,1,0.0,35,45.0,1.9,40.0,55,4,34.0
24.7540983606557,0,63.0,0,0.0,14,15.0,1.22,30.2,55,4,17.0
25.0806451612903,0,63.0,0,0.0,14,15.0,1.24,31.1,55,4,23.0
20.1333333333333,0,64.0,0,0.0,14,15.0,1.5,30.2,55,4,24.0
20.4,0,65.0,0,0.0,14,15.0,1.5,30.6,55,4,30.0
36.8987502193453,0,0.0,0,0.0,15,21.0,1.19,43.9095127610209,55,4,47.16
36.3337263702408,0,0.0,0,0.0,15,21.0,1.22,44.3271461716937,55,4,59.54
37.4385150812065,0,0.0,0,0.0,15,21.0,1.25,46.7981438515081,55,4,68.8
32.4376337703916,0,0.0,0,0.0,15,21.0,1.29,41.8445475638051,55,4,60.72
32.9483934472334,0,0.0,0,0.0,15,21.0,1.32,43.491879350348,55,4,55.61
0.0,0,74.9,0,0.0,35,7.0,0.0,0.0,34,3,16.9
0.0,0,74.9,0,0.0,8,7.0,0.0,0.0,12,3,31.1
0.0,0,74.7,0,0.0,50,7.0,0.0,0.0,52,3,23.7
0.0,0,75.0,0,0.0,31,7.0,0.0,0.0,32,3,9.7
16.9583333333333,6,69.0,0,0.0,13,28.0,2.4,40.7,55,4,23.5
16.9583333333333,6,63.0,0,0.0,13,28.0,2.4,40.7,31,3,20.6
22.4064171122995,6,63.0,0,0.0,13,28.0,1.87,41.9,53,3,16.8
24.8730964467005,6,58.0,0,0.0,13,28.0,1.97,49.0,39,3,8.9
20.8040201005025,6,70.0,0,0.0,13,28.0,1.99,41.4,38,3,29.5
16.9583333333333,6,62.0,0,0.0,13,28.0,2.4,40.7,31,3,21.8
19.8086124401914,6,61.0,0,0.0,13,28.0,2.09,41.4,53,3,19.2
21.1162790697674,6,57.0,0,0.0,13,28.0,2.15,45.4,39,3,13.4
17.0886075949367,6,64.0,0,0.0,13,28.0,2.37,40.5,38,3,18.6
16.5,0,83.0,0,8.45,0,30.0,1.65,43.0,55,4,45.0
16.5,0,83.0,0,8.45,0,30.0,1.65,43.0,55,4,40.0
6.1,4,71.0,0,6.8,0,30.0,4.6,35.2,55,4,24.0
6.1,4,71.0,0,6.8,0,30.0,4.61,35.2,55,4,22.0
12.2,4,65.0,0,6.95,0,30.0,3.42,48.7,5,3,33.0
12.2,4,65.0,0,6.95,0,30.0,3.42,48.7,5,3,28.0
