Initial C/N (%),Material_Main,Initial moisture content (%),Method,Initial pH,Material_2,Time Period,Initial TN (%),Initial TC (%),Additive_1,Additive Species,N2O-N loss (%)
20.0,5,65.0,0,7.1,16,0.0,0.0,0.0,34,4,0.423
20.0,5,65.0,0,7.1,16,0.0,0.0,0.0,34,4,0.268
6.53,7,77.53,1,6.2,24,0.0,0.0,0.0,34,4,0.02
6.81,7,66.71,1,7.01,6,0.0,0.0,0.0,34,4,1.1
9.22,7,66.36,1,7.41,6,0.0,0.0,0.0,34,4,1.2
7.35,7,67.68,1,7.59,7,0.0,0.0,0.0,34,4,0.004
7.24,7,66.26,1,8.04,8,0.0,0.0,0.0,34,4,0.033
19.11,9,72.13,0,5.67,12,0.0,0.0,0.0,34,4,0.059
13.27,9,69.74,0,7.56,19,0.0,0.0,0.0,34,4,0.0427
13.56,9,71.05,0,8.08,10,0.0,0.0,0.0,34,4,0.0335
13.56,9,71.05,0,8.08,10,0.0,0.0,0.0,34,4,0.0389
14.0,7,61.43,1,6.62,11,0.0,0.0,0.0,34,4,0.02
14.0,7,65.75,1,7.06,11,0.0,0.0,0.0,34,4,1.4
14.93,0,65.59,1,8.48,11,0.0,0.0,0.0,34,4,0.1
14.43,0,76.09,1,7.74,11,0.0,0.0,0.0,34,4,0.06
15.0,7,40.0,0,6.72,3,0.0,0.0,0.0,34,4,0.14
15.0,7,60.0,0,6.76,3,0.0,0.0,0.0,34,4,0.19
15.0,7,80.0,0,6.63,3,0.0,0.0,0.0,34,4,0.21
15.0,7,60.0,1,6.82,3,0.0,0.0,0.0,34,4,0.08
15.0,7,60.0,0,0.0,3,0.0,0.0,0.0,34,4,0.136
20.0,7,60.0,0,0.0,3,0.0,0.0,0.0,34,4,0.214
25.0,7,60.0,0,0.0,3,0.0,0.0,0.0,34,4,0.279
30.0,7,60.0,0,0.0,3,0.0,0.0,0.0,34,4,0.315
25.0,9,66.9,0,5.75,24,0.0,0.0,0.0,34,4,1.68
20.9,9,58.6,0,5.36,0,0.0,0.0,0.0,34,4,0.69
18.7,9,53.1,0,5.13,0,0.0,0.0,0.0,34,4,1.34
16.8,9,47.5,0,5.04,0,0.0,0.0,0.0,34,4,2.36
30.0,7,60.0,0,7.2,12,0.0,0.0,0.0,34,4,0.033
18.1518282988871,0,81.0,1,7.47,24,60.432307692307695,3.0886300333884225,60.37320351299986,34,4,9.0
16.1618374558304,0,81.0,1,7.42,24,60.432307692307695,3.0886300333884225,60.37320351299986,34,4,11.0
19.0,9,50.0,0,0.0,6,0.0,0.0,0.0,34,4,0.0438
14.86,7,47.8,1,7.27,6,53.0,0.0,0.0,34,4,0.0303
11.37,9,72.1,0,7.78,3,35.0,0.0,0.0,34,4,0.8
11.37,9,72.1,0,7.78,3,35.0,0.0,0.0,34,4,0.6
11.37,9,72.1,0,7.78,3,35.0,0.0,0.0,34,4,0.6
25.0,9,55.0,0,7.3,19,0.0,0.0,0.0,34,4,0.297
24.8,7,52.2,0,8.6,3,0.0,0.0,0.0,34,4,1.5
23.6,0,66.6,1,0.0,24,0.0,3.69,87.0,34,4,12.0
23.1,0,66.9,1,0.0,24,0.0,3.72,86.0,34,4,19.0
8.4,5,45.0,1,0.0,24,0.0,0.0,0.0,34,4,4.0
7.7,5,66.7,1,0.0,24,0.0,0.0,0.0,34,4,2.0
9.3,5,44.0,1,0.0,24,0.0,0.0,0.0,34,4,2.0
7.8,5,65.8,1,0.0,24,0.0,0.0,0.0,34,4,2.0
13.0,7,62.0,0,8.4,11,0.0,0.0,0.0,34,4,2.5
7.0,7,62.0,0,8.4,11,0.0,0.0,0.0,34,4,9.9
0.0,7,68.0,1,8.1,12,0.0,0.0,0.0,34,4,3.72
0.0,7,68.0,1,8.1,12,0.0,0.0,0.0,34,4,4.65
0.0,0,60.0,0,7.71,12,0.0,0.0,0.0,34,4,2.02
