Initial C/N (%),Material_Main,Initial moisture content (%),Method,Initial pH,Material_2,Time Period,Initial TN (%),Initial TC (%),Additive_1,Additive Species,NH3-N loss (%)
17.3,9,0.0,0,0.0,4,51.0,2.12,36.7,69,4,40.1
17.3,9,0.0,0,0.0,4,51.0,2.12,36.7,69,4,25.3
16.5,0,83.0,0,8.45,2,30.0,1.65,43.0,69,4,0.35093
16.5,0,83.0,0,8.45,2,30.0,1.65,43.0,69,4,0.0413
6.1,6,71.0,0,6.8,2,30.0,4.6,35.2,69,4,5.31736
6.1,6,71.0,0,6.8,2,30.0,4.61,35.2,69,4,3.52143
12.2,6,65.0,0,6.95,2,30.0,3.42,48.7,4,3,12.155
12.2,6,65.0,0,6.95,2,30.0,3.42,48.7,4,3,2.805
31.8,11,66.9,0,5.6,40,28.0,0.0,0.0,69,4,22.0
31.5,11,57.58,0,6.6,4,28.0,0.0,0.0,69,4,20.0
32.5,11,57.78,0,6.5,16,28.0,0.0,0.0,69,4,21.0
22.5,11,58.6,0,6.2,26,28.0,0.0,0.0,69,4,22.0
17.86,9,65.9,0,7.8,4,30.0,2.17,38.76,69,4,29.1
0.0,9,0.0,0,0.0,4,30.0,1.96,36.72,54,1,22.8
0.0,9,0.0,0,0.0,4,30.0,2.06,36.53,54,2,21.6
0.0,9,0.0,0,0.0,4,30.0,2.1,37.4,54,2,24.6
17.8,9,63.0,1,8.6,4,70.0,2.07,36.9,69,4,14.49
17.8,9,63.0,1,8.6,4,70.0,2.07,36.9,69,4,14.49
17.8,9,63.0,1,8.6,4,70.0,2.07,36.9,69,4,11.11
14.7,9,64.1,0,0.0,5,37.0,2.36,34.8,69,4,13.9
18.4,9,71.3,0,0.0,5,37.0,2.06,38.0,69,4,12.7
21.2,9,75.7,0,0.0,5,37.0,1.93,40.9,69,4,9.6
18.3,9,65.2,0,0.0,5,37.0,2.08,38.0,69,4,18.7
21.1,9,70.6,0,0.0,5,37.0,1.9,40.1,69,4,16.9
14.9,9,76.8,0,0.0,5,37.0,2.37,35.3,69,4,27.7
20.7,9,63.7,0,0.0,5,37.0,1.9,39.4,69,4,20.6
15.0,9,70.8,0,0.0,5,37.0,2.35,35.2,69,4,32.4
18.0,9,74.0,0,0.0,5,37.0,2.09,37.6,69,4,24.9
14.7,9,64.1,0,0.0,5,37.0,2.36,34.8,69,4,13.9
18.4,9,71.3,0,0.0,5,37.0,2.06,38.0,69,4,12.7
21.2,9,75.7,0,0.0,5,37.0,1.93,40.9,69,4,9.6
18.3,9,65.2,0,0.0,5,37.0,2.08,38.0,69,4,18.7
21.1,9,70.6,0,0.0,5,37.0,1.9,40.1,69,4,16.9
14.9,9,76.8,0,0.0,5,37.0,2.37,35.3,69,4,27.7
20.7,9,63.7,0,0.0,5,37.0,1.9,39.4,69,4,20.6
15.0,9,70.8,0,0.0,5,37.0,2.35,35.2,69,4,32.4
18.0,9,74.0,0,0.0,5,37.0,2.09,37.6,69,4,24.9
0.0,9,0.0,0,0.0,30,54.0,0.0,0.0,69,4,11.4
0.0,9,0.0,0,0.0,30,54.0,0.0,0.0,53,1,10.1
0.0,9,0.0,0,0.0,30,54.0,0.0,0.0,53,1,9.0
0.0,9,0.0,0,0.0,30,54.0,0.0,0.0,69,4,20.5
0.0,9,0.0,0,0.0,30,54.0,0.0,0.0,58,0,16.4
