Initial C/N (%),Material_Main,Initial moisture content (%),Method,Initial pH,Material_2,Time Period,Initial TN (%),Initial TC (%),Additive_1,Additive Species,CH4-C loss (%)
16.6,7,69.831,4,0.0,3,30.0,0.0,0.0,27,4,0.12676
16.6,7,69.831,4,0.0,3,30.0,0.0,0.0,27,4,0.579245
16.6,7,69.831,4,0.0,3,30.0,0.0,0.0,27,4,0.422366
16.6,7,69.831,4,0.0,3,30.0,0.0,0.0,27,4,0.41298
27.12254902,4,64.90980517639383,4,7.88,26,70.0,0.0,0.0,27,4,0.34
30.83333333,6,55.0,4,7.02,26,12.0,0.0,0.0,27,4,0.14
30.83333333,6,55.0,4,7.02,26,12.0,0.0,0.0,27,4,0.12
12.72727273,1,58.0,4,5.95,26,12.0,0.0,0.0,27,4,0.73
12.72727273,1,58.0,4,5.95,26,12.0,0.0,0.0,27,4,0.83
19.5,3,69.2,4,8.6,21,56.0,0.0,0.0,26,4,0.06
21.2,3,71.0,4,9.2,22,56.0,0.0,0.0,26,4,0.05
19.6,3,70.3,4,7.5,23,56.0,0.0,0.0,26,4,0.02
19.5,3,71.8,4,8.4,24,56.0,0.0,0.0,26,4,0.03
0.0,1,0.0,4,0.0,26,0.0,0.0,0.0,27,4,0.446
0.0,4,66.5,4,0.0,26,20.0,0.0,0.0,27,4,0.12
0.0,4,66.5,4,0.0,26,20.0,0.0,0.0,27,4,0.25
0.0,4,66.5,4,0.0,26,20.0,0.0,0.0,27,4,0.7
18.0,3,65.0,4,0.0,26,0.0,0.0,0.0,27,4,0.5589391
18.0,3,65.0,4,0.0,26,0.0,0.0,0.0,27,4,0.712269
18.0,3,65.0,4,0.0,26,0.0,0.0,0.0,27,4,0.1493778
26.0,3,55.0,4,0.0,26,98.0,0.0,0.0,27,4,0.17
32.0,8,50.0,4,0.0,26,57.0,0.0,0.0,27,4,0.838235
30.0,8,50.0,4,0.0,26,43.0,0.0,0.0,27,4,0.727259
28.0,8,50.0,4,0.0,26,54.0,0.0,0.0,27,4,0.123882
14.0,9,71.7,2,7.55,26,80.0,6.6,92.4,27,4,0.66
14.0,9,79.6,1,7.43,26,80.0,6.39,89.46,27,4,0.639
16.0,9,77.9,2,8.7,26,80.0,6.69,107.04,27,4,0.669
15.0,9,78.8,1,8.2,26,80.0,6.31,94.65,27,4,0.631
13.5008665511265,9,82.16,3,9.4,26,140.0,5.77,77.9,27,4,0.922
16.2844036697248,9,82.36,3,9.8,26,140.0,4.36,71.0,27,4,0.88
9.89637305699482,9,69.94,3,9.6,26,140.0,11.58,114.6,27,4,0.6
0.0,9,74.2,1,0.0,26,98.0,0.0,0.0,27,4,0.114
18.2159090909091,0,62.3,1,0.0,13,124.0,8.8,160.3,27,4,0.13
21.6666666666667,0,64.2,1,0.0,13,124.0,6.9,149.5,27,4,0.12
19.6794871794872,0,64.17,1,0.0,13,124.0,7.8,153.5,27,4,0.3
17.6781609195402,0,63.96,1,0.0,13,124.0,8.7,153.8,27,4,0.13
26.6666666666667,9,76.0,2,0.0,26,80.0,4.32,115.2,27,4,1.29
26.6898148148148,9,76.0,1,0.0,26,80.0,4.32,115.3,27,4,0.753
16.608040201005,0,60.0,2,8.35,13,99.0,7.96,132.2,27,4,0.892
36.134,0,59.6,2,6.99,14,99.0,5.0,180.67,27,4,0.893
21.04,9,60.55,1,0.0,26,42.0,7.5,157.8,27,4,0.144
21.04,9,60.55,2,0.0,26,42.0,7.5,157.8,27,4,0.155
21.04,9,60.55,2,0.0,26,42.0,7.5,157.8,27,4,0.146
21.04,9,60.55,2,0.0,26,42.0,7.5,157.8,27,4,0.146
21.04,9,60.55,2,0.0,26,42.0,7.5,157.8,27,4,0.152
23.06666667,3,80.0,2,0.0,26,168.0,0.0,0.0,27,4,0.44
24.43333333,3,72.0,2,0.0,26,168.0,0.0,0.0,27,4,1.564
18.8968335035751,0,61.9,1,8.0,13,120.0,9.79,185.0,27,4,0.7
19.1011235955056,0,58.3,1,8.2,13,120.0,8.01,153.0,27,4,0.3
16.3,0,66.1,1,8.6,26,120.0,10.0,163.0,27,4,0.17
14.5054945054945,0,70.0,1,8.6,26,120.0,9.1,132.0,27,4,0.11
26.3028816676885,9,50.4,3,8.94,26,99.0,3.0886300333884225,60.37320351299986,27,4,0.282
23.3021077283372,9,55.1,3,8.79,26,99.0,3.0886300333884225,60.37320351299986,27,4,0.292
12.9049338146811,9,64.90980517639383,3,0.0,26,56.0,8.31,107.24,27,4,0.574
11.9931662870159,9,64.90980517639383,3,0.0,26,56.0,8.78,105.3,27,4,0.568
10.6007194244604,9,64.90980517639383,3,0.0,26,56.0,11.12,117.88,27,4,0.448
30.7,9,50.8,2,8.54,26,50.0,14.2,60.37320351299986,27,4,0.6
30.7,9,50.8,2,8.54,26,50.0,14.2,60.37320351299986,27,4,0.27
19.3002257336343,0,70.5,1,7.6,21,99.0,3.0886300333884225,60.37320351299986,27,4,0.473
19.3002257336343,0,70.5,2,7.6,21,99.0,3.0886300333884225,60.37320351299986,27,4,0.68
12.1563275434243,9,88.5,0,6.8,26,0.0,4.03,48.99,27,4,0.7
12.1563275434243,9,88.5,0,6.8,26,0.0,4.03,48.99,27,4,0.4
