M1_is Enclosed,Initial Moisture Content (%),Material_2,V4_Ventilation Day,V2_Ventilation Interval (min),V1_Ventilation Type, Composting Method,V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),Compost volume (m3),Additive_4,Additive_2,Period (d),Initial pH,Material_Main,Additive_3,Additive_1,Turning times,Material_3,V3_Ventilation Duration (min),Application Rate (%DW),Initial GI (%),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
1.0,56.0,14.0,28.0,1318.0,1.0,2.0,0.1999824504653306,33.0,0.15181,1.0,1.0,129.0,5.0,6,4.0,12.0,2.0,0.0,41.33396680218911,7.622428465965317,27.328846580645163,1.411,9.444298956039393,94.004098,5.692428589243822,0.3903670907020569,0.11081889232220893,1000000.0
1.0,70.63700245192045,6.0,3.0,0.0,0.0,1.0,0.5555900826737807,12.0,0.15181,1.0,8.0,71.0,9.622796837254636,6,4.0,37.0,2.0,2.0,0.0,4.843069600060795,27.32884658064516,1.411,29.758713629688657,94.49154100000004,6.856559550517936,0.4264751970767975,0.16718997904260302,1000000.0
1.0,62.810327981439286,12.0,0.0,0.0,2.0,0.0,0.0,19.0,0.15181,1.0,0.0,113.0,6.999999999999999,6,4.0,38.0,4.0,9.0,0.0,3.997185252287079,28.515449571518918,1.411,34.6756961938085,94.40109500000004,6.412717690442143,0.32873186469078064,0.21167850740694424,1000000.0
1.0,51.0,4.0,30.0,0.0,0.0,0.0,0.016185132395684088,19.0,0.15181,1.0,6.0,113.0,10.550028755620167,6,4.0,25.0,0.0,0.0,0.0,5.481644485701747,27.32884658064516,1.411,20.681863825602438,95.26369500000001,2.9016010248056756,0.34304898977279663,0.1823094540300214,1000000.0
1.0,54.0,13.0,34.0,954.0,1.0,1.0,0.06132246750473014,30.0,0.15181,1.0,9.0,131.0,6.0,6,4.0,34.0,2.0,9.0,47.37486288227445,5.751615788658979,27.32884658064516,1.411,9.965594553117736,94.56166399999998,5.692428589243822,0.3626852333545685,0.1461148981770288,1000000.0
1.0,69.0,4.0,18.0,0.0,0.0,0.0,1.4772685041933273,35.0,0.15181,1.0,2.0,27.0,10.337542413827665,6,4.0,18.0,0.0,4.0,0.0,2.8754250182908745,27.32884658064516,1.411,8.893646371026394,94.61413500000002,2.9016010248056756,0.39208194613456726,0.20991021696137094,1000000.0
0.0,75.02790753633488,4.0,23.0,1078.0,1.0,2.0,0.2715405029985205,19.0,0.15181,1.0,6.0,124.0,8.285667866771611,6,4.0,12.0,3.0,9.0,59.72362762478695,8.504635277767768,27.32884658064516,1.411,8.205025466317197,94.42683799999999,5.936805542232583,0.3680247664451599,0.13832371370237012,1000000.0
0.0,74.83297682205861,14.0,14.0,1080.0,1.0,2.0,1.0515968248843122,13.0,0.15181,1.0,8.0,122.0,10.523443604292572,6,4.0,28.0,5.0,0.0,24.57357311784667,7.618356360259686,27.32884658064516,1.411,7.250387727769179,93.16555499999998,5.692428589243822,0.2964383065700531,0.13302775021298352,1000000.0
0.0,60.0,8.0,14.0,0.0,0.0,2.0,0.4951303918853445,25.999999999999996,0.15181,1.0,8.0,25.0,8.0,6,4.0,33.0,0.0,5.0,0.0,5.218656080966639,27.328846580645163,1.411,21.044952745631374,94.59047000000002,2.9016010248056756,0.39133206009864807,0.17240666806159127,1000000.0
1.0,75.92948113324647,6.0,0.0,0.0,2.0,1.0,0.0,40.0,0.15181,1.0,1.0,21.0,5.548899108491821,6,4.0,34.0,4.0,4.0,0.0,2.1909357565483827,27.32884658064516,1.411,44.57977999545535,94.83368500000005,6.412717690442143,0.32873186469078064,0.22693336576759485,1000000.0
1.0,52.57827391247308,6.0,20.0,614.0,1.0,2.0,1.2192874252673023,10.0,0.15181,1.0,11.0,121.0,7.0,6,4.0,36.0,3.0,2.0,22.112596939761957,6.087376142928329,27.32884658064516,1.411,21.518300601074273,95.17457999999999,5.936805542232583,0.22943438589572906,0.13470680010041355,1000000.0
0.0,69.0,4.0,2.0,0.0,0.0,2.0,0.8811729578468164,10.0,0.15181,1.0,11.0,97.0,11.107957991543678,6,4.0,27.0,0.0,3.0,0.4944495895145745,5.094928794365075,27.328846580645163,1.411,49.84669419709223,95.57259200000003,2.9016010248056756,0.3911953866481781,0.12641739360654905,1000000.0
1.0,68.0,13.0,7.0,0.0,0.0,1.0,0.6631106071264588,27.0,0.15181,1.0,11.0,105.0,12.010524482804588,6,4.0,34.0,3.0,9.0,0.0,6.807870408787177,27.32884658064516,1.411,19.821547517718788,94.75616000000002,6.856559550517936,0.3828492760658264,0.20954926350414205,1000000.0
1.0,68.0,13.0,45.0,718.0,1.0,1.0,1.9932811036546663,29.0,0.15181,1.0,0.0,66.0,11.502678810349675,6,4.0,14.0,4.0,3.0,13.446208553826722,7.014461961000098,27.328846580645163,1.411,40.78981852733054,94.402647,5.692428589243822,0.10883419215679169,0.12447989967457038,1000000.0
1.0,80.58682028023148,3.0,0.0,0.0,2.0,0.0,0.0,21.0,0.15181,1.0,0.0,61.0,8.424428847939208,6,4.0,35.0,3.0,3.0,0.0,4.811405466505207,27.328846580645163,1.411,54.93926251944977,94.33787800000003,6.412717690442143,0.4134853780269623,0.19452132548308493,1000000.0
