 Composting Method,Initial pH,Period (d),Additive_1,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),V2_Ventilation Interval (min),Initial GI (%),Additive_4,M1_is Enclosed,Initial C/N (%),Additive_3,Material_2,Material_3,Initial Moisture Content (%),Material_Main,V1_Ventilation Type,V4_Ventilation Day,Additive_2,Turning times,Application Rate (%DW),V3_Ventilation Duration (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
1.0,5.0,28.0,20.0,0.06,0.01670374149475551,134.0,27.328846580645163,1.0,1.0,12.0,4.0,2.0,4.0,78.78398870179208,2,1.0,2.0,0.0,14.0,6.740263245562657,23.71781459410734,1.775,28.21029126276421,89.48662799999998,6.380099939160544,0.559183657169342,0.14518119577232586,1000000.0
2.0,5.904673821129361,116.0,11.0,0.06,0.0,0.0,27.328846580645163,1.0,0.0,39.0,4.0,8.0,9.0,61.67824712932049,2,2.0,0.0,1.0,11.0,9.06774846021158,0.0,1.775,30.459702495450742,89.74292399999996,6.0563132340288615,0.7068976759910583,0.14597220085524276,1000000.0
0.0,6.0,25.0,11.0,0.06,0.0,0.0,27.32884658064516,1.0,1.0,16.0,4.0,5.0,9.0,65.0,2,2.0,0.0,7.0,1.0,5.299860843324539,0.0,1.775,47.50485824762832,90.29024099999998,6.091020771332633,0.209239199757576,0.17811262626957303,1000000.0
2.0,5.0,33.0,27.0,0.06,0.0,0.0,27.328846580645163,1.0,0.0,14.0,4.0,3.0,2.0,54.03653624521006,2,2.0,0.0,11.0,2.0,2.238145202131494,0.0,1.775,28.13956402444385,88.62028900000003,5.403193188626875,1.0420184135437012,0.12913738765809196,1000000.0
1.0,6.0,125.0,38.0,0.06,0.0,0.0,27.32884658064516,1.0,1.0,35.0,4.0,8.0,0.0,50.0,2,2.0,0.0,9.0,16.0,6.824808678506789,0.0,1.775,19.32569389325868,89.822082,3.644639067463058,0.2791295647621155,0.18353031158910899,1000000.0
2.0,5.0,21.0,12.0,0.06,0.0,0.0,27.32884658064516,1.0,1.0,40.804347816311804,4.0,6.0,0.0,74.14506503296806,2,2.0,0.0,15.0,5.0,6.062526502693024,0.0,1.775,72.34250783534036,90.410476,6.712237533486703,0.19803765416145325,0.1941499777121214,1000000.0
1.0,6.999999999999998,121.0,37.0,0.06,0.0,0.0,27.32884658064516,1.0,1.0,13.868855376310613,4.0,12.0,3.0,57.0,2,2.0,0.0,2.0,31.0,5.022842692946552,0.0,1.775,57.202539529513864,88.98728,6.091020771332633,0.5715669393539429,0.13175522605285306,1000000.0
1.0,5.0,75.0,7.0,0.06,0.6069359129077687,686.0,27.32884658064516,1.0,0.0,39.0,4.0,12.0,0.0,50.0,2,1.0,66.0,2.0,28.0,2.4832709097135197,41.0842174074253,1.775,45.78346092938185,87.85933600000003,5.621885122552182,0.4949917495250702,0.1500363891169542,1000000.0
1.0,5.0,106.0,36.0,0.06,0.8946963970488644,0.0,27.32884658064516,1.0,0.0,31.0,4.0,2.0,2.0,53.0,2,0.0,4.0,1.0,31.0,9.983025673473975,0.0,1.775,24.39702319088238,88.14125,4.639520210564354,0.6232751607894897,0.18161896672483677,1000000.0
0.0,7.0,121.0,34.0,0.06,0.0,0.0,27.32884658064516,1.0,1.0,40.58872677765247,4.0,3.0,4.0,56.01206711572882,2,2.0,0.0,3.0,19.0,7.327334768015712,0.0,1.775,73.91101669069491,88.04954400000001,6.091020771332633,0.33600014448165894,0.1797328788520965,1000000.0
0.0,7.0,87.0,22.0,0.06,0.0,0.0,27.32884658064516,1.0,1.0,41.90297359759844,4.0,6.0,0.0,58.0,2,2.0,0.0,2.0,15.0,8.835396130116196,0.0,1.775,74.37777813573723,89.25509,6.592875579300572,0.47881534695625305,0.1947511871605001,20.449746887892623
1.0,6.0,17.0,37.0,0.06,0.0,0.0,27.32884658064516,1.0,0.0,14.0,4.0,12.0,3.0,50.0,2,2.0,0.0,7.0,4.0,9.490880375354621,0.0,1.775,68.72933599659714,88.435085,3.142784259495122,0.2728533148765564,0.09024086954902966,1000000.0
2.0,6.0,81.0,27.0,0.06,1.7195357833133589,1201.0,27.32884658064516,1.0,1.0,38.0,4.0,8.0,0.0,73.81559297833523,2,1.0,3.0,11.0,15.0,9.18578750196814,11.23494645466766,1.775,58.81407145429621,88.83086200000001,8.002765095059955,0.6589069366455078,0.1726842255033487,1000000.0
0.0,7.000000000000001,65.0,36.0,0.06,0.2962710392041439,369.0,27.32884658064516,1.0,1.0,44.89396433287861,4.0,13.0,0.0,65.0,2,1.0,1.0,1.0,14.0,5.3498392068409295,46.665241681908476,1.775,79.68678669085953,88.745623,8.709716462193146,0.38558295369148254,0.15319295117303341,23.883058288290353
2.0,8.421971782198138,118.0,16.0,0.06,0.0,0.0,27.32884658064516,1.0,1.0,30.0,4.0,12.0,2.0,54.0,2,2.0,0.0,0.0,17.0,9.518887569570047,0.0,1.775,57.83909081039573,86.94286200000002,4.772940789095989,1.0694589614868164,0.14131705056688026,1000000.0
2.0,7.0,19.0,33.0,0.06,0.0,0.0,27.32884658064516,1.0,0.0,10.0,4.0,5.0,2.0,51.10163285404441,2,2.0,0.0,2.0,3.0,7.733908998014628,0.0,1.9693649664347623,60.74618468492575,89.14818100000001,1000000.0,1000000.0,1000000.0,1000000.0
0.0,5.0,20.0,16.0,0.06,1.2426479769463712,0.0,27.328846580645163,1.0,1.0,17.0,4.0,14.0,5.0,71.44623995666669,2,2.0,0.0,6.0,3.0,3.2214932743558498,0.2275163079671467,1.775,29.535166046462855,90.93822199999998,5.685827422533591,0.4181990921497345,0.23597970855456712,1000000.0
2.0,5.0,78.0,8.0,0.06,1.1971210978778024,1365.0,27.32884658064516,1.0,1.0,12.0,4.0,5.0,0.0,76.72936752511134,2,1.0,0.0,3.0,19.0,6.049016144118652,44.95849694442169,1.775,61.34694329134068,88.743823,5.815365449923726,0.6146394610404968,0.15869737823724658,1000000.0
2.0,7.0,16.0,11.0,0.06,1.450606723695862,4.0,27.32884658064516,1.0,1.0,16.0,4.0,12.0,0.0,67.0,2,1.0,0.0,8.0,5.0,8.175762544620174,49.10263363300026,1.775,21.820880843215505,90.24823099999999,6.699804371622032,0.24484935402870178,0.1851932931003031,1000000.0
2.0,6.0,25.0,11.0,0.06,0.5929156582261514,1192.0,27.32884658064516,1.0,1.0,27.0,4.0,3.0,4.0,64.0,2,1.0,3.0,9.0,2.0,3.0891189485615422,43.46130963036103,1.775,12.228704475793107,88.47817400000002,6.803565822426447,0.6715924143791199,0.16450049106269085,1000000.0
