Material_Main,Turning times,Intermittent ratio, Composting Method,M1_is Enclosed,Period (d),V4_Ventilation Day,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TC loss (%)
4,1.0,0.0,1,1,105.0,0.0,0.0,8,0.055,0.0,73.584,49.13
4,1.0,0.0,1,1,105.0,0.0,0.0,8,0.055,0.0,73.584,44.24
4,1.0,0.0,1,1,105.0,0.0,0.0,8,0.055,0.0,73.584,43.93
4,1.0,0.0,1,1,105.0,0.0,0.0,8,0.055,0.0,73.584,48.71
4,1.0,0.0,1,1,105.0,0.0,0.0,8,0.055,0.0,73.584,44.74
4,1.0,0.0,1,1,105.0,0.0,0.0,8,0.055,0.0,73.584,44.62
5,1.0,0.0,0,1,15.0,15.0,0.0,5,0.018,0.9532,65.03,10.33
5,1.0,0.0,0,1,15.0,15.0,29.0,5,0.018,0.90506,63.17,15.82
5,1.0,0.0,0,1,15.0,15.0,29.0,5,0.018,0.88629,62.39,17.17
5,1.0,0.0,0,1,15.0,15.0,29.0,5,0.018,0.89127,62.6,16.54
5,1.0,0.0,0,1,15.0,15.0,29.0,5,0.018,0.8765,61.97,11.61
5,1.0,0.0,0,1,15.0,15.0,29.0,5,0.018,0.91149,63.43,12.7
4,16.0,0.0,0,1,32.0,32.0,0.0,6,0.1,0.15927,61.1,22.76
4,16.0,0.0,0,1,32.0,32.0,0.0,6,0.1,0.20729,53.5,7.81
4,16.0,0.0,0,1,32.0,32.0,0.0,6,0.1,0.20173,48.5,17.58
4,16.0,0.0,0,1,32.0,32.0,0.0,1,0.1,0.309,74.7,34.26
4,16.0,0.0,0,1,32.0,32.0,0.0,1,0.1,0.24188,65.6,21.27
4,16.0,0.0,0,1,32.0,32.0,0.0,1,0.1,0.20729,53.0,7.04
4,16.0,0.0,0,1,32.0,32.0,0.0,8,0.1,0.18939,47.5,10.57
4,6.42857,0.0,0,0,45.0,0.0,0.0,8,0.06,0.0,64.06,43.0
4,6.42857,0.0,0,0,45.0,0.0,0.0,8,0.06,0.0,64.06,39.6
8,17.5,0.0,0,1,70.0,0.0,0.0,8,1.2096,0.0,63.6,54.8
8,17.5,0.0,0,1,70.0,70.0,0.0,8,1.2096,0.18,63.6,54.2
8,17.5,0.0,0,1,70.0,70.0,0.0,8,1.2096,0.36,63.6,53.7
8,17.5,0.0,0,1,70.0,70.0,0.0,8,1.2096,0.54,63.6,52.2
8,17.5,2.0,0,1,70.0,70.0,0.0,8,1.2096,0.54,63.6,56.3
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,8,0.98322,0.76086,64.42877,40.0
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,8,0.98322,0.76086,64.42877,45.0
5,0.0,0.0,0,1,31.0,31.0,0.0,8,0.01,0.48,71.0,22.0
5,0.0,0.0,0,1,31.0,31.0,0.0,8,0.01,0.23,71.0,24.0
5,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,8,0.98322,0.76086,64.42877,28.0
5,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,8,0.98322,0.76086,64.42877,33.0
8,7.5,5.0,0,1,30.0,30.0,0.0,8,0.06,0.48,65.9,58.4
8,7.5,5.0,0,1,30.0,30.0,10.0,8,0.06,0.48,69.63,56.6
8,7.5,5.0,0,1,30.0,30.0,10.2,8,0.06,0.48,69.63,56.3
8,7.5,5.0,0,1,30.0,30.0,5.2,8,0.06,0.48,69.13,58.0
5,12.5,1.0,0,1,25.0,25.0,0.0,8,0.06,0.08242,65.0,24.3
5,12.5,1.0,0,1,25.0,25.0,0.0,8,0.06,0.82645,65.0,54.47
5,12.5,1.0,0,1,25.0,25.0,0.0,8,0.06,1.64384,65.0,45.7
8,7.71429,0.0,1,0,54.0,0.0,0.0,8,0.13,0.0,68.20741,58.0
8,7.71429,0.0,1,0,54.0,0.0,15.0,8,0.13,0.0,62.82171,54.2
8,7.71429,0.0,1,0,54.0,0.0,15.0,8,0.13,0.0,62.82171,53.8
8,7.71429,0.0,1,0,54.0,0.0,0.0,8,0.13,0.0,68.20741,55.4
8,7.71429,0.0,1,0,54.0,0.0,6.0,8,0.13,0.0,63.36549,52.1
8,7.71429,0.0,1,0,54.0,0.0,6.0,8,0.13,0.0,63.36549,51.8
6,5.0,0.02778,0,1,45.0,45.0,0.0,8,0.12,1.97084,65.0,16.32
6,5.0,0.02778,0,1,45.0,45.0,5.0,8,0.12,2.55513,65.0,17.17
6,5.0,0.02778,0,1,45.0,45.0,1.0,8,0.12,1.71142,65.0,18.95
6,5.0,0.02778,0,1,45.0,45.0,1.0,8,0.12,1.71142,65.0,15.14
6,5.0,0.02778,0,1,45.0,45.0,3.0,8,0.12,1.43942,65.0,16.54
6,5.0,0.02778,0,1,45.0,45.0,3.0,8,0.12,1.43942,65.0,17.15
6,5.0,0.02778,0,1,45.0,45.0,5.0,8,0.12,2.55513,65.0,22.42
6,7.0,0.0,0,1,35.0,35.0,0.0,8,0.06,0.1,72.86,49.9
6,7.0,0.0,0,1,35.0,35.0,0.0,8,0.06,0.2,72.86,47.7
6,7.0,0.0,0,1,35.0,35.0,0.0,8,0.06,0.3,72.86,43.8
