Material_Main,Turning times,Intermittent ratio, Composting Method,M1_is Enclosed,Period (d),V4_Ventilation Day,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),NH3-N loss (%)
0,5.33333,0.0,1,1,64.0,0.0,0.0,5,1.0,0.0,74.0,7.47
0,5.33333,0.0,1,1,64.0,0.0,0.0,5,1.0,0.0,74.0,16.56
0,5.33333,0.0,1,1,64.0,64.0,0.0,5,1.0,1.157,74.0,22.51
7,0.0,1.0,0,1,25.0,25.0,0.0,5,0.06,0.08242,60.0,0.04311
7,0.0,1.0,0,1,25.0,25.0,0.0,5,0.06,0.82645,60.0,10.75926
7,0.0,1.0,0,1,25.0,25.0,0.0,5,0.06,1.64384,60.0,19.90911
9,0.0,0.0,1,0,110.6,0.0,0.0,5,0.4,0.0,77.53,2.6
9,0.0,0.0,1,0,110.6,0.0,0.0,0,0.4,0.0,66.71,1.2
9,0.0,0.0,1,0,110.6,0.0,0.0,0,0.4,0.0,66.36,0.55
9,0.0,0.0,1,0,73.7,0.0,0.0,0,0.15121,0.0,67.68,0.15
9,0.0,0.0,1,0,65.1,0.0,0.0,0,0.15121,0.0,66.26,0.25
8,0.0,0.0,0,1,50.0,50.0,0.0,4,0.03,0.22286,72.13,19.05908
8,0.0,0.0,0,1,50.0,50.0,0.0,5,0.03,0.20526,69.74,13.69849
8,0.0,0.0,0,1,50.0,50.0,0.0,2,0.03,0.21455,71.05,11.68199
9,14.0,1.0,0,1,28.0,28.0,0.0,5,0.07122,0.8589,60.0,18.35
9,14.0,1.0,0,1,28.0,28.0,0.0,5,0.07122,0.92562,60.0,20.72
9,14.0,1.0,0,1,28.0,28.0,0.0,5,0.07122,0.90323,60.0,25.05
9,14.0,1.0,0,1,28.0,28.0,0.0,5,0.07122,0.90909,60.0,25.95
2,7.0,0.5,0,1,28.0,28.0,0.0,5,0.06,1.20727,66.9,34.9
2,7.0,0.5,0,1,28.0,28.0,0.0,0,0.06,0.96434,58.6,18.2
2,7.0,0.5,0,1,28.0,28.0,0.0,0,0.06,0.85547,53.1,6.5
2,7.0,0.5,0,1,28.0,28.0,0.0,0,0.06,0.76023,47.5,1.4
0,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,16.06
0,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,7.55
7,0.0,0.0,0,1,50.0,50.0,0.0,4,0.02,0.2,73.67,13.53
9,3.61111,0.0,1,0,65.0,0.0,0.0,5,0.25,0.0,80.3,35.57169
9,3.61111,0.0,1,0,65.0,0.0,0.0,5,2.632,0.0,70.4,27.93045
9,3.61111,0.0,1,0,65.0,0.0,0.0,5,2.632,0.0,71.6,25.76586
9,3.61111,0.0,1,0,65.0,0.0,0.0,0,2.632,0.0,70.1,11.02662
0,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,11.0
0,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,17.0
0,29.33333,0.0,2,0,88.0,0.0,0.0,5,10.0,0.0,72.5,18.0
0,0.0,0.0,2,0,85.0,0.0,0.0,5,10.0,0.0,74.8,1.0
0,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,2.0
0,28.33333,0.0,2,0,85.0,0.0,0.0,5,10.0,0.0,74.8,2.0
8,7.4,0.5,1,0,37.0,37.0,0.0,0,1.0,1.59288,65.0,19.13405
8,7.4,0.5,1,0,37.0,37.0,5.0,0,1.0,1.52425,65.0,14.06262
8,7.4,0.5,1,0,37.0,37.0,10.0,0,1.0,0.42355,65.0,16.01476
0,3.64286,0.0,2,0,51.0,0.0,22.7,5,0.132,0.0,65.0,9.74576
0,3.64286,0.0,2,0,51.0,0.0,0.0,5,2.364,0.0,65.0,6.61589
0,3.64286,0.0,2,0,51.0,0.0,0.0,5,2.364,0.0,65.0,4.66473
0,3.64286,0.0,2,0,51.0,0.0,0.0,5,2.364,0.0,65.0,4.133
0,3.64286,0.0,2,0,51.0,0.0,0.0,5,2.364,0.0,65.0,3.11185
8,0.0,0.5,1,0,26.0,26.0,0.0,0,1.3,2.72264,70.0,11.57481
8,0.0,0.5,1,0,26.0,26.0,0.0,0,1.3,2.72264,70.0,14.23691
8,0.0,0.5,1,0,26.0,26.0,0.0,0,1.3,2.72264,70.0,18.31547
8,0.0,0.0,0,1,22.0,22.0,0.0,4,0.002,0.50545,63.453,18.382
