Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final NO2-N (g_kg)
1,11,0.75,1,6,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,23,0.44,7,20.54,1.82
3,11,0.0,1,6,112.0,0.0,2,0.0,0.0,12.0,0.0,1.24,64.9,27,0.0,7,14.25,1.52
3,11,0.0,1,6,112.0,0.0,2,0.0,0.0,12.0,2.82,1.63,64.5,23,0.0,7,14.25,2.19
1,10,1.0,0,3,54.0,54.0,0,0.0,0.0,7.0,0.0,0.08,65.0,27,0.05,7,25.0,1.75
1,10,1.0,0,3,54.0,54.0,0,0.0,0.0,7.0,5.0,0.08,65.0,1,0.05,7,25.0,1.67
1,4,0.75,0,5,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,7,20.54,2.12
1,19,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,7,20.54,0.58
1,19,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,36,0.44,7,20.54,0.47
1,19,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,33,0.44,7,20.54,0.71
1,19,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,38,0.44,7,20.54,0.65
1,19,1.0,0,5,56.0,56.0,1,0.0,0.0,11.0,0.0,0.13,55.0,27,1.11,7,25.02,0.78
1,19,1.0,0,5,56.0,56.0,1,0.0,0.0,11.0,2.0,0.13,55.0,5,1.11,7,25.09,1.23
1,19,1.0,0,5,56.0,56.0,1,0.0,0.0,11.0,4.0,0.13,55.0,5,1.11,7,25.0,1.31
1,19,1.0,0,5,56.0,56.0,1,0.0,0.0,11.0,6.0,0.13,55.0,5,1.11,7,23.99,1.39
1,19,1.0,0,5,56.0,56.0,1,0.0,0.0,11.0,8.0,0.13,55.0,5,1.11,7,22.32,1.54
1,19,1.0,0,5,56.0,56.0,1,0.0,0.0,11.0,12.0,0.13,55.0,5,1.11,7,21.14,1.42
1,19,1.0,0,5,56.0,56.0,1,0.0,0.0,11.0,18.0,0.13,55.0,5,1.11,7,20.4,1.4
1,5,0.75,0,1,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,7,20.54,1.4
1,1,1.0,0,6,35.0,35.0,0,0.0,0.0,4.0,0.0,0.06,69.2,27,0.3,7,18.4,0.26
1,1,1.0,0,6,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,15,0.3,3,18.4,0.23
1,1,1.0,0,6,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,16,0.3,5,18.4,0.32
1,1,1.0,0,6,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,6,0.3,5,18.4,0.21
1,1,1.0,0,6,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,15,0.3,5,18.4,0.13
1,13,1.0,0,5,50.0,50.0,1,20.0,60.0,7.0,0.0,0.29,67.71,27,0.18,7,21.24,0.56
1,13,1.0,0,5,50.0,50.0,1,20.0,60.0,7.0,12.0,0.29,66.08,5,0.25,7,21.21,0.82
3,11,0.0,2,6,82.0,0.0,2,0.0,0.0,15.0,1.38,5.46,63.7,22,0.0,7,15.4,0.3
3,11,0.0,2,6,82.0,0.0,2,0.0,0.0,15.0,9.64,5.46,63.7,5,0.0,6,17.51,0.21
3,11,0.75,1,6,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,7,20.54,0.05
3,11,0.75,1,6,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,5,0.44,7,20.54,0.62
3,15,0.0,1,0,50.0,0.0,2,0.0,0.0,9.0,0.0,0.06,60.6,27,0.0,7,22.5,1.45
3,15,0.0,1,0,50.0,0.0,2,0.0,0.0,9.0,25.49,0.06,60.1,13,0.0,7,23.4,1.11
1,19,1.0,0,6,30.0,30.0,0,0.0,0.0,6.0,0.0,0.12,66.11,27,2.57,7,17.58,0.24
1,19,1.0,0,6,30.0,30.0,0,0.0,0.0,6.0,5.0,0.12,60.76,2,2.57,7,27.17,0.33
1,19,1.0,0,6,30.0,30.0,0,0.0,0.0,6.0,10.0,0.12,61.18,2,2.57,7,14.51,0.34
1,19,1.0,0,6,30.0,30.0,0,0.0,0.0,6.0,20.0,0.12,58.78,2,2.57,7,16.71,0.32
1,19,1.0,0,6,30.0,30.0,0,0.0,0.0,6.0,1.0,0.12,61.96,7,2.57,7,26.72,0.35
3,10,0.0,2,6,26.0,0.0,2,0.0,0.0,7.0,0.0,1.2,65.0,27,0.0,7,22.46,0.68
3,10,0.0,2,6,26.0,0.0,2,0.0,0.0,7.0,15.68,1.2,65.0,5,0.0,7,24.97,0.42
3,10,0.0,2,6,26.0,0.0,2,0.0,0.0,7.0,31.36,1.2,65.0,5,0.0,7,26.48,0.47
3,10,0.75,2,6,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,5,0.44,7,20.54,0.77
0,4,0.75,0,3,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,7,20.54,0.04
0,4,0.75,0,3,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,35,0.44,7,20.54,0.05
0,4,0.75,0,3,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,35,0.44,7,20.54,0.05
0,4,0.75,0,3,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,22,0.44,7,20.54,0.1
1,1,1.0,0,6,35.0,0.0,0,0.0,0.0,6.0,0.0,0.06,69.2,27,0.25,7,18.43,0.28
1,1,1.0,0,6,35.0,0.0,0,0.0,0.0,6.0,16.22,0.06,61.69,15,0.25,4,18.43,0.13
1,1,1.0,0,6,35.0,0.0,0,0.0,0.0,6.0,4.0,0.06,68.85,36,0.25,7,18.43,0.05
1,1,1.0,0,6,35.0,0.0,0,0.0,0.0,6.0,16.22,0.06,61.69,15,0.25,7,18.43,0.19
0,11,0.75,0,5,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,7,20.54,0.98
0,5,0.75,0,5,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,5,0.44,7,20.54,0.66
0,11,0.75,0,5,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,5,0.44,7,20.54,0.58
1,19,1.0,0,6,50.0,50.0,0,0.0,0.0,9.0,0.0,0.1,55.0,27,0.3,7,25.0,1.27
1,19,1.0,0,6,50.0,50.0,0,0.0,0.0,9.0,10.0,0.1,60.23,5,0.3,7,25.94,1.24
1,19,1.0,0,6,50.0,50.0,0,0.0,0.0,9.0,20.0,0.1,59.72,5,0.3,10,17.95,1.04
1,19,1.0,0,6,50.0,50.0,0,0.0,0.0,9.0,20.5,0.1,59.72,5,0.3,10,17.95,0.95
1,19,1.0,0,6,50.0,50.0,0,0.0,0.0,9.0,21.0,0.1,59.72,5,0.3,10,17.95,0.89
1,19,1.0,0,6,50.0,50.0,0,0.0,0.0,9.0,22.0,0.1,59.97,5,0.3,10,18.43,0.83
3,5,0.0,2,6,52.0,0.0,2,0.0,0.0,13.0,0.0,13.88,65.0,27,0.0,7,16.75,1.08
3,5,0.0,2,6,52.0,0.0,2,0.0,0.0,13.0,23.0,6.64,65.0,5,0.0,7,24.09,1.64
3,5,0.75,2,6,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,5,0.44,7,20.54,1.37
0,3,1.0,0,5,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,75.32,27,0.56,7,17.96,1.45
0,3,1.0,0,5,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,69.37,27,0.49,7,17.83,1.53
0,12,1.0,0,0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,76.28,27,0.52,7,21.77,2.12
0,17,1.0,0,5,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,67.86,27,0.44,7,12.13,1.25
0,7,0.75,0,2,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,7,20.54,2.27
1,5,0.75,0,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,7,20.54,0.11
1,5,0.75,0,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,29,0.44,7,20.54,0.23
1,5,0.75,0,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,39,0.44,7,20.54,0.12
1,5,0.75,0,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,29,0.44,10,20.54,0.36
1,10,0.75,0,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,7,20.54,0.04
1,10,0.75,0,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,29,0.44,7,20.54,0.03
1,10,0.75,0,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,39,0.44,7,20.54,0.04
1,10,0.75,0,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,29,0.44,10,20.54,0.1
1,11,0.75,0,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,7,20.54,0.0
1,11,0.75,0,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,29,0.44,7,20.54,0.0
1,11,0.75,0,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,39,0.44,7,20.54,0.0
1,11,0.75,0,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,29,0.44,10,20.54,0.0
1,2,1.0,0,6,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,64.1,27,0.24,7,14.7,0.23
1,2,1.0,0,6,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,65.2,27,0.48,7,18.3,0.21
1,2,1.0,0,6,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,63.7,27,0.72,7,20.7,0.24
1,2,1.0,0,6,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,71.3,27,0.24,7,18.4,0.17
1,2,1.0,0,6,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,70.6,27,0.48,7,21.1,0.19
1,2,1.0,0,6,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,70.8,27,0.72,7,15.0,0.41
1,2,1.0,0,6,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,75.7,27,0.24,7,21.2,0.12
1,2,1.0,0,6,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,76.8,27,0.48,7,14.9,0.04
1,2,1.0,0,6,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,74.0,27,0.72,7,18.0,0.38
1,11,1.0,0,0,35.0,35.0,0,0.0,0.0,9.0,0.0,0.16,66.03,27,0.81,7,21.96,1.43
1,11,1.0,0,0,35.0,35.0,0,0.0,0.0,9.0,0.0,0.3,65.69,27,0.81,7,21.51,1.59
1,11,1.0,0,0,35.0,35.0,0,0.0,0.0,9.0,0.0,0.57,66.14,27,0.81,7,21.64,1.72
3,1,0.0,1,6,70.0,0.0,2,0.0,0.0,10.0,0.0,1.2,64.0,27,0.0,7,17.4,0.3
3,1,1.0,1,6,70.0,0.0,2,0.0,0.0,10.0,0.0,1.2,64.0,27,0.0,7,17.4,0.23
3,1,0.0,1,6,70.0,0.0,2,0.0,0.0,5.0,0.0,1.2,64.0,27,0.0,7,17.4,0.26
3,1,1.0,1,6,70.0,0.0,2,0.0,0.0,5.0,0.0,1.2,64.0,27,0.0,7,17.4,0.21
2,1,0.0,1,6,70.0,0.0,2,0.0,0.0,0.0,0.0,1.2,64.0,27,0.0,7,17.4,1.69
2,1,1.0,1,6,70.0,0.0,2,0.0,0.0,0.0,0.0,1.2,64.0,27,0.0,7,17.4,0.73
3,4,0.0,2,6,55.0,0.0,2,0.0,0.0,7.0,0.0,11.25,60.04,27,0.0,7,15.39,0.13
3,4,0.0,2,6,55.0,0.0,2,0.0,0.0,15.0,0.0,11.25,60.04,27,0.0,7,15.39,0.11
1,1,1.0,0,5,35.0,35.0,0,0.0,0.0,5.0,0.0,0.06,72.1,27,0.2,7,11.37,1.43
3,19,1.0,0,3,28.0,0.0,2,0.0,0.0,9.0,0.0,0.13,61.46,27,0.0,7,30.88,0.36
3,19,1.0,0,3,28.0,0.0,2,0.0,0.0,9.0,2.0,0.13,60.66,8,0.0,7,30.04,0.48
3,19,1.0,0,3,28.0,0.0,2,0.0,0.0,9.0,4.0,0.13,59.71,8,0.0,7,30.35,0.51
3,19,1.0,0,3,28.0,0.0,2,0.0,0.0,9.0,6.0,0.13,60.45,8,0.0,7,30.57,0.56
