Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final Moisture Content (%)
0,13,1.0,0,7,60.0,60.0,0,0.0,0.0,0.0,0.0,0.03,70.07,14,0.21,3,20.81,29.35
1,8,1.0,0,2,28.0,28.0,1,30.0,60.0,4.0,0.0,0.06,66.9,14,1.21,3,25.0,60.6
1,16,1.0,0,2,28.0,28.0,1,30.0,60.0,4.0,0.0,0.06,58.6,14,0.96,3,20.9,56.8
1,16,1.0,0,2,28.0,28.0,1,30.0,60.0,4.0,0.0,0.06,53.1,14,0.86,3,18.7,51.4
1,16,1.0,0,2,28.0,28.0,1,30.0,60.0,4.0,0.0,0.06,47.5,14,0.76,3,16.8,43.1
0,14,1.0,0,5,50.0,50.0,0,0.0,0.0,0.0,0.0,0.02,73.67,14,0.2,3,9.89,73.59
0,23,1.0,0,8,6.0,6.0,0,0.0,0.0,0.0,9.99,0.01,84.74,18,0.22,3,13.42,76.8
0,23,1.0,0,8,17.0,17.0,0,0.0,0.0,0.0,9.47,0.01,83.18,22,0.61,3,26.37,68.35
0,23,1.0,0,8,15.0,15.0,0,0.0,0.0,0.0,9.47,0.01,83.21,22,0.61,3,26.37,73.83
0,23,1.0,0,8,15.0,15.0,0,0.0,0.0,0.0,9.47,0.01,83.21,22,0.61,3,26.37,77.88
0,23,1.0,0,8,15.0,15.0,0,0.0,0.0,0.0,9.47,0.01,82.62,22,0.61,3,26.37,67.48
0,14,1.0,2,5,21.0,21.0,1,30.0,30.0,0.0,0.0,0.02,59.79,14,0.16,3,30.3,47.56
0,14,1.0,2,5,21.0,21.0,1,30.0,30.0,0.0,0.0,0.02,59.79,14,0.31,3,30.3,48.5
0,14,1.0,2,5,21.0,21.0,1,30.0,30.0,0.0,0.0,0.02,59.79,14,0.16,3,30.3,49.37
0,14,1.0,0,7,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,63.45,14,0.37,3,11.68,50.98
0,14,1.0,0,7,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,62.82,14,0.35,3,10.89,52.76
