Material_Main,Period (d),Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_3,Additive_2,Additive_1,Material_3,Additive_4,Material_2,Compost volume (m3),V1_Ventilation Type,V4_Ventilation Day,Application Rate (%DW),V3_Ventilation Duration (min),Initial C/N (%),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TC loss (%)
7,28.0,3.11111,0.0,1.0,0,4,11,27,4,1,13,0.13,2.0,0.0,0.0,0.0,30.8801,0.0,61.4561,41.19
7,28.0,3.11111,0.0,1.0,0,4,11,8,4,1,13,0.13,2.0,0.0,2.0,0.0,30.0375,0.0,60.661,38.64
7,28.0,3.11111,0.0,1.0,0,4,11,8,4,1,13,0.13,2.0,0.0,4.0,0.0,30.3496,0.0,59.7109,31.45
7,28.0,3.11111,0.0,1.0,0,4,11,8,4,1,13,0.13,2.0,0.0,6.0,0.0,30.568,0.0,60.4548,25.78
7,28.0,3.11111,0.0,1.0,0,4,11,8,4,1,13,0.13,2.0,0.0,8.0,0.0,30.8801,0.0,60.0684,18.48
7,28.0,3.11111,0.0,1.0,0,4,11,8,4,1,13,0.13,2.0,0.0,10.0,0.0,31.0362,0.0,59.4546,12.39
10,28.0,14.0,30.0,1.0,0,4,11,27,4,1,13,0.07122,1.0,28.0,0.0,30.0,15.04166,0.8589,60.0,46.9
10,28.0,14.0,30.0,1.0,0,4,11,27,4,1,13,0.07122,1.0,28.0,0.0,30.0,19.96354,0.92562,60.0,53.94
10,28.0,14.0,30.0,1.0,0,4,11,27,4,1,13,0.07122,1.0,28.0,0.0,30.0,24.98683,0.90323,60.0,67.74
2,28.0,7.0,60.0,1.0,0,4,11,27,4,1,5,0.06,1.0,28.0,0.0,30.0,25.0,1.20727,66.9,52.8
2,28.0,7.0,60.0,1.0,0,4,11,27,4,1,0,0.06,1.0,28.0,0.0,30.0,20.9,0.96434,58.6,59.4
2,28.0,7.0,60.0,1.0,0,4,11,27,4,1,0,0.06,1.0,28.0,0.0,30.0,18.7,0.85547,53.1,62.5
2,28.0,7.0,60.0,1.0,0,4,11,27,4,1,0,0.06,1.0,28.0,0.0,30.0,16.8,0.76023,47.5,60.1
1,40.0,4.44444,0.0,1.0,1,4,11,27,4,1,13,0.2,2.0,0.0,0.0,0.0,29.7094,0.0,65.0,55.81
1,40.0,4.44444,0.0,1.0,1,4,11,25,4,1,13,0.2,2.0,0.0,1.0,0.0,29.8465,0.0,65.0,54.13
1,40.0,4.44444,0.0,1.0,1,4,11,2,4,1,13,0.2,2.0,0.0,5.0,0.0,33.0811,0.0,65.0,52.5
1,40.0,4.44444,0.0,1.0,1,4,10,2,4,1,13,0.2,2.0,0.0,6.0,0.0,33.4375,0.0,65.0,48.48
7,30.0,7.5,720.0,1.0,0,4,11,27,4,1,13,0.1,1.0,30.0,0.0,10.0,41.11596,0.00833,60.0,28.4
7,30.0,7.5,720.0,1.0,0,4,11,7,4,1,13,0.1,1.0,30.0,10.0,10.0,38.25338,0.00833,60.0,29.3
7,30.0,7.5,720.0,1.0,0,4,11,2,4,1,13,0.1,1.0,30.0,10.0,10.0,42.9974,0.00833,60.0,37.1
0,20.0,0.0,0.0,1.0,0,4,11,27,4,1,13,0.06,0.0,20.0,0.0,0.0,29.35,0.21,60.22,51.26
0,20.0,0.0,10.0,1.0,0,4,11,27,4,1,13,0.06,1.0,20.0,0.0,10.0,29.35,0.42,60.22,47.55
