Material_Main,Turning times, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),TN loss (%)
10,8.75,0,1,0,35.0,35.0,0.0,1.504,11,0.06,0.3,69.2,18.4,2.04,0,37.48,2,0.58703,17.6
10,8.75,0,1,0,35.0,35.0,0.0,1.504,11,0.06,0.3,69.2,18.4,2.04,0,37.48,9,0.58703,9.8
10,5.46667,2,0,0,82.0,0.0,0.0,1.37741,7,5.456,0.0,63.7,15.4,2.60573,0,40.1283,19,0.3684,30.73
10,5.46667,2,0,0,82.0,0.0,0.0,9.64187,7,5.456,0.0,63.7,17.51,2.44091,0,42.7403,0,0.3794,20.73
10,7.14286,0,1,8,50.0,50.0,10.0,2.5,4,0.18,6.25,60.0,17.6,2.66347,1,46.87707,19,0.22222,32.19
10,7.14286,0,1,8,50.0,50.0,10.0,2.5,4,0.18,6.25,60.0,24.0,1.99045,1,47.7708,19,0.22222,20.8
10,7.14286,0,1,8,50.0,50.0,10.0,2.5,4,0.18,6.25,60.0,32.4,1.55129,1,50.2618,19,0.22222,13.65
10,7.14286,0,1,8,50.0,50.0,10.0,2.5,4,0.18,6.25,60.0,40.3,1.24328,1,50.10418,19,0.22222,7.66
10,7.14286,0,1,8,50.0,50.0,10.0,2.5,4,0.18,6.25,60.0,24.0,1.81505,1,46.23677,2,0.22222,20.8
10,7.14286,0,1,8,50.0,50.0,10.0,5.0,4,0.18,6.25,60.0,24.4,1.81505,1,47.5699,2,0.22222,13.82
10,7.14286,0,1,8,50.0,50.0,10.0,7.5,4,0.18,6.25,60.0,24.1,1.87774,1,47.99453,2,0.22222,10.57
10,7.14286,0,1,8,50.0,50.0,10.0,10.0,4,0.18,6.25,60.0,24.1,1.84651,1,47.99453,2,0.22222,9.8
10,7.0,0,1,8,35.0,35.0,10.0,2.5,4,0.18,6.25,60.0,27.0,1.8811,1,50.7897,30,0.22222,33.01
10,7.0,0,1,8,35.0,35.0,10.0,9.23077,4,0.18,6.25,60.0,26.0,1.76278,1,45.83228,30,0.22222,28.94
10,7.0,0,1,8,35.0,35.0,10.0,16.92308,4,0.18,6.25,60.0,26.3,1.55575,1,40.91622,30,0.22222,21.28
10,7.0,0,1,8,35.0,35.0,10.0,24.61538,4,0.18,6.25,60.0,25.3,1.48814,1,37.64994,30,0.22222,17.39
10,1.30645,1,0,0,81.0,0.0,0.0,0.0,7,16.0,0.0,65.0,14.42029,2.76,0,39.8,0,1.17979,34.15
10,1.22727,1,0,0,81.0,0.0,0.0,8.8,7,16.0,0.0,65.0,15.14815,2.7,0,40.9,0,1.18519,29.07
0,5.55556,1,0,0,50.0,0.0,0.0,0.0,0,0.06,0.0,60.6,22.5,1.30392,0,29.33824,0,0.43333,15.0
0,5.55556,1,0,0,50.0,0.0,0.0,25.49,0,0.06,0.0,60.1,23.4,1.2193,0,28.53158,8,0.47667,10.8
