Material_Main,Turning times, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),TC loss (%)
8,9.25,0,1,1,37.0,37.0,25.0,0.0,8,0.06,0.48,65.0,18.09524,2.1,1,38.0,0,0.5949,50.0
8,9.25,0,1,1,37.0,37.0,25.0,0.0,8,0.06,0.72,65.0,20.73684,1.9,1,39.4,0,0.62305,53.0
8,9.25,0,1,1,37.0,37.0,25.0,0.0,8,0.06,0.24,70.0,18.09524,2.1,1,38.0,0,0.5928,41.0
8,9.25,0,1,1,37.0,37.0,25.0,0.0,8,0.06,0.48,70.0,21.10526,1.9,1,40.1,0,0.58559,55.0
8,9.25,0,1,1,37.0,37.0,25.0,0.0,8,0.06,0.72,70.0,14.66667,2.4,1,35.2,0,0.5605,50.0
8,9.25,0,1,1,37.0,37.0,25.0,0.0,8,0.06,0.24,75.0,21.52632,1.9,1,40.9,0,0.48326,46.0
8,9.25,0,1,1,37.0,37.0,25.0,0.0,8,0.06,0.48,75.0,14.70833,2.4,1,35.3,0,0.62249,34.0
8,9.25,0,1,1,37.0,37.0,25.0,0.0,8,0.06,0.72,75.0,17.90476,2.1,1,37.6,0,0.54503,49.0
8,9.25,0,1,0,37.0,37.0,0.0,0.0,8,0.06,0.24,64.1,14.7,2.36,0,34.8,0,0.56418,42.7
8,9.25,0,1,0,37.0,37.0,0.0,0.0,8,0.06,0.48,65.2,18.3,2.08,0,38.0,0,0.62554,51.0
8,9.25,0,1,0,37.0,37.0,0.0,0.0,8,0.06,0.72,63.7,20.7,1.9,0,39.4,0,0.63455,50.7
8,9.25,0,1,0,37.0,37.0,0.0,0.0,8,0.06,0.24,71.3,18.4,2.06,0,38.0,0,0.59329,41.6
8,9.25,0,1,0,37.0,37.0,0.0,0.0,8,0.06,0.48,70.6,21.1,1.9,0,40.1,0,0.58559,54.0
8,9.25,0,1,0,37.0,37.0,0.0,0.0,8,0.06,0.72,70.8,15.0,2.35,0,35.2,0,0.59114,50.3
8,9.25,0,1,0,37.0,37.0,0.0,0.0,8,0.06,0.24,75.7,21.2,1.93,0,40.9,0,0.48326,45.6
8,9.25,0,1,0,37.0,37.0,0.0,0.0,8,0.06,0.48,76.8,14.9,2.37,0,35.3,0,0.60789,33.8
8,9.25,0,1,0,37.0,37.0,0.0,0.0,8,0.06,0.72,74.0,18.0,2.09,0,37.6,0,0.54503,48.9
5,6.21429,2,0,0,87.0,0.0,0.0,0.0,5,0.144,0.0,67.6,20.0,2.80157,0,57.19383,0,0.50268,63.12
5,6.21429,2,0,0,87.0,0.0,0.0,0.0,5,0.144,0.0,68.16,25.0,2.564,0,60.809,0,0.45014,69.28
0,3.88889,0,1,0,35.0,35.0,0.0,0.0,5,0.1559,0.442,66.03,21.96203,1.817,0,39.905,0,0.70071,52.90177
0,3.88889,0,1,0,35.0,35.0,0.0,0.0,5,0.2984,0.435,65.69,21.51131,1.813,0,39.0,0,0.72895,55.63031
0,3.88889,0,1,0,35.0,35.0,0.0,0.0,5,0.5697,0.44,66.14,21.64477,1.796,0,38.874,0,0.75396,55.11272
8,7.0,1,0,0,70.0,0.0,0.0,0.0,8,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.43603,63.64
8,7.0,1,1,0,70.0,0.0,0.0,0.0,8,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.43603,63.16
8,14.0,1,0,0,70.0,0.0,0.0,0.0,8,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.45903,63.33
8,14.0,1,1,0,70.0,0.0,0.0,0.0,8,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.45903,62.73
8,0.0,1,0,0,70.0,0.0,0.0,0.0,8,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.47273,52.88
8,0.0,1,1,0,70.0,0.0,0.0,0.0,8,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.47273,51.81
6,7.0,0,1,0,35.0,35.0,0.0,0.0,8,0.06,0.2,72.1,11.37,2.68,0,30.45,0,0.667,50.26
8,8.0,0,1,0,56.0,0.0,0.0,0.0,8,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,0,0.475,66.0
8,8.0,0,1,0,56.0,0.0,0.0,3.3,8,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,2,0.475,59.5
