material_0,initial TN(%),initial TC(%),initial moisture content(%),initial CN(%),initial pH,material_1,Excipients_1,Additive Species,TN loss  (%)
2,0.97,51.3,76.36259999999997,52.88659793814433,6.7,11,42,4,36.66
2,0.92,50.6,75.0436,55.0,8.76,11,42,1,55.1
2,0.92,49.4,76.06080000000001,53.69565217391304,9.33,11,42,1,53.61
2,0.94,48.9,76.22680000000001,52.02127659574468,9.35,11,42,1,55.32
2,0.91,46.6,75.72990000000001,51.20879120879121,8.13,11,42,1,43.57
2,0.83,44.6,75.69040000000001,53.73493975903615,8.86,11,42,1,47.78
2,0.77,41.1,75.83610000000002,53.37662337662338,8.77,11,42,1,52.76
3,2.18,28.0,65.03,12.88,7.88,3,23,4,56.79
3,1.9,43.37434388303481,63.17,24.41,7.88,3,23,3,40.09374
3,1.8,43.16737540603248,62.39,27.43,7.7,3,23,3,46.62459
3,1.8,43.65782853828306,62.6,28.06,7.88,3,23,3,42.36534
3,2.05,38.03156300000003,61.97,16.31,7.88,3,23,3,52.36037999999999
3,1.8,45.88559215777261,63.43,39.93,7.88,3,23,3,48.89619
2,2.473897911832947,49.47795823665894,61.1,20.0,6.0,11,26,4,9.58
2,1.722737819025522,51.68213457076566,53.5,30.0,6.1,11,26,4,6.85
2,1.363109048723898,54.52436194895591,48.5,40.0,6.5,11,26,4,1.18
2,2.105820639564209,48.4338747099768,74.7,23.0,8.9,11,7,4,19.02
2,1.662799690641918,49.88399071925754,65.6,30.0,8.9,11,7,4,4.98
2,1.357308584686775,54.29234338747099,53.0,40.0,8.2,11,7,4,3.97
2,1.283007402496962,53.8863109048724,47.5,42.0,6.9,11,33,4,2.67
2,1.79,42.59,72.00489691100002,23.8,8.2,11,31,4,30.40000000000001
2,4.45,44.38,70.46750000000002,30.6,8.4,11,31,4,23.0
3,3.86,46.9,81.0,12.2,7.0,3,42,4,39.9
3,3.18,48.8,75.8,15.3,7.1,4,21,4,30.90000000000001
0,2.16,48.2,77.3,22.3,8.7,11,21,4,27.09999999999999
0,2.25,45.3,77.0,20.1,8.8,11,21,4,30.3
0,1.82,54.5,80.0,29.9,6.7,11,32,4,31.8
