material_0,initial TN(%),initial TC(%),initial moisture content(%),initial CN(%),initial pH,material_1,Excipients_1,Additive Species,CH4-C loss (%)
3,1.944523285883562,39.50663167192575,63.800000000000004,11.0,8.6,8,13,4,0.8
4,1.233971639954236,117.40056612529,56.220000000000006,38.58,5.76,10,5,4,3.324
4,1.574991655554159,42.80715406032485,53.42,37.83,5.68,10,5,4,1.103
3,1.902021781048769,36.24514044083529,-1.0,-1.0,7.8,0,27,4,0.002
3,2.176354167339643,39.67536809703019,65.0,18.0,8.5,8,3,4,4.01
3,1.830465374837413,32.43599354988401,65.0,18.0,6.6,8,7,4,4.347
3,1.595830248116084,41.1390937985522,65.0,18.0,8.6,8,14,4,1.084
3,2.203700833333334,31.27396475999998,65.4,14.2,9.1,0,21,4,0.05
3,2.203700833333334,31.30513475999998,65.4,14.2,9.1,0,21,4,0.04
3,1.085684670745272,40.4915174013921,65.4,14.2,9.1,0,21,4,0.05
3,1.146739387096773,51.35823503480277,75.0,33.85,7.6,8,3,4,0.01
3,2.115037944551623,46.7794594189977,85.0,33.85,6.9,8,3,4,0.77
3,2.104931293744444,47.12708253637123,60.0,30.0,6.9,0,3,4,8.408999999999999
3,2.183875764619906,47.26565640275638,60.0,30.0,6.9,0,3,4,1.0563
3,2.192759499821798,47.83999040275638,60.0,30.0,6.9,0,3,4,0.6656
3,2.447046532831736,36.3633811329002,60.0,30.0,5.0,0,3,4,0.3179
3,3.239648317251491,42.624881904757,66.16,14.57,-1.0,8,21,4,0.003016
3,2.490847832831737,36.43981852670531,66.77,13.95,-1.0,8,21,4,0.002336
3,5.566386750584823,98.80241152565264,64.71000000000001,14.26,-1.0,8,21,4,0.001337
3,2.845139718825504,161.9791552545332,64.71000000000001,13.74,-1.0,8,21,4,0.001166
3,4.193109228664635,58.39160924289344,63.1,6.975,-1.0,6,3,4,0.07365
3,4.237725528780387,56.14417805280485,63.1,6.975,-1.0,6,3,4,0.05538
3,1.617141836391135,41.98943191415314,63.1,6.975,-1.0,6,3,4,0.0368
3,2.297828213467929,104.5996970765661,76.4,12.76,-1.0,8,13,4,0.2
3,1.089644193548386,42.26709999999999,65.03715044039971,16.27,-1.0,8,13,4,0.1
3,1.815704583389262,44.36033980169604,60.0,27.0,-1.0,0,21,4,0.4
4,2.273521196382895,38.13346451044085,55.00000000000001,25.0,7.4,10,21,4,2.5
3,1.760276474733965,31.91560887471001,61.0,13.67,7.8,8,3,4,0.15
1,1.62783702546793,37.60803895591647,70.41410691099998,19.3,8.229921299999999,5,27,4,0.293
1,1.945071978134596,40.76967000000003,72.23015,16.5,8.407800000000002,5,27,4,0.243
4,3.429619129819451,48.2148584870605,68.01053073299998,9.7,8.005500000000001,7,27,4,0.37
4,10.55498413132694,109.7096596614362,70.47662691099998,1.1,7.878200000000001,7,27,4,0.45
2,1.600055591679602,49.67930962877031,67.083902445,27.6,8.404335099999997,9,27,4,0.49
2,2.052572523400631,42.24108200000001,69.16357691100004,15.9,8.587500000000007,9,27,4,0.64
3,2.340950466666667,35.39535431999998,71.7,14.0,7.55,3,27,4,0.142
3,2.110262290067298,55.81273450580047,77.9,16.0,8.7,3,27,4,0.692
3,2.537012033333333,56.40870991461716,79.60000000000001,14.0,7.43,3,27,4,0.1354
3,2.520440266666667,54.09200775870068,78.8,15.0,8.2,3,27,4,0.512
3,2.349850466666667,36.19426431999999,71.7,14.0,7.55,3,27,4,0.177143
1,2.102319490067298,55.95153450580048,77.9,16.0,8.7,5,27,4,0.864643
2,1.129394193548386,45.15684560216009,61.1196911,45.73283859,8.700322100000001,9,27,4,0.24
2,1.094549999999999,45.49517656612528,61.1196911,45.73283859,8.029766300000004,9,27,4,0.166667
2,1.061999999999999,49.1061951276102,61.1196911,45.73283859,7.9837663,9,27,4,0.533333
1,2.020595497786232,45.29746372062179,56.99999999999999,25.35699279409999,5.9,5,27,4,0.763
0,1.953652916146291,42.67959,71.54517691100001,16.6911889913,8.409600000000001,1,27,4,0.5837184
1,1.596672949000001,38.32088,66.33926602099997,22.0299561305,8.286905300000003,2,27,4,0.81
1,1.807839288089657,53.81223507408586,58.98586060099998,24.88111396619999,7.638382200000003,5,27,4,0.34
1,1.939727869410057,52.53789335681672,60.52201214299998,24.75109301639999,7.371591199999998,5,27,4,0.168
1,1.589053736733965,30.6454317865429,66.15062999999996,23.27934779839999,7.090416500000004,5,27,4,0.437
0,1.860659700103449,46.93295568445474,64.45021,23.8031295273,7.134600000000005,1,27,4,0.239
1,1.706522591537933,42.63571408967517,58.56070276866665,25.2713832593,7.605281799999999,5,27,4,0.33
1,1.805884644717621,42.43221822396984,60.5341316873333,26.5940426778,7.304526899999998,5,27,4,0.178
3,1.859882575201893,45.09970854988399,68.0,18.26299752250279,8.1,3,27,4,0.1
3,1.851021777201894,45.38347177494199,68.0,18.53429547411899,8.1,3,27,4,0.19
2,1.627669102837413,45.65442935034804,70.0,27.21518987,8.413299999999998,9,27,4,0.227271
1,1.672868674093259,38.32527192575403,71.6689404,26.1,6.5,5,27,4,0.487
1,1.58916870471156,40.62091879350346,60.81438333333332,27.8918,7.443651700000004,5,27,4,0.112
1,1.209983476215424,38.50495336426914,58.43648322600001,31.535057885,7.485899999999997,5,27,4,0.94
3,3.136499238011697,57.63553406774943,64.1,15.0,8.6,3,27,4,1.24932
3,1.93902570746793,48.63280999999998,65.2,18.0,8.5,3,27,4,0.652384
3,1.746728479551725,46.81319999999999,63.7,21.0,8.3,3,27,4,0.1525568
3,1.746039471201894,35.94349064965198,71.3,18.0,8.5,3,27,4,1.46976
3,1.539086739,49.3241,70.6,21.0,8.3,3,27,4,0.2672264
3,2.940102766666668,49.92088997262183,70.8,15.0,8.7,3,27,4,0.575594
3,1.521131949,40.64224125290024,75.7,21.0,8.4,3,27,4,0.848124
3,3.139144433333334,67.0719317986079,76.8,15.0,8.6,3,27,4,0.622496
3,1.761788268201893,47.95800387470997,74.0,18.0,8.6,3,27,4,0.4953173
0,1.773829758733965,41.04954037122969,65.0,21.0,7.1,1,27,4,0.1168
0,1.753971800310117,45.63900520881669,65.0,21.7,7.3,1,27,4,0.348
0,1.817141802310117,47.46613874709977,65.0,22.8,7.4,1,27,4,0.348
3,1.806301869733965,47.59266646171695,65.0,20.5,7.2,3,27,4,0.376
3,1.903168271479625,35.68215500000002,69.831,16.6,7.5461275,8,3,4,0.12676
3,1.899372751479625,36.67274500000002,69.831,16.6,7.713700000000002,8,3,4,0.579245
3,1.891115071479625,45.98763499999998,69.831,16.6,7.677177500000003,8,3,4,0.422366
3,1.900028561479625,36.77984500000002,69.831,16.6,7.5931,8,3,4,0.41298
1,1.866840004687787,55.94802410850122,65.03715044039971,27.12254902,7.88,5,27,4,0.34
4,1.630115882426386,47.56076542923436,55.00000000000001,30.83333333,7.02,7,27,4,0.14
4,1.619503685874662,48.41048422273785,55.00000000000001,30.83333333,7.02,7,27,4,0.12
0,2.776798233333334,40.34930169,57.99999999999999,12.72727273,5.95,1,27,4,0.73
0,2.776798233333334,42.25466847000001,57.99999999999999,12.72727273,5.95,1,27,4,0.83
3,1.925854356000001,96.22154499999996,69.19999999999999,19.5,8.6,3,21,4,0.06
3,8.455836773733967,160.8386313001604,71.0,21.2,9.2,3,22,4,0.05
3,1.868634398,88.70554499999997,70.3,19.6,7.5,3,23,4,0.02
3,1.90891476918851,38.99379531322507,71.8,19.5,8.4,3,24,4,0.03
0,3.195126133333333,51.04792599102442,63.92792691100001,11.5239567718,8.261700000000005,1,27,4,0.446
1,1.976694366733965,37.16557500000003,66.5,16.31243012159999,7.494566666666669,5,27,4,0.12
1,1.736261735201894,43.52721854988399,66.5,17.97326186349999,7.644016666666675,5,27,4,0.25
1,1.993678866733965,38.91364500000003,66.5,16.37380616739999,7.610700000000004,5,27,4,0.7
3,1.890255213745662,46.57980999999998,65.0,18.0,8.545766666666673,3,27,4,0.5589391
3,1.995417850733966,39.84696000000002,65.0,18.0,8.434100000000003,3,27,4,0.712269
3,1.923959309745661,43.47218000000001,65.0,18.0,8.50036666666667,3,27,4,0.1493778
3,1.673704105929168,44.73811788562409,55.00000000000001,26.0,8.758000000000003,3,27,4,0.17
2,1.200730477196884,38.5902859733898,50.0,32.0,7.396099999999995,9,27,4,0.838235
2,1.749517098391815,45.99087283649887,50.0,30.0,7.326599999999996,9,27,4,0.727259
2,1.708986835448858,45.55517738870303,50.0,28.0,7.660499999999996,9,27,4,0.123882
5,6.6,92.4,71.7,14.000000000000002,7.55,10,27,4,0.66
5,6.39,89.46,79.6,14.0,7.43,10,27,4,0.639
5,6.69,107.04,77.9,16.0,8.7,10,27,4,0.669
5,6.31,94.65,78.8,15.000000000000004,8.2,10,27,4,0.631
5,5.77,77.9,82.16,13.500866551126519,9.4,10,27,4,0.922
5,4.36,71.0,82.36,16.284403669724767,9.8,10,27,4,0.88
5,11.58,114.6,69.94,9.896373056994818,9.6,10,27,4,0.6
5,-1.0,-1.0,74.2,-1.0,-1.0,10,27,4,0.114
3,8.8,160.3,62.3,18.21590909090909,-1.0,0,13,4,0.13
3,6.9,149.5,64.2,21.666666666666664,-1.0,0,13,4,0.12
3,7.8,153.5,64.17,19.67948717948718,-1.0,0,13,4,0.3
3,8.7,153.8,63.96,17.678160919540232,-1.0,0,13,4,0.13
5,4.32,115.2,76.0,26.666666666666664,-1.0,10,27,4,1.29
5,4.32,115.3,76.0,26.689814814814813,-1.0,10,27,4,0.753
3,7.96,132.2,60.0,16.60804020100502,8.35,0,13,4,0.892
3,5.0,180.67,59.6,36.134,6.99,0,14,4,0.893
5,7.5,157.8,60.55,21.040000000000003,-1.0,10,27,4,0.144
5,7.5,157.8,60.55,21.040000000000003,-1.0,10,27,4,0.155
5,7.5,157.8,60.55,21.040000000000003,-1.0,10,27,4,0.146
5,7.5,157.8,60.55,21.040000000000003,-1.0,10,27,4,0.146
5,7.5,157.8,60.55,21.040000000000003,-1.0,10,27,4,0.152
3,-1.0,-1.0,80.0,23.06666667,-1.0,3,27,4,0.44
3,-1.0,-1.0,72.0,24.43333333,-1.0,3,27,4,1.564
3,9.79,185.0,61.9,18.89683350357508,8.0,0,13,4,0.7
3,8.01,153.0,58.3,19.10112359550562,8.2,0,13,4,0.3
3,10.0,163.0,66.1,16.3,8.6,0,27,4,0.17
3,9.1,132.0,70.0,14.505494505494505,8.6,0,27,4,0.11
5,2.845139718825504,56.407650761498424,50.4,26.30288166768854,8.94,10,27,4,0.282
5,2.845139718825504,56.407650761498424,55.1,23.30210772833724,8.79,10,27,4,0.292
5,8.31,107.24,65.03715044039971,12.904933814681106,-1.0,10,27,4,0.574
5,8.78,105.3,65.03715044039971,11.993166287015946,-1.0,10,27,4,0.568
5,11.12,117.88,65.03715044039971,10.600719424460431,-1.0,10,27,4,0.448
5,2.845139718825504,56.407650761498424,50.8,30.700000000000003,8.54,10,27,4,0.6
5,2.845139718825504,56.407650761498424,50.8,30.700000000000003,8.54,10,27,4,0.27
3,2.845139718825504,56.407650761498424,70.5,19.300225733634313,7.6,0,21,4,0.473
3,2.845139718825504,56.407650761498424,70.5,19.300225733634313,7.6,0,21,4,0.68
5,4.03,48.99,88.5,12.156327543424316,6.8,10,27,4,0.7
5,4.03,48.99,88.5,12.156327543424316,6.8,10,27,4,0.4
5,4.0,48.99,88.5,12.247499999999999,6.9,10,27,4,0.1
5,4.0,48.99,88.5,12.247499999999999,6.9,10,27,4,0.5
