material_0,initial TN(%),initial TC(%),initial moisture content(%),initial CN(%),initial pH,material_1,Excipients_1,Additive Species,NH3-N loss  (%)
3,2.1,37.4,-1.0,-1.0,-1.0,9,4,2,24.6
3,2.07,36.9,63.0,17.8,8.6,9,4,4,14.49
3,2.07,36.9,63.0,17.8,8.6,9,4,4,14.49
3,2.07,36.9,63.0,17.8,8.6,9,4,4,11.110000000000001
3,2.36,34.8,64.1,14.7,-1.0,9,5,4,13.9
3,2.06,38.0,71.3,18.4,-1.0,9,5,4,12.7
3,1.93,40.9,75.7,21.2,-1.0,9,5,4,9.6
3,2.08,38.0,65.2,18.3,-1.0,9,5,4,18.7
3,1.9,40.1,70.6,21.1,-1.0,9,5,4,16.9
3,2.37,35.3,76.8,14.9,-1.0,9,5,4,27.7
3,1.9,39.4,63.7,20.7,-1.0,9,5,4,20.6
3,2.35,35.2,70.8,15.0,-1.0,9,5,4,32.4
3,2.09,37.6,74.0,18.0,-1.0,9,5,4,24.9
3,2.36,34.8,64.1,14.7,-1.0,9,5,4,13.9
3,2.06,38.0,71.3,18.4,-1.0,9,5,4,12.7
3,1.93,40.9,75.7,21.2,-1.0,9,5,4,9.6
3,2.08,38.0,65.2,18.3,-1.0,9,5,4,18.7
3,1.9,40.1,70.6,21.1,-1.0,9,5,4,16.9
3,2.37,35.3,76.8,14.9,-1.0,9,5,4,27.7
3,1.9,39.4,63.7,20.7,-1.0,9,5,4,20.6
3,2.35,35.2,70.8,15.0,-1.0,9,5,4,32.4
3,2.09,37.6,74.0,18.0,-1.0,9,5,4,24.9
3,1.084689387096774,41.68833944315543,71.66,22.351348664737735,9.19,0,53,4,5.37
3,2.014258931331036,109.5648143985244,75.16000000000001,35.45,8.0,0,53,4,2.589
3,1.815557998100111,34.88742000000001,60.0,26.03,7.25,7,8,4,21.77
3,1.821698998100112,36.37376500000001,65.7,20.0,8.6,9,4,4,13.58
3,1.830004298100112,35.77165500000001,65.7,20.0,8.6,9,4,4,12.93
3,2.654226884419754,35.03935215807424,65.7,20.0,8.6,9,4,4,12.35
3,1.961381895,41.93885999999998,69.47,13.16,7.13,9,4,4,23.810000000000002
3,1.872139878103448,40.49142547563805,66.0,21.9,-1.0,0,25,4,12.590000000000002
3,1.870833758103448,40.38722547563805,66.0,21.9,-1.0,0,25,4,16.16
3,2.193934385080452,37.51888000000002,66.0,21.9,-1.0,0,25,4,17.44
3,2.207793288922557,37.8937454060325,64.0,17.4,7.4,9,4,4,29.5
3,2.18327471846546,37.40829000000002,64.0,17.4,7.4,9,4,4,27.900000000000002
3,1.911524156551724,42.58870555029236,64.0,17.4,7.4,9,4,4,12.8
3,2.525962500000001,104.1240172,60.0,15.39,6.54,9,13,4,4.51
