material_0,initial TN(%),initial TC(%),initial moisture content(%),initial CN(%),initial pH,material_1,Excipients_1,Additive Species,N2O-N loss  (%)
3,1.32,43.49187935034803,62.30699999999998,32.94839344723335,7.487099999999999,0,9,4,3.849057095113923
0,2.4,40.7,69.0,16.95833333333334,7.580647899999998,10,7,4,1.887896605326714
0,2.4,40.7,63.0,16.95833333333334,7.382253399999999,10,7,3,1.755036799999998
0,1.87,41.9,63.0,22.40641711229946,7.652439699999998,10,7,3,0.6770433600000004
0,1.97,49.0,58.0,24.87309644670051,7.218014300000004,10,7,3,0.9134110890000002
0,1.99,41.4,70.0,20.80402010050251,7.691427199999997,10,7,3,1.033788755920156
0,2.4,40.7,62.0,16.95833333333334,7.308101899999998,10,7,3,1.900059199999998
0,2.09,41.4,61.0,19.80861244019139,7.6014139,10,7,3,0.5980560966923079
0,2.15,45.4,57.0,21.11627906976744,7.609300499999997,10,7,3,0.7633927200000008
0,2.37,40.5,64.0,17.08860759493671,7.4330296,10,7,3,2.010081867692306
3,1.65,43.0,83.0,16.5,8.45,0,1,4,0.0134
3,1.65,43.0,83.0,16.5,8.45,0,1,4,0.013900000000000001
3,4.6,35.2,71.0,6.1,6.8,6,1,4,0.02552
3,4.61,35.2,71.0,6.1,6.8,6,1,4,0.0283
3,3.42,48.7,65.0,12.2,6.95,6,1,3,0.0275
3,3.42,48.7,65.0,12.2,6.95,6,1,3,0.0286
1,-1.0,-1.0,66.9,31.8,5.6,10,35,4,7.0
1,-1.0,-1.0,57.58,31.5,6.6,10,3,4,2.0
1,-1.0,-1.0,57.78,32.5,6.5,10,21,4,1.0
1,-1.0,-1.0,58.599999999999994,22.5,6.2,10,23,4,2.0
3,2.17,38.76,65.9,17.86,7.8,8,3,4,3.1
3,1.96,36.72,-1.0,-1.0,-1.0,8,3,1,3.2
3,2.06,36.53,-1.0,-1.0,-1.0,8,3,2,2.0
3,2.1,37.4,-1.0,-1.0,-1.0,8,3,2,2.0
3,2.07,36.9,63.0,17.8,8.6,8,3,4,0.1884
3,2.07,36.9,63.0,17.8,8.6,8,3,4,0.18359999999999999
3,2.07,36.9,63.0,17.8,8.6,8,3,4,1.405
3,2.36,34.8,64.1,14.7,-1.0,8,4,4,1.6
3,2.06,38.0,71.3,18.4,-1.0,8,4,4,1.5
3,1.93,40.9,75.7,21.2,-1.0,8,4,4,2.1
3,2.08,38.0,65.2,18.3,-1.0,8,4,4,4.2
3,1.9,40.1,70.6,21.1,-1.0,8,4,4,5.0
3,2.37,35.3,76.8,14.9,-1.0,8,4,4,3.8
3,1.9,39.4,63.7,20.7,-1.0,8,4,4,5.3
3,2.35,35.2,70.8,15.0,-1.0,8,4,4,7.3
3,2.09,37.6,74.0,18.0,-1.0,8,4,4,5.2
3,2.36,34.8,64.1,14.7,-1.0,8,4,4,1.6
3,2.06,38.0,71.3,18.4,-1.0,8,4,4,1.5
3,1.93,40.9,75.7,21.2,-1.0,8,4,4,2.1
3,2.08,38.0,65.2,18.3,-1.0,8,4,4,4.2
3,1.9,40.1,70.6,21.1,-1.0,8,4,4,5.0
3,2.37,35.3,76.8,14.9,-1.0,8,4,4,3.8
3,1.9,39.4,63.7,20.7,-1.0,8,4,4,5.3
3,2.35,35.2,70.8,15.0,-1.0,8,4,4,7.3
3,2.09,37.6,74.0,18.0,-1.0,8,4,4,5.2
3,1.821698998100112,36.37376500000001,65.7,20.0,8.6,8,3,4,7.79
3,1.830004298100112,35.77165500000001,65.7,20.0,8.6,8,3,4,8.84
3,2.654226884419754,35.03935215807424,65.7,20.0,8.6,8,3,4,8.59
3,1.961381895,41.93885999999998,69.47,13.16,7.13,8,3,4,0.54
3,1.872139878103448,40.49142547563805,66.0,21.9,-1.0,0,20,4,3.29
3,1.870833758103448,40.38722547563805,66.0,21.9,-1.0,0,20,4,3.8600000000000003
3,2.193934385080452,37.51888000000002,66.0,21.9,-1.0,0,20,4,4.62
3,2.207793288922557,37.8937454060325,64.0,17.4,7.4,8,3,4,0.8099999999999999
3,2.18327471846546,37.40829000000002,64.0,17.4,7.4,8,3,4,1.05
3,1.911524156551724,42.58870555029236,64.0,17.4,7.4,8,3,4,3.93
4,2.083591210000001,40.90028004640371,68.07,25.38,7.57,10,3,4,1.11
4,2.604162500000001,105.5850172,68.53,24.32,6.95,10,20,4,1.37
3,2.525962500000001,104.1240172,60.0,15.39,6.54,8,12,4,0.0397
3,3.300718153477851,105.9205693076923,60.0,15.39,6.54,8,12,4,0.0169
4,3.292418595005085,104.4046382000001,64.83,7.73,8.25,10,12,4,0.018000000000000002
4,2.445529166666669,30.90866671,57.48,8.54,8.22,10,12,4,0.006600000000000001
4,2.026948818733965,38.93168490719259,72.1,11.37,7.78,10,3,4,0.5
3,2.226265840778045,44.60722505800465,67.7,18.99,-1.0,8,3,4,1.0
3,0.9968841935483864,45.29815150812065,60.0,25.0,6.5,6,29,4,2.0500000000000003
4,2.142323150057043,47.35519466357311,65.0,47.48,7.2,10,29,4,1.92
3,2.117300889565703,37.18338200000002,60.0,25.0,7.7,8,29,4,0.79
3,2.173219160267505,37.29957547563808,74.0,-1.0,7.9,0,19,4,0.1
3,2.210663524812959,37.97062531322506,74.0,-1.0,7.9,0,19,4,0.06
3,1.524620471753617,31.12977276102088,74.0,-1.0,7.9,0,19,4,0.06
3,2.026113567497537,38.23992846171696,66.7,-1.0,-1.0,0,19,4,0.09
3,2.138165653733965,50.15742068445478,66.7,-1.0,-1.0,0,19,4,0.06999999999999999
3,2.151105515489805,42.94369848027844,65.0,20.0,7.1,6,26,4,1.105
3,2.218666125913735,43.32290308584688,65.0,20.0,7.1,6,26,4,0.42300000000000004
3,4.382967487460104,61.3195276500802,65.0,20.0,7.1,6,26,4,0.268
3,4.361819485074892,54.05477671315713,77.53,6.53,6.2,8,35,4,0.02
3,3.175467652320319,38.616286459486,66.71000000000001,6.81,7.01,8,12,4,1.0999999999999999
3,4.126415514398965,50.71793434410016,66.36,9.22,7.41,8,12,4,1.2
3,3.974248847732298,50.14637846153725,67.67999999999999,7.35,7.59,8,13,4,0.004
3,2.043140309275499,41.84695255220419,66.25999999999999,7.24,8.04,8,14,4,0.033
