Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),N2O-N loss (%)
7,0,1,35.0,0,35.0,0.0,5,0.0,5,0.06,0.2,72.1,11.37,2.68,0,30.45,4,0.667,0.5
8,0,1,56.0,0,0.0,0.0,7,0.0,5,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,4,0.475,1.0
8,0,1,56.0,0,0.0,0.0,7,3.3,5,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,26,0.475,0.79
8,0,1,56.0,0,0.0,0.0,7,6.6,5,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,26,0.475,0.74
8,0,1,56.0,0,0.0,0.0,7,9.9,5,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,26,0.475,0.68
8,0,1,56.0,0,0.0,0.0,7,13.2,5,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,26,0.475,0.86
6,0,1,28.0,0,0.0,0.0,8,0.0,5,0.13,0.0,61.4561,30.8801,1.667,0,51.47713,4,0.5,2.05
6,0,1,28.0,0,0.0,0.0,8,2.0,5,0.13,0.0,60.661,30.0375,1.668,0,50.10255,9,0.5,2.01
6,0,1,28.0,0,0.0,0.0,8,4.0,5,0.13,0.0,59.7109,30.3496,1.613,0,48.9539,9,0.5,1.53
6,0,1,28.0,0,0.0,0.0,8,6.0,5,0.13,0.0,60.4548,30.568,1.562,0,47.74722,9,0.5,1.42
6,0,1,28.0,0,0.0,0.0,8,8.0,5,0.13,0.0,60.0684,30.8801,1.563,0,48.2656,9,0.5,1.24
6,0,1,28.0,0,0.0,0.0,8,10.0,5,0.13,0.0,59.4546,31.0362,1.555,0,48.26129,9,0.5,0.75
0,1,0,64.0,0,0.0,0.0,11,0.0,5,1.0,0.0,74.0,23.86538,2.23336,0,45.63272,4,0.1715,0.1
0,1,1,64.0,0,0.0,0.0,11,0.0,5,1.0,0.0,74.0,25.17538,2.28344,0,45.63272,4,0.1715,0.11
0,1,1,64.0,0,0.0,0.0,11,0.0,5,1.0,0.0,74.0,23.86538,2.23179,0,45.63272,4,0.1715,0.06
0,1,1,64.0,0,64.0,0.0,11,0.0,5,1.0,1.157,74.0,20.0,2.11755,0,38.19339,4,0.1715,0.06
6,0,1,25.0,5,25.0,30.0,0,0.0,5,0.06,0.08242,60.0,19.76844,2.23049,1,44.09341,4,0.30333,0.69491
6,0,1,25.0,5,25.0,30.0,0,0.0,5,0.06,0.82645,60.0,20.12346,2.2314,1,44.90358,4,0.3025,0.26553
6,0,1,25.0,5,25.0,30.0,0,0.0,5,0.06,1.64384,60.0,20.01965,2.23068,1,44.65753,4,0.30417,0.16811
8,1,0,109.6,0,0.0,0.0,0,0.0,5,0.4,0.0,77.53,6.53,1.635,0,33.44224,4,1.105,0.02
8,1,0,109.6,0,0.0,0.0,0,0.0,0,0.4,0.0,66.71,6.81,1.575,0,33.03228,4,0.89,1.1
