Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TN loss (%)
0,1,0,50.0,0,0.0,0.0,9,25.49,0,0.06,0.0,60.1,10.8
10,0,1,28.0,0,28.0,0.0,4,0.0,12,0.06,0.36,62.06,20.29
10,0,1,28.0,0,28.0,0.0,4,10.0,12,0.06,0.36,58.69,13.03
8,0,1,56.0,0,56.0,0.0,11,10.0,11,0.1,0.72783,55.0,28.8
8,0,1,56.0,0,56.0,0.0,11,10.0,11,0.1,0.72783,55.0,28.3
8,0,1,56.0,0,56.0,0.0,11,10.0,11,0.1,0.72783,55.0,28.42
3,0,1,30.0,4,30.0,40.0,4,0.0,11,0.06,0.51157,53.59,31.94
3,0,1,30.0,4,30.0,40.0,4,0.0,11,0.06,6.69609,61.283,24.55
3,0,1,30.0,4,30.0,40.0,4,0.0,11,0.06,6.57073,61.283,22.86
3,0,1,30.0,4,30.0,40.0,4,0.0,11,0.06,6.57073,61.283,32.13
10,0,1,35.0,5,35.0,30.0,2,0.0,11,0.06,0.38,67.6,32.01
10,0,1,35.0,5,35.0,30.0,2,0.408,11,0.06,0.38,59.65,20.32
10,0,1,35.0,5,35.0,30.0,2,0.408,11,0.06,0.38,59.65,33.29
10,0,1,35.0,5,35.0,30.0,2,0.408,11,0.06,0.38,59.65,19.58
10,0,1,28.0,0,28.0,0.0,5,0.0,11,0.06,0.48,57.54093,31.5
10,0,1,28.0,0,28.0,0.0,5,2.44988,11,0.06,0.48,61.3055,15.82
10,0,1,28.0,0,28.0,0.0,5,2.45195,11,0.06,0.48,61.3055,27.47
10,0,1,28.0,0,28.0,0.0,5,4.35435,11,0.06,0.48,62.6171,32.42
7,0,1,21.0,9,21.0,10.0,0,0.0,0,0.1,0.2,59.363,23.4
7,0,1,21.0,9,21.0,10.0,0,0.25,0,0.1,0.2,59.363,13.05
7,0,1,21.0,9,21.0,10.0,0,5.25,0,0.1,0.2,57.516,6.82
7,0,1,21.0,9,21.0,10.0,0,5.0,0,0.1,0.2,57.516,16.78
7,0,1,42.0,0,42.0,0.0,2,0.0,11,0.165,0.0702,53.8,48.7
7,0,1,42.0,0,42.0,0.0,2,10.8,11,0.165,0.06533,49.3,41.9
7,0,1,42.0,0,42.0,0.0,2,21.6,11,0.165,0.07023,50.2,38.3
8,0,1,34.0,0,34.0,0.0,6,0.0,11,0.06,0.27211,65.0,37.08
8,0,1,34.0,0,34.0,0.0,6,10.0,11,0.06,0.26291,65.0,28.22
8,0,1,34.0,0,34.0,0.0,6,10.28571,11,0.06,0.26265,65.0,26.16
8,0,1,34.0,0,34.0,0.0,6,14.57143,11,0.06,0.2589,65.0,24.0
10,0,1,35.0,0,0.0,0.0,6,0.0,11,0.06,0.25,69.2,37.5
10,0,1,35.0,0,0.0,0.0,6,10.9,11,0.06,0.25,62.673,18.8
10,0,1,35.0,0,0.0,0.0,6,4.0,11,0.06,0.25,62.91953,24.8
10,0,1,35.0,0,0.0,0.0,6,10.9,11,0.06,0.25,62.673,15.5
8,0,1,43.4613,11,23.19054,3.90898,0,4.45139,7,1.00714,0.74405,63.94368,33.4
8,0,1,43.4613,11,23.19054,3.90898,0,4.45139,11,1.00714,0.74405,63.94368,18.5
8,0,1,43.4613,11,23.19054,3.90898,0,4.45139,7,1.00714,0.74405,63.94368,13.8
7,0,1,43.4613,0,23.19054,3.90898,9,4.45139,11,1.00714,0.74405,63.94368,41.19
7,0,1,50.0,0,50.3,6.525,9,2.0,11,0.1,3.31758,60.0,38.64
7,0,1,50.0,0,45.5,9.025,9,4.0,11,0.1,3.75117,60.0,31.45
7,0,1,50.0,0,35.3,6.525,9,6.0,11,0.1,3.75058,60.0,25.78
7,0,1,50.0,0,50.3,3.525,9,8.0,11,0.1,1.99558,60.0,18.48
7,0,1,50.0,0,50.3,3.525,9,10.0,11,0.1,1.40558,60.0,12.39
10,0,1,50.0,0,50.0,0.0,9,0.0,11,0.1,0.3,55.0,3.27626
10,0,1,50.0,0,50.0,0.0,9,10.0,11,0.1,0.3,62.41946,1.86454
10,0,1,50.0,0,50.0,0.0,9,20.0,11,0.1,0.3,59.73189,1.06012
10,0,1,50.0,0,50.0,0.0,9,20.5,11,0.1,0.3,59.73189,1.0175
10,0,1,50.0,0,50.0,0.0,9,21.0,11,0.1,0.3,59.73189,0.84703
10,0,1,50.0,0,50.0,0.0,9,22.0,11,0.1,0.3,59.73189,0.75114
8,0,1,34.0,0,34.0,0.0,7,0.0,7,0.005,0.03367,67.6,20.9
8,0,1,34.0,0,34.0,0.0,7,7.73359,7,0.005,0.03367,67.3,14.7
8,0,1,34.0,0,34.0,0.0,7,7.12828,7,0.005,0.03367,66.8,17.3
8,0,1,34.0,0,34.0,0.0,7,6.05043,7,0.005,0.03367,66.0,5.7
10,2,0,52.0,0,0.0,0.0,13,0.0,11,2.386,0.0,65.0,22.64
10,2,0,52.0,0,0.0,0.0,13,23.0,11,2.374,0.0,65.0,15.38
10,2,0,43.4613,0,23.19054,3.90898,13,4.45139,11,1.00714,0.74405,63.94368,8.88
10,2,0,43.4613,0,23.19054,3.90898,13,4.45139,11,1.00714,0.74405,63.94368,11.28
7,0,1,91.0,0,0.0,0.0,13,0.0,11,0.25,0.0,60.0,38.7288
7,0,1,91.0,0,17.6,0.0,13,12.5,11,0.25,0.01275,60.0,30.5921
