Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Final GI (%)
5,2,0,21.0,0,0.0,0.0,14,0.0,0,2.0,0.0,60.0,83.2288
5,2,0,21.0,0,0.0,0.0,14,7.75,0,2.0,0.0,60.0,90.7011
5,2,0,21.0,0,0.0,0.0,14,7.75,0,2.0,0.0,60.0,89.0959
5,2,0,21.0,0,0.0,0.0,14,7.75,0,2.0,0.0,60.0,94.5756
5,2,0,21.0,0,0.0,0.0,14,7.75,0,2.0,0.0,60.0,89.1513
5,2,0,21.0,0,0.0,0.0,14,7.75,0,2.0,0.0,60.0,85.941
5,2,0,21.0,0,0.0,0.0,14,7.75,0,2.0,0.0,60.0,86.2731
5,2,0,21.0,0,0.0,0.0,14,7.75,0,2.0,0.0,60.0,84.059
8,1,0,70.0,0,0.0,0.0,15,0.0,5,9.56,0.0,65.7,116.483
8,1,1,70.0,0,0.0,0.0,15,0.0,5,9.56,0.0,65.7,94.5508
8,1,0,70.0,0,0.0,0.0,10,0.0,5,9.56,0.0,65.7,118.588
8,1,1,70.0,0,0.0,0.0,10,0.0,5,9.56,0.0,65.7,97.0069
8,1,0,70.0,0,0.0,0.0,0,0.0,5,9.56,0.0,65.7,54.0264
8,1,1,70.0,0,0.0,0.0,0,0.0,5,9.56,0.0,65.7,60.1649
8,1,0,70.0,0,0.0,0.0,10,0.0,5,1.2,0.0,64.0,85.2
8,1,1,70.0,0,0.0,0.0,10,0.0,5,1.2,0.0,64.0,80.6
8,1,0,70.0,0,0.0,0.0,5,0.0,5,1.2,0.0,64.0,73.5
8,1,1,70.0,0,0.0,0.0,5,0.0,5,1.2,0.0,64.0,70.5
8,1,0,70.0,0,0.0,0.0,0,0.0,5,1.2,0.0,64.0,67.4
8,1,1,70.0,0,0.0,0.0,0,0.0,5,1.2,0.0,64.0,65.6
6,0,1,35.0,0,35.0,0.0,5,0.0,5,0.06,0.2,72.1,97.4
8,0,1,56.0,0,0.0,0.0,7,0.0,5,1.2,0.0,67.6,121.3
8,0,1,56.0,0,0.0,0.0,7,3.3,5,1.2,0.0,67.6,102.0
8,0,1,56.0,0,0.0,0.0,7,6.6,5,1.2,0.0,67.6,112.2
8,0,1,56.0,0,0.0,0.0,7,9.9,5,1.2,0.0,67.6,121.4
8,0,1,56.0,0,0.0,0.0,7,13.2,5,1.2,0.0,67.6,82.5
5,0,1,28.0,0,0.0,0.0,9,0.0,5,0.13,0.0,61.4561,121.0
5,0,1,28.0,0,0.0,0.0,9,2.0,5,0.13,0.0,60.661,127.0
0,1,0,64.0,0,0.0,0.0,12,0.0,5,1.0,0.0,74.0,65.9
0,1,1,64.0,0,0.0,0.0,12,0.0,5,1.0,0.0,74.0,84.8
0,1,1,64.0,0,0.0,0.0,12,0.0,5,1.0,0.0,74.0,110.4
0,1,1,64.0,0,64.0,0.0,12,0.0,5,1.0,1.157,74.0,117.9
5,0,1,25.0,5,25.0,30.0,0,0.0,5,0.06,0.82645,60.0,97.0
5,0,1,25.0,5,25.0,30.0,0,0.0,5,0.06,1.64384,60.0,106.28
8,0,1,28.0,5,28.0,30.0,2,0.0,5,0.07122,0.8589,60.0,75.0
8,0,1,28.0,5,28.0,30.0,2,0.0,5,0.07122,0.92562,60.0,88.5
8,0,1,28.0,5,28.0,30.0,2,0.0,5,0.07122,0.90323,60.0,116.05
