Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TC loss (%)
8,0,1,28.0,5,28.0,30.0,2,0.0,8,0.07122,0.90323,60.0,67.74
2,0,1,28.0,6,28.0,30.0,3,0.0,8,0.06,1.20727,66.9,52.8
2,0,1,28.0,6,28.0,30.0,3,0.0,0,0.06,0.96434,58.6,59.4
2,0,1,28.0,6,28.0,30.0,3,0.0,0,0.06,0.85547,53.1,62.5
2,0,1,28.0,6,28.0,30.0,3,0.0,0,0.06,0.76023,47.5,60.1
1,1,1,40.0,0,0.0,0.0,8,0.0,8,0.2,0.0,65.0,55.81
1,1,1,40.0,0,0.0,0.0,8,1.0,8,0.2,0.0,65.0,54.13
1,1,1,40.0,0,0.0,0.0,8,5.0,8,0.2,0.0,65.0,52.5
1,1,1,40.0,0,0.0,0.0,8,6.0,8,0.2,0.0,65.0,48.48
5,0,1,30.0,7,30.0,10.0,3,0.0,8,0.1,0.00833,60.0,28.4
5,0,1,30.0,7,30.0,10.0,3,10.0,8,0.1,0.00833,60.0,29.3
5,0,1,30.0,7,30.0,10.0,3,10.0,8,0.1,0.00833,60.0,37.1
0,0,1,20.0,0,20.0,0.0,0,0.0,8,0.06,0.21,60.22,51.26
0,0,1,20.0,2,20.0,10.0,0,0.0,8,0.06,0.42,60.22,47.55
0,0,1,20.0,3,20.0,5.0,0,0.0,8,0.06,0.84,60.22,49.66
8,0,1,42.0,0,42.0,0.0,0,0.0,5,0.336,0.35,60.0,15.15
8,0,1,42.0,0,42.0,0.0,0,2.5,5,0.604,0.35,60.0,16.12
8,0,1,42.0,0,42.0,0.0,0,5.0,5,0.6,0.35,60.0,16.94
8,0,1,42.0,0,42.0,0.0,0,10.0,5,0.34,0.35,60.0,20.46
8,0,1,42.0,0,42.0,0.0,0,15.0,5,0.068,0.35,60.0,19.19
8,0,1,42.0,0,42.0,0.0,0,20.0,5,0.08,0.35,60.0,19.79
5,1,0,30.0,0,0.0,0.0,9,0.0,8,0.1458,0.0,62.04961,22.39
5,1,0,30.0,0,0.0,0.0,9,0.0,8,0.1458,0.0,62.04961,21.38
5,1,0,30.0,0,0.0,0.0,9,0.0,8,0.1458,0.0,62.04961,21.49
8,0,1,56.0,0,0.0,0.0,8,0.0,8,0.1,0.0,65.01262,51.47
8,0,1,56.0,0,0.0,0.0,8,15.0,8,0.1,0.0,61.16171,64.64
8,0,1,56.0,0,0.0,0.0,8,10.0,8,0.1,0.0,61.16171,63.1
8,0,1,56.0,0,0.0,0.0,8,25.0,8,0.1,0.0,60.51,68.47
0,0,1,21.0,0,21.0,0.0,0,0.0,8,0.06,0.21,55.0,32.42
0,0,1,43.4613,0,23.19054,3.90898,0,4.45139,8,1.00714,0.74405,63.94368,23.55
0,0,1,43.4613,0,23.19054,3.90898,0,4.45139,8,1.00714,0.74405,63.94368,19.67
0,0,1,31.0,0,31.0,0.0,2,0.0,8,0.06,0.09384,65.4,48.8
0,0,1,31.0,0,31.0,0.0,2,0.0,8,0.06,0.15639,65.4,50.7
0,0,1,31.0,4,31.0,10.0,2,0.0,8,0.06,0.28151,65.4,53.1
8,0,1,48.0,0,48.0,0.0,0,0.0,3,0.045,0.3279,50.0,67.56
