 Composting Method,Initial pH,Period (d),Additive_1,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),V2_Ventilation Interval (min),Initial GI (%),Additive_4,M1_is Enclosed,Initial C/N (%),Additive_3,Material_2,Material_3,Initial Moisture Content (%),Material_Main,V1_Ventilation Type,V4_Ventilation Day,Additive_2,Turning times,Application Rate (%DW),V3_Ventilation Duration (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
Reactor,6.0,106.0,None,0.06,0.0,0.0,27.32884658064516,None,1.0,34.0,None,Green Waste,Byproduct,51.0,Food Waste,None,0.0,None,31.0,6.778242979710774,0.0,1.775,56.72138735821679,89.523839,3.644639067463058,0.2007547914981842,0.1925538073185018,1000000.0
Trough,5.0,74.0,Sodium salt,0.06,0.0,0.0,27.328846580645163,None,1.0,37.0,None,Straw,Mature compost,63.04086085117744,Food Waste,None,0.0,Ca-superphosphate,15.0,4.447435398936953,0.0,1.775,21.70593177888338,90.47645199999997,5.1265645822446455,0.5296850204467773,0.2026478530447991,1000000.0
Windrow,6.0,115.0,Sulfur,0.06,0.0,0.0,27.32884658064516,None,1.0,14.0,None,Sawdust,Straw,66.0,Food Waste,None,0.0,Calcium magnesium phosphate fertilizer,22.0,5.7622030730929135,0.0,1.775,20.72612183032933,89.67659099999997,6.615576074317807,0.5017935633659363,0.1349024420553248,1000000.0
Windrow,5.0,36.0,Labile carbon source,0.06,0.0,0.0,27.32884658064516,None,1.0,20.0,None,Plastic tube pieces,Byproduct,68.0,Food Waste,None,0.0,Inorganic acid,4.0,3.377180455992434,0.0,1.775,8.82851259569782,91.46240099999996,6.712237533486703,0.6929852366447449,0.2072209139378306,1000000.0
Windrow,7.0,124.0,K₂SO₄,0.06,0.0,0.0,27.32884658064516,None,0.0,45.08618222299409,None,Woody peat,Byproduct,76.4609050803168,Food Waste,None,0.0,Ca-superphosphate,15.0,4.126389064566127,0.0,1.775,80.02797344581451,88.49085000000001,7.117430882285744,0.8766209483146667,0.1670867785680019,19.792746782459787
Reactor,5.0,128.0,Sodium phosphates,0.06,1.2894854572007075,191.0,27.32884658064516,None,1.0,30.0,None,Green Waste,Mature compost,54.0,Food Waste,Intermittent ,3.0,Calcium magnesium phosphate fertilizer,27.0,5.873715766633498,48.03892787164374,1.775,25.004511056239995,88.340272,5.628743280305701,0.3807968199253082,0.1801535984423357,1000000.0
Trough,5.0,85.0,Gypsum,0.06,0.0,0.0,27.32884658064516,None,1.0,36.0,None,Woody peat,Straw,69.0,Food Waste,None,0.0,Calcium magnesium phosphate fertilizer,20.0,7.956902268137837,0.0,1.775,45.7213171730861,89.88203599999999,5.685827422533591,0.4689559638500213,0.1816162423562685,1000000.0
Trough,5.0,41.0,Forsterite,0.06,0.0,0.0,27.32884658064516,None,0.0,40.0,None,Sawdust,Green waste,70.0,Food Waste,None,0.0,Mg(OH)₂,0.0,7.281242128002492,0.0,1.775,32.58954994316728,90.035575,5.685827422533591,0.2786071300506592,0.1266956700148325,1000000.0
Windrow,6.0,119.0,Sodium salt,0.06,0.0,0.0,27.328846580645163,None,1.0,28.0,None,Plastic tube pieces,Green waste,68.0,Food Waste,None,0.0,Ca-superphosphate,15.0,9.28582512072581,0.0,1.775,54.2991275657772,89.44950099999998,6.0563132340288615,0.668224036693573,0.1814762826298414,1000000.0
Reactor,8.0,117.0,Labile carbon source,0.06,0.0,0.0,27.32884658064516,None,1.0,29.0,None,Plastic tube pieces,Poultry manure,56.0,Food Waste,None,0.0,Biochar,29.0,6.102669414762513,0.0,1.775,37.676465153756894,87.28376200000002,4.190419716113462,0.343199610710144,0.1860726485833335,1000000.0
Windrow,5.0,71.0,Lignite,0.06,0.0,0.0,27.328846580645163,None,1.0,27.0,None,Plastic tube pieces,Poultry manure,56.99091522152626,Food Waste,None,0.0,MgSO₄,1.0,8.953148919824153,0.0,1.775,26.26318539658277,88.83123500000002,6.210382725518763,0.5021606087684631,0.1823899758648816,1000000.0
Windrow,5.025207823230916,74.0,Sodium salt,0.06,0.0,0.0,27.32884658064516,None,0.0,37.0,None,Plastic tube pieces,Byproduct,50.0,Food Waste,None,0.0,None,13.0,6.265015540255839,0.0,1.775,68.39137277119646,89.17978799999999,3.764001021649188,0.3076744973659515,0.1408780958781876,1000000.0
Trough,5.0,115.0,Urea,0.06,0.0,0.0,27.32884658064516,None,0.0,14.0,None,Byproduct,None,50.0,Food Waste,None,0.0,Calcium magnesium phosphate fertilizer,12.0,8.593957952920546,0.0,1.775,70.01070290284792,88.53921299999998,2.7375909106960803,0.4915839731693268,0.1116821043261701,1000000.0
Windrow,7.0,27.0,Labile carbon source,0.06,0.7999682233933681,0.0,27.328846580645163,None,1.0,35.0,None,None,Straw,63.0,Food Waste,None,0.0,Calcium magnesium phosphate fertilizer,6.0,8.123296945935369,0.0,1.775,43.07757678776132,90.26168699999998,6.615576074317807,0.6306084990501404,0.2255651798650452,1000000.0
Reactor,7.0,100.0,Sodium salt,0.06,1.5314432518774996,0.0,27.32884658064516,None,1.0,27.0,None,Sawdust,Byproduct,66.0,Food Waste,Continuous,2.0,Organic acid,18.0,8.346480125471697,0.0,1.775,65.9832920869674,87.37559100000003,9.321901911478175,0.3942486941814422,0.2208524816350426,1000000.0
Trough,6.0,68.0,Calcium magnesium phosphate fertilizer,0.06,0.0,0.0,27.32884658064516,None,1.0,29.0,None,Soil,Byproduct,51.0,Food Waste,None,0.0,None,27.0,6.686378261575384,0.0,1.775,13.89315878510116,88.97266899999998,3.644639067463058,0.267193853855133,0.1878715054983206,1000000.0
Reactor,7.0,101.0,MgCl₂,0.06,0.5250335067661982,0.0,27.328846580645163,None,1.0,44.66005181613681,None,Green waste,Byproduct,54.462948578829625,Food Waste,Continuous,2.0,Biochar,28.0,2.008442615189672,0.0,1.775,79.27159197364283,89.94243599999999,7.788758861057126,0.5238989591598511,0.2508849569229798,20.960773297711064
