Additive_3,M1_is Enclosed,Initial GI (%),V1_Ventilation Type,Material_2,Turning times, Composting Method,Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Additive_4,Application Rate (%DW),Initial Moisture Content (%),Additive_2,Compost volume (m3),Material_3,Material_Main,Additive_1,Initial pH,V2_Ventilation Interval (min),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
None,1.0,27.32884658064516,None,Green Waste,1.0,Trough,63.0,0.0,0.0,None,3.4931004106344496,77.89484607104978,DCD,0.0996875,Green waste,Digestate,MgO,10.0080501869832,0.0,0.0,37.0,2.754411318174137,84.14044665596711,93.29566400000004,10.36540803198868,1.153368592262268,0.1562223822253447,1000000.0
None,1.0,27.328846580645163,None,Green Waste,7.0,Reactor,25.0,0.0,0.0,None,2.9116731639818343,56.00000000000001,Biochar,0.0996875,Poultry manure,Digestate,LB Culture,10.34504443928229,0.0,0.0,13.0,2.754411318174137,50.34586980330441,92.76817800000002,8.200046284699804,1.1246118545532229,0.137202882591235,1000000.0
None,1.0,27.32884658064516,None,Sawdust,7.0,Trough,74.0,0.0,0.0,None,8.273973204762587,69.0,Biochar,0.0996875,None,Digestate,Zeolite,10.170286565991129,0.0,0.0,23.0,2.754411318174137,98.57641364315218,92.83621800000004,10.390848397899273,1.128820776939392,0.1792110453033273,1000000.0
None,0.0,27.32884658064516,None,None,21.0,Trough,96.0,0.0,0.0,None,7.964598445000797,82.0393141233254,Biochar,0.0996875,Green waste,Digestate,Labile carbon source,6.0,0.0,0.0,35.0,2.754411318174137,75.72584295722106,92.70583000000003,9.309237343620756,1.1280221939086914,0.126548989237277,1000000.0
None,1.0,27.32884658064516,None,Plastic tube pieces,21.0,Reactor,20.0,0.0,0.0,None,8.367178603158127,55.0,Biochar,0.0996875,Green waste,Digestate,Mg(OH)₂,9.531388992630156,0.0,0.0,12.0,2.754411318174137,25.281043779263364,93.39573200000004,8.54228070032037,1.1292109489440918,0.0858728979194895,1000000.0
None,1.0,27.32884658064516,None,Green waste,0.0,Trough,74.0,0.0,0.0,None,3.619281118262206,72.64806692888688,Ca-superphosphate,0.0996875,Mature compost,Digestate,Mg(OH)₂,8.928207140530949,0.0,0.0,19.0,2.754411318174137,86.98360654885882,94.18502800000002,11.40614884233386,1.1568031311035156,0.1531424586087587,1000000.0
None,1.0,27.32884658064516,None,None,21.0,Reactor,60.0,0.0,0.0,None,9.948442510040698,78.44844575593427,Biochar,0.0996875,Green waste,Digestate,Sulfur,8.508022370699402,0.0,0.0,40.0,2.754411318174137,42.42970788922259,93.10685600000004,9.61661785047088,1.1323575973510742,0.1638501436619588,1000000.0
None,0.0,27.32884658064516,None,None,20.0,Windrow,78.0,0.0,0.0,None,8.627590631263114,59.0,Ca-superphosphate,0.0996875,Straw,Digestate,Biochar,5.0,0.0,0.0,25.0,2.754411318174137,64.99974053218133,94.09578400000004,6.749516394470225,1.1457229852676392,0.1417976737669086,1000000.0
None,1.0,27.32884658064516,None,Green waste,4.0,Reactor,19.0,0.0,0.0,None,8.454931734936434,51.0,Biochar,0.0996875,Mature compost,Digestate,Lime,10.826181386518076,0.0,0.0,25.0,2.754411318174137,105.7636037886771,93.30019700000004,10.033952075779824,1.1263824701309204,0.1644435630702059,1000000.0
None,1.0,27.32884658064516,None,Soil,5.0,Reactor,57.0,0.0,0.0,None,9.536746255362312,59.0,Biochar,0.0996875,Green waste,Digestate,Sand,11.529916606837856,0.0,0.0,19.0,2.754411318174137,16.081263269635997,92.88491500000002,11.708451343524873,1.126430630683899,0.1577424399373534,1000000.0
None,1.0,27.32884658064516,Intermittent ,None,1.0,Reactor,46.0,33.0,33.54588464208712,None,7.964198824117372,80.75581527102196,Mg(OH)₂,0.0996875,Poultry manure,Digestate,Biochar,7.0,657.0,1.2836052473251158,18.0,2.754411318174137,42.11494417721492,92.34084166666668,14.361018239340336,0.44927778840065,0.1932385154974044,1000000.0
